"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_1102199c3a7e3b90fcca04b6408c6b947880ec27fb1732112822ba5427868343","寄附文化の醸成","一般会計","総務費","総務管理費","企画調整費","政策経営部 ふるさと納税対策課","345154","データ・官民連携","supports","公式予算の会計・款・項・目と事業名から「データ・官民連携」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""evidence-informed-policy-and-partnerships-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_03"",""identity_fields"":{""display_program_name"":""寄附文化の醸成"",""hierarchy"":[""総務費"",""総務管理費"",""企画調整費""],""department_display_name"":""政策経営部 ふるさと納税対策課"",""amount_thousand_yen"":345154},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_03_01_11_01"",""major_program_name"":""区政運営の企画調整費"",""budget_program_name"":""寄附文化の醸成"",""detail_program_name"":""寄附文化の醸成"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9249}],""same_budget_item_other_program_names"":[""せたがや自治政策研究所の運営"",""官民連携の推進"",""区史編さん事業"",""計画行政の推進"",""行政経営改革の推進"",""自治体間連携事業"",""政策経営部庶務事務"",""大学連携事業""],""related_revenues"":[]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_81a10afcb54e0e9a1b40b312735f3b9f7971355805cba1571ea177a8c1adc892","計画行政の推進","一般会計","総務費","総務管理費","企画調整費","政策経営部 政策企画課","138883","データ・官民連携","supports","公式予算の会計・款・項・目と事業名から「データ・官民連携」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""evidence-informed-policy-and-partnerships-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_03"",""identity_fields"":{""display_program_name"":""計画行政の推進"",""hierarchy"":[""総務費"",""総務管理費"",""企画調整費""],""department_display_name"":""政策経営部 政策企画課"",""amount_thousand_yen"":138883},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_03_01_03_01"",""major_program_name"":""区政運営の企画調整費"",""budget_program_name"":""計画行政の推進"",""detail_program_name"":""計画行政の推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9242}],""same_budget_item_other_program_names"":[""せたがや自治政策研究所の運営"",""官民連携の推進"",""寄附文化の醸成"",""区史編さん事業"",""行政経営改革の推進"",""自治体間連携事業"",""政策経営部庶務事務"",""大学連携事業""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_1fa1a581af2e8f4f04c375a5f6842a2c4ab791d022049846c409badf8721fc43","基幹統計調査","一般会計","総務費","統計調査費","基幹統計調査費","政策経営部 政策研究・調査課","67236","データ・官民連携","supports","公式予算の会計・款・項・目と事業名から「データ・官民連携」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""evidence-informed-policy-and-partnerships-official-structure"",""budget_item_key"":""2026_general_expenditure_02_05_04"",""identity_fields"":{""display_program_name"":""基幹統計調査"",""hierarchy"":[""総務費"",""統計調査費"",""基幹統計調査費""],""department_display_name"":""政策経営部 政策研究・調査課"",""amount_thousand_yen"":67236},""member_programs"":[{""program_id"":""2026_general_expenditure_02_05_04_01_01_01"",""major_program_name"":""国の基幹統計調査費"",""budget_program_name"":""基幹統計調査"",""detail_program_name"":""基幹統計調査"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9253}],""same_budget_item_other_program_names"":[],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_03_01_03_04_3065400000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""総務費委託金"",""統計費"",""基幹統計""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_d20f8dd995304ee1b4326a41cef4d4af14311b2709bd5313aa727099e18fd6a5","政策経営部庶務事務","一般会計","総務費","総務管理費","企画調整費","政策経営部 政策企画課","43590","データ・官民連携","supports","公式予算の会計・款・項・目と事業名から「データ・官民連携」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""evidence-informed-policy-and-partnerships-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_03"",""identity_fields"":{""display_program_name"":""政策経営部庶務事務"",""hierarchy"":[""総務費"",""総務管理費"",""企画調整費""],""department_display_name"":""政策経営部 政策企画課"",""amount_thousand_yen"":43590},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_03_01_01_01"",""major_program_name"":""区政運営の企画調整費"",""budget_program_name"":""政策経営部庶務事務"",""detail_program_name"":""政策経営部庶務事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9241}],""same_budget_item_other_program_names"":[""せたがや自治政策研究所の運営"",""官民連携の推進"",""寄附文化の醸成"",""区史編さん事業"",""計画行政の推進"",""行政経営改革の推進"",""自治体間連携事業"",""大学連携事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_03_01_03_07_3065100000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""総務費委託金"",""統計費"",""基幹統計""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 一般管理・人件費・基金等よりもtopicとの直接性を優先して非公開"
"bpi_7fc4f682e389d5fa8757d40473bae890813bac22946d85e01f87adeec1405414","官民連携の推進","一般会計","総務費","総務管理費","企画調整費","政策経営部 官民行政手法改革課","27492","データ・官民連携","supports","公式予算の会計・款・項・目と事業名から「データ・官民連携」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""evidence-informed-policy-and-partnerships-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_03"",""identity_fields"":{""display_program_name"":""官民連携の推進"",""hierarchy"":[""総務費"",""総務管理費"",""企画調整費""],""department_display_name"":""政策経営部 官民行政手法改革課"",""amount_thousand_yen"":27492},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_03_01_18_01"",""major_program_name"":""区政運営の企画調整費"",""budget_program_name"":""官民連携の推進"",""detail_program_name"":""官民連携の推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9247}],""same_budget_item_other_program_names"":[""せたがや自治政策研究所の運営"",""寄附文化の醸成"",""区史編さん事業"",""計画行政の推進"",""行政経営改革の推進"",""自治体間連携事業"",""政策経営部庶務事務"",""大学連携事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_01_60_01_3065200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""総務費補助金"",""地域課題解決型スマート東京普及促進事業"",""地域課題解決型スマート東京普及促進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_66_3065200000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""特別職非常勤職員社会保険料（行政手法改革参与）""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_3680173e66805d0858acc710fd6593076d09cc7867962a69c57c05dc22a04804","区史編さん事業","一般会計","総務費","総務管理費","企画調整費","政策経営部 政策企画課","18589","データ・官民連携","supports","公式予算の会計・款・項・目と事業名から「データ・官民連携」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""evidence-informed-policy-and-partnerships-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_03"",""identity_fields"":{""display_program_name"":""区史編さん事業"",""hierarchy"":[""総務費"",""総務管理費"",""企画調整費""],""department_display_name"":""政策経営部 政策企画課"",""amount_thousand_yen"":18589},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_03_01_12_01"",""major_program_name"":""区政運営の企画調整費"",""budget_program_name"":""区史編さん事業"",""detail_program_name"":""区史編さん事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9243}],""same_budget_item_other_program_names"":[""せたがや自治政策研究所の運営"",""官民連携の推進"",""寄附文化の醸成"",""計画行政の推進"",""行政経営改革の推進"",""自治体間連携事業"",""政策経営部庶務事務"",""大学連携事業""],""related_revenues"":[]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_b2ce9144737eb694e75054758c454d6fbe7fd96e4097fc4af2a819b5a3ec749d","行政経営改革の推進","一般会計","総務費","総務管理費","企画調整費","政策経営部 政策企画課","16723","データ・官民連携","supports","公式予算の会計・款・項・目と事業名から「データ・官民連携」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""evidence-informed-policy-and-partnerships-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_03"",""identity_fields"":{""display_program_name"":""行政経営改革の推進"",""hierarchy"":[""総務費"",""総務管理費"",""企画調整費""],""department_display_name"":""政策経営部 政策企画課"",""amount_thousand_yen"":16723},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_03_01_13_01"",""major_program_name"":""区政運営の企画調整費"",""budget_program_name"":""行政経営改革の推進"",""detail_program_name"":""行政経営改革の推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9244}],""same_budget_item_other_program_names"":[""せたがや自治政策研究所の運営"",""官民連携の推進"",""寄附文化の醸成"",""区史編さん事業"",""計画行政の推進"",""自治体間連携事業"",""政策経営部庶務事務"",""大学連携事業""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_9db8f67b717c011da3626b8024b1f00c9705b151a819e8e72833d7a4daa0fdc0","せたがや自治政策研究所の運営","一般会計","総務費","総務管理費","企画調整費","政策経営部 政策研究・調査課","9257","データ・官民連携","supports","公式予算の会計・款・項・目と事業名から「データ・官民連携」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""evidence-informed-policy-and-partnerships-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_03"",""identity_fields"":{""display_program_name"":""せたがや自治政策研究所の運営"",""hierarchy"":[""総務費"",""総務管理費"",""企画調整費""],""department_display_name"":""政策経営部 政策研究・調査課"",""amount_thousand_yen"":9257},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_03_01_07_01"",""major_program_name"":""区政運営の企画調整費"",""budget_program_name"":""せたがや自治政策研究所の運営"",""detail_program_name"":""せたがや自治政策研究所の運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9250}],""same_budget_item_other_program_names"":[""官民連携の推進"",""寄附文化の醸成"",""区史編さん事業"",""計画行政の推進"",""行政経営改革の推進"",""自治体間連携事業"",""政策経営部庶務事務"",""大学連携事業""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_ab9c693c25152019a3a510eaf52c1da92e1c4fa373af908d2f79d577713be496","大学連携事業","一般会計","総務費","総務管理費","企画調整費","政策経営部 政策研究・調査課","2666","データ・官民連携","supports","公式予算の会計・款・項・目と事業名から「データ・官民連携」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""evidence-informed-policy-and-partnerships-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_03"",""identity_fields"":{""display_program_name"":""大学連携事業"",""hierarchy"":[""総務費"",""総務管理費"",""企画調整費""],""department_display_name"":""政策経営部 政策研究・調査課"",""amount_thousand_yen"":2666},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_03_01_19_01"",""major_program_name"":""区政運営の企画調整費"",""budget_program_name"":""大学連携事業"",""detail_program_name"":""大学連携事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9251}],""same_budget_item_other_program_names"":[""せたがや自治政策研究所の運営"",""官民連携の推進"",""寄附文化の醸成"",""区史編さん事業"",""計画行政の推進"",""行政経営改革の推進"",""自治体間連携事業"",""政策経営部庶務事務""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_41ee859a38d7b70fbbc0f71846ea8f40d832ab59452f5c717d7820c717401f30","統計調査事務","一般会計","総務費","統計調査費","統計調査総務費","政策経営部 政策研究・調査課","1212","データ・官民連携","supports","公式予算の会計・款・項・目と事業名から「データ・官民連携」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""evidence-informed-policy-and-partnerships-official-structure"",""budget_item_key"":""2026_general_expenditure_02_05_01"",""identity_fields"":{""display_program_name"":""統計調査事務"",""hierarchy"":[""総務費"",""統計調査費"",""統計調査総務費""],""department_display_name"":""政策経営部 政策研究・調査課"",""amount_thousand_yen"":1212},""member_programs"":[{""program_id"":""2026_general_expenditure_02_05_01_01_02_01"",""major_program_name"":""統計調査事務運営費"",""budget_program_name"":""統計調査事務"",""detail_program_name"":""統計調査事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9252}],""same_budget_item_other_program_names"":[],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
