"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_1258e4de379806cdffa7e7698a2a93cd0a2855fb08b97e85030a89b37c860909","特別区債償還元金","一般会計","公債費","公債費","元金","政策経営部 財政課","3408955","財政・税","maintains","公式予算の会計・款・項・目と事業名から「財政・税」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""sustainable-public-finance-and-taxation-official-structure"",""budget_item_key"":""2026_general_expenditure_10_01_02"",""identity_fields"":{""display_program_name"":""特別区債償還元金"",""hierarchy"":[""公債費"",""公債費"",""元金""],""department_display_name"":""政策経営部 財政課"",""amount_thousand_yen"":3408955},""member_programs"":[{""program_id"":""2026_general_expenditure_10_01_02_01_01_01"",""major_program_name"":""特別区債の償還金"",""budget_program_name"":""特別区債償還元金"",""detail_program_name"":""特別区債償還元金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9256}],""same_budget_item_other_program_names"":[],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_2f1e8872fff93a4479b30a00bf63f5f32f63dfeaa853c7e9c5001677fcc79391","特別区税等歳出還付及加算金","一般会計","総務費","徴税費","賦課徴収費","財務部 納税課","650000","財政・税","maintains","公式予算の会計・款・項・目と事業名から「財政・税」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""sustainable-public-finance-and-taxation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_02_02"",""identity_fields"":{""display_program_name"":""特別区税等歳出還付及加算金"",""hierarchy"":[""総務費"",""徴税費"",""賦課徴収費""],""department_display_name"":""財務部 納税課"",""amount_thousand_yen"":650000},""member_programs"":[{""program_id"":""2026_general_expenditure_02_02_02_01_03_01"",""major_program_name"":""区税賦課徴収事務費"",""budget_program_name"":""特別区税等歳出還付及加算金"",""detail_program_name"":""特別区税等歳出還付及加算金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9354}],""same_budget_item_other_program_names"":[""区税徴収"",""区税賦課""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_d868092c0dfb0b8bba64746beb2be9cd5ccb1935b9c1ed4548ceb478bdd9c2c1","区税賦課","一般会計","総務費","徴税費","賦課徴収費","財務部 課税課","515119","財政・税","maintains","公式予算の会計・款・項・目と事業名から「財政・税」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""sustainable-public-finance-and-taxation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_02_02"",""identity_fields"":{""display_program_name"":""区税賦課"",""hierarchy"":[""総務費"",""徴税費"",""賦課徴収費""],""department_display_name"":""財務部 課税課"",""amount_thousand_yen"":515119},""member_programs"":[{""program_id"":""2026_general_expenditure_02_02_02_01_01_01"",""major_program_name"":""区税賦課徴収事務費"",""budget_program_name"":""区税賦課"",""detail_program_name"":""区税賦課"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9351}],""same_budget_item_other_program_names"":[""区税徴収"",""特別区税等歳出還付及加算金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_03_01_01_06_3355300000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""総務費委託金"",""徴税費"",""徴税費""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_9167e9a22fe0471873ef2b67030a75f612f3b14fd1786bec7438090790457b4b","予備費","一般会計","予備費","予備費","予備費","政策経営部 財政課","500000","財政・税","maintains","公式予算の会計・款・項・目と事業名から「財政・税」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""sustainable-public-finance-and-taxation-official-structure"",""budget_item_key"":""2026_general_expenditure_12_01_01"",""identity_fields"":{""display_program_name"":""予備費"",""hierarchy"":[""予備費"",""予備費"",""予備費""],""department_display_name"":""政策経営部 財政課"",""amount_thousand_yen"":500000},""member_programs"":[{""program_id"":""2026_general_expenditure_12_01_01_01_01_01"",""major_program_name"":""一般会計における予備費"",""budget_program_name"":""予備費"",""detail_program_name"":""予備費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9261}],""same_budget_item_other_program_names"":[],""related_revenues"":[]}","high","reject","[publication-policy] 一般管理・人件費・基金等よりもtopicとの直接性を優先して非公開"
"bpi_321e9db5eaa34223702a888578177ee647fb754ea74038defe07c77ec4182ee2","特別区債償還利子","一般会計","公債費","公債費","利子","政策経営部 財政課","357591","財政・税","maintains","公式予算の会計・款・項・目と事業名から「財政・税」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""sustainable-public-finance-and-taxation-official-structure"",""budget_item_key"":""2026_general_expenditure_10_01_03"",""identity_fields"":{""display_program_name"":""特別区債償還利子"",""hierarchy"":[""公債費"",""公債費"",""利子""],""department_display_name"":""政策経営部 財政課"",""amount_thousand_yen"":357591},""member_programs"":[{""program_id"":""2026_general_expenditure_10_01_03_01_01_01"",""major_program_name"":""特別区債の利子"",""budget_program_name"":""特別区債償還利子"",""detail_program_name"":""特別区債償還利子"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9257}],""same_budget_item_other_program_names"":[],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_eeb495a8914598514149f01bd3f8852b23b770de2760aa3dea140afa1d90d974","財政調整基金積立金","一般会計","諸支出金","財政積立金","財政積立金","政策経営部 財政課","261700","財政・税","maintains","公式予算の会計・款・項・目と事業名から「財政・税」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""sustainable-public-finance-and-taxation-official-structure"",""budget_item_key"":""2026_general_expenditure_11_01_01"",""identity_fields"":{""display_program_name"":""財政調整基金積立金"",""hierarchy"":[""諸支出金"",""財政積立金"",""財政積立金""],""department_display_name"":""政策経営部 財政課"",""amount_thousand_yen"":261700},""member_programs"":[{""program_id"":""2026_general_expenditure_11_01_01_01_01_01"",""major_program_name"":""財政調整基金積立金"",""budget_program_name"":""財政調整基金積立金"",""detail_program_name"":""財政調整基金積立金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9259}],""same_budget_item_other_program_names"":[""減債基金積立金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_15_01_02_02_27_3065500000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""利子及配当金"",""基金利子"",""財政調整基金""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 一般管理・人件費・基金等よりもtopicとの直接性を優先して非公開"
"bpi_851cbc3f0a76e721ff9b3c26d645b93d67bd23a2b0492b5ff9f29cbe52982416","公金取扱手数料","一般会計","総務費","総務管理費","会計管理費","会計室 会計課","218079","財政・税","maintains","公式予算の会計・款・項・目と事業名から「財政・税」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""sustainable-public-finance-and-taxation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_08"",""identity_fields"":{""display_program_name"":""公金取扱手数料"",""hierarchy"":[""総務費"",""総務管理費"",""会計管理費""],""department_display_name"":""会計室 会計課"",""amount_thousand_yen"":218079},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_08_01_01_01"",""major_program_name"":""金銭、物品出納事務費"",""budget_program_name"":""公金取扱手数料"",""detail_program_name"":""公金取扱手数料"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10071}],""same_budget_item_other_program_names"":[""会計室庶務事務"",""新公会計制度の推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_03_01_01_06_3355300000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""総務費委託金"",""徴税費"",""徴税費""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_33e89cb42b3447c815f652a156d83aec3fbf81f2b7f156bd38dc0832c5023412","区税徴収","一般会計","総務費","徴税費","賦課徴収費","財務部 納税課","214457","財政・税","maintains","公式予算の会計・款・項・目と事業名から「財政・税」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""sustainable-public-finance-and-taxation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_02_02"",""identity_fields"":{""display_program_name"":""区税徴収"",""hierarchy"":[""総務費"",""徴税費"",""賦課徴収費""],""department_display_name"":""財務部 納税課"",""amount_thousand_yen"":214457},""member_programs"":[{""program_id"":""2026_general_expenditure_02_02_02_01_02_01"",""major_program_name"":""区税賦課徴収事務費"",""budget_program_name"":""区税徴収"",""detail_program_name"":""区税徴収"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9353}],""same_budget_item_other_program_names"":[""区税賦課"",""特別区税等歳出還付及加算金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_02_01_01_01_3355400000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""総務手数料"",""証明閲覧"",""納・課税証明""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_03_01_01_06_3355300000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""総務費委託金"",""徴税費"",""徴税費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_01_01_01_3355400000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""弁償金"",""軽自動車標識"",""軽自動車標識紛失弁償金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_06_01_01_3355400000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""滞納処分費"",""滞納処分費"",""特別区税等滞納処分費""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_376eed4d364edda4ba45391748da67e3bee16bbf6cbcb0eaa5b5b408a140ca92","減債基金積立金","一般会計","諸支出金","財政積立金","財政積立金","政策経営部 財政課","25599","財政・税","maintains","公式予算の会計・款・項・目と事業名から「財政・税」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""sustainable-public-finance-and-taxation-official-structure"",""budget_item_key"":""2026_general_expenditure_11_01_01"",""identity_fields"":{""display_program_name"":""減債基金積立金"",""hierarchy"":[""諸支出金"",""財政積立金"",""財政積立金""],""department_display_name"":""政策経営部 財政課"",""amount_thousand_yen"":25599},""member_programs"":[{""program_id"":""2026_general_expenditure_11_01_01_02_01_01"",""major_program_name"":""減債基金積立金"",""budget_program_name"":""減債基金積立金"",""detail_program_name"":""減債基金積立金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9260}],""same_budget_item_other_program_names"":[""財政調整基金積立金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_15_01_02_02_35_3065500000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""利子及配当金"",""基金利子"",""減債基金""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 一般管理・人件費・基金等よりもtopicとの直接性を優先して非公開"
"bpi_668268498ee012fdb3ae4edcd7de00b0d0d53e0334503e5051d0527fc8cdc364","会計室庶務事務","一般会計","総務費","総務管理費","会計管理費","会計室 会計課","23490","財政・税","maintains","公式予算の会計・款・項・目と事業名から「財政・税」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""sustainable-public-finance-and-taxation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_08"",""identity_fields"":{""display_program_name"":""会計室庶務事務"",""hierarchy"":[""総務費"",""総務管理費"",""会計管理費""],""department_display_name"":""会計室 会計課"",""amount_thousand_yen"":23490},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_08_01_03_01"",""major_program_name"":""金銭、物品出納事務費"",""budget_program_name"":""会計室庶務事務"",""detail_program_name"":""会計室庶務事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10072}],""same_budget_item_other_program_names"":[""公金取扱手数料"",""新公会計制度の推進""],""related_revenues"":[]}","high","reject","[publication-policy] 一般管理・人件費・基金等よりもtopicとの直接性を優先して非公開"
"bpi_6aff8be8728913c7de003c53f00e59d23f07a18fa70a367a5832202c8e11dae0","特別区債諸経費","一般会計","公債費","公債費","公債諸費","政策経営部 財政課","14117","財政・税","maintains","公式予算の会計・款・項・目と事業名から「財政・税」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""sustainable-public-finance-and-taxation-official-structure"",""budget_item_key"":""2026_general_expenditure_10_01_04"",""identity_fields"":{""display_program_name"":""特別区債諸経費"",""hierarchy"":[""公債費"",""公債費"",""公債諸費""],""department_display_name"":""政策経営部 財政課"",""amount_thousand_yen"":14117},""member_programs"":[{""program_id"":""2026_general_expenditure_10_01_04_01_01_01"",""major_program_name"":""特別区債発行・償還に伴う諸経費"",""budget_program_name"":""特別区債諸経費"",""detail_program_name"":""特別区債諸経費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9258}],""same_budget_item_other_program_names"":[],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
