"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_a55d19ad94a24877ec56cebf3c061844846b1552ddff6a48ff060c12029518ab","がん検診","一般会計","衛生費","公衆衛生費","成人病予防費","世田谷保健所 健康企画課","1605415","健診と日々の健康づくりを進める","supports","公式予算の会計・款・項・目と事業名から「健診と日々の健康づくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""health-screening-and-healthy-lifestyles-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_03"",""identity_fields"":{""display_program_name"":""がん検診"",""hierarchy"":[""衛生費"",""公衆衛生費"",""成人病予防費""],""department_display_name"":""世田谷保健所 健康企画課"",""amount_thousand_yen"":1605415},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_03_01_04_01"",""major_program_name"":""成人病予防事業費"",""budget_program_name"":""がん検診"",""detail_program_name"":""がん検診"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9883}],""same_budget_item_other_program_names"":[""がん対策"",""肝炎ウイルス検診"",""骨粗しょう症検診"",""歯科保健対策"",""成人健康診査"",""生活習慣病予防対策""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_03_01_31_3785100000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""衛生使用料"",""保健所"",""大腸がん検診""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_01_03_02_06_3785100000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""衛生使用料"",""保健センター"",""胃がん検診""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_01_03_02_07_3785100000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""衛生使用料"",""保健センター"",""乳がん検診""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_13_04_3785100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""健康増進対策費"",""がん検診推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_13_3785100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""がん予防対策事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_1740f61c4451c951907f612ce4cefd8616ee0691bcd27086bd9f2ad842873241","成人健康診査","一般会計","衛生費","公衆衛生費","成人病予防費","世田谷保健所 健康企画課","573614","健診と日々の健康づくりを進める","supports","公式予算の会計・款・項・目と事業名から「健診と日々の健康づくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""health-screening-and-healthy-lifestyles-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_03"",""identity_fields"":{""display_program_name"":""成人健康診査"",""hierarchy"":[""衛生費"",""公衆衛生費"",""成人病予防費""],""department_display_name"":""世田谷保健所 健康企画課"",""amount_thousand_yen"":573614},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_03_01_10_01"",""major_program_name"":""成人病予防事業費"",""budget_program_name"":""成人健康診査"",""detail_program_name"":""成人健康診査"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9885}],""same_budget_item_other_program_names"":[""がん検診"",""がん対策"",""肝炎ウイルス検診"",""骨粗しょう症検診"",""歯科保健対策"",""生活習慣病予防対策""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_04_17_03_3785100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""衛生費補助金"",""健康診査費"",""成人健康診査""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_48_02_3785100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""広域連合支出金"",""長寿健康増進事業補助金（追加健診）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_f4ae08ea0946a738eb94aaef252f5bd859491d86f5c401fd6cde4b1653670344","がん対策","一般会計","衛生費","公衆衛生費","成人病予防費","世田谷保健所 健康企画課","125130","健診と日々の健康づくりを進める","supports","公式予算の会計・款・項・目と事業名から「健診と日々の健康づくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""health-screening-and-healthy-lifestyles-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_03"",""identity_fields"":{""display_program_name"":""がん対策"",""hierarchy"":[""衛生費"",""公衆衛生費"",""成人病予防費""],""department_display_name"":""世田谷保健所 健康企画課"",""amount_thousand_yen"":125130},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_03_01_12_01"",""major_program_name"":""成人病予防事業費"",""budget_program_name"":""がん対策"",""detail_program_name"":""がん対策"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9886}],""same_budget_item_other_program_names"":[""がん検診"",""肝炎ウイルス検診"",""骨粗しょう症検診"",""歯科保健対策"",""成人健康診査"",""生活習慣病予防対策""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_13_05_3785100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""健康増進対策費"",""がん検診精密検査勧奨事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_36_3785100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""がん検診精度管理事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_37_3785100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""がん予防普及啓発""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_67_3785100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""がん患者へのアピアランスケア支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_73_3785100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""若年がん患者在宅療養支援事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_d7412756349e656a6a593b41892bb4b1d64c17bbfbe91588d4dcc5216e4a1373","歯科保健対策","一般会計","衛生費","公衆衛生費","成人病予防費","世田谷保健所 健康推進課","123722","健診と日々の健康づくりを進める","supports","公式予算の会計・款・項・目と事業名から「健診と日々の健康づくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""health-screening-and-healthy-lifestyles-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_03"",""identity_fields"":{""display_program_name"":""歯科保健対策"",""hierarchy"":[""衛生費"",""公衆衛生費"",""成人病予防費""],""department_display_name"":""世田谷保健所 健康推進課"",""amount_thousand_yen"":123722},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_03_01_01_01"",""major_program_name"":""成人病予防事業費"",""budget_program_name"":""歯科保健対策"",""detail_program_name"":""歯科保健対策"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9896}],""same_budget_item_other_program_names"":[""がん検診"",""がん対策"",""肝炎ウイルス検診"",""骨粗しょう症検診"",""成人健康診査"",""生活習慣病予防対策""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_17_02_3785200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""医療施設運営費等補助金"",""８０２０運動・口腔保健推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_74_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""歯科健康診査受診促進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_04_17_02_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""衛生費補助金"",""健康診査費"",""歯周疾患健診""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_04_32_01_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""衛生費補助金"",""健康相談費"",""区民歯科相談""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_48_03_3785200000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""広域連合支出金"",""歯科健康診査事業費補助金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_48_05_3785200000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""広域連合支出金"",""長寿・健康増進事業費等補助金""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_7722f6501856688d644174fd4007827655881db29a6a95d8e53e40d18d212801","肝炎ウイルス検診","一般会計","衛生費","公衆衛生費","成人病予防費","世田谷保健所 健康企画課","16524","健診と日々の健康づくりを進める","supports","公式予算の会計・款・項・目と事業名から「健診と日々の健康づくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""health-screening-and-healthy-lifestyles-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_03"",""identity_fields"":{""display_program_name"":""肝炎ウイルス検診"",""hierarchy"":[""衛生費"",""公衆衛生費"",""成人病予防費""],""department_display_name"":""世田谷保健所 健康企画課"",""amount_thousand_yen"":16524},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_03_01_13_01"",""major_program_name"":""成人病予防事業費"",""budget_program_name"":""肝炎ウイルス検診"",""detail_program_name"":""肝炎ウイルス検診"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9887}],""same_budget_item_other_program_names"":[""がん検診"",""がん対策"",""骨粗しょう症検診"",""歯科保健対策"",""成人健康診査"",""生活習慣病予防対策""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_11_08_3785100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""感染症対策"",""肝炎ウイルス検診""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_04_18_03_3785100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""衛生費補助金"",""感染症対策費"",""肝炎ウイルス検診""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_18a279335547211146a928856f260083af1c4595be51e7fdec6aafce7e93315b","骨粗しょう症検診","一般会計","衛生費","公衆衛生費","成人病予防費","世田谷保健所 健康企画課","14583","健診と日々の健康づくりを進める","supports","公式予算の会計・款・項・目と事業名から「健診と日々の健康づくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""health-screening-and-healthy-lifestyles-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_03"",""identity_fields"":{""display_program_name"":""骨粗しょう症検診"",""hierarchy"":[""衛生費"",""公衆衛生費"",""成人病予防費""],""department_display_name"":""世田谷保健所 健康企画課"",""amount_thousand_yen"":14583},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_03_01_03_01"",""major_program_name"":""成人病予防事業費"",""budget_program_name"":""骨粗しょう症検診"",""detail_program_name"":""骨粗しょう症検診"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9882}],""same_budget_item_other_program_names"":[""がん検診"",""がん対策"",""肝炎ウイルス検診"",""歯科保健対策"",""成人健康診査"",""生活習慣病予防対策""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_04_17_01_3785100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""衛生費補助金"",""健康診査費"",""骨粗しょう症検診""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_538f5507d52dd1d6915242999e4534e81fc195f2daeb8091d189b593c5f5cf6a","食育の推進","一般会計","衛生費","公衆衛生費","栄養指導費","世田谷保健所 健康推進課","4058","健診と日々の健康づくりを進める","supports","公式予算の会計・款・項・目と事業名から「健診と日々の健康づくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""health-screening-and-healthy-lifestyles-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_04"",""identity_fields"":{""display_program_name"":""食育の推進"",""hierarchy"":[""衛生費"",""公衆衛生費"",""栄養指導費""],""department_display_name"":""世田谷保健所 健康推進課"",""amount_thousand_yen"":4058},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_04_01_09_01"",""major_program_name"":""健康づくり事業費"",""budget_program_name"":""食育の推進"",""detail_program_name"":""食育の推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9898}],""same_budget_item_other_program_names"":[""健康づくり支援（烏山）"",""健康づくり支援（砧）"",""健康づくり支援（玉川）"",""健康づくり支援（世田谷）"",""健康づくり支援（北沢）"",""食を通じた健康づくり対策""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_53_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""地域に根ざした食環境整備事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_18_01_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""区市町村食育推進活動支援事業費補助金"",""食育推進事業費""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_7c9a35aa5827722671b2e05e2a23bd2568a7fe6094b793788c1d78370f7b027e","公害保健対策","一般会計","衛生費","公衆衛生費","公害保健費","世田谷保健所 健康推進課","1870","健診と日々の健康づくりを進める","supports","公式予算の会計・款・項・目と事業名から「健診と日々の健康づくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""health-screening-and-healthy-lifestyles-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_06"",""identity_fields"":{""display_program_name"":""公害保健対策"",""hierarchy"":[""衛生費"",""公衆衛生費"",""公害保健費""],""department_display_name"":""世田谷保健所 健康推進課"",""amount_thousand_yen"":1870},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_06_01_01_01"",""major_program_name"":""公害保健対策事業費"",""budget_program_name"":""公害保健対策"",""detail_program_name"":""公害保健対策"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9913}],""same_budget_item_other_program_names"":[],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_d76a6756b545ce00b969eab0b4234dba30da210c4f9f28702f8fbc11dca3fff5","食を通じた健康づくり対策","一般会計","衛生費","公衆衛生費","栄養指導費","世田谷保健所 健康推進課","1776","健診と日々の健康づくりを進める","supports","公式予算の会計・款・項・目と事業名から「健診と日々の健康づくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""health-screening-and-healthy-lifestyles-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_04"",""identity_fields"":{""display_program_name"":""食を通じた健康づくり対策"",""hierarchy"":[""衛生費"",""公衆衛生費"",""栄養指導費""],""department_display_name"":""世田谷保健所 健康推進課"",""amount_thousand_yen"":1776},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_04_01_01_01"",""major_program_name"":""健康づくり事業費"",""budget_program_name"":""食を通じた健康づくり対策"",""detail_program_name"":""食を通じた健康づくり対策"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9897}],""same_budget_item_other_program_names"":[""健康づくり支援（烏山）"",""健康づくり支援（砧）"",""健康づくり支援（玉川）"",""健康づくり支援（世田谷）"",""健康づくり支援（北沢）"",""食育の推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_03_02_01_02_3785200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫委託金"",""衛生費委託金"",""栄養調査費"",""栄養調査費""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_f4463fe512c826058e42ead49198079dfcdc29f5d73cd26169b0d9c3570ef90a","健康づくり支援（世田谷）","一般会計","衛生費","公衆衛生費","栄養指導費","世田谷総合支所 健康づくり課","1009","健診と日々の健康づくりを進める","supports","公式予算の会計・款・項・目と事業名から「健診と日々の健康づくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""health-screening-and-healthy-lifestyles-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_04"",""identity_fields"":{""display_program_name"":""健康づくり支援（世田谷）"",""hierarchy"":[""衛生費"",""公衆衛生費"",""栄養指導費""],""department_display_name"":""世田谷総合支所 健康づくり課"",""amount_thousand_yen"":1009},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_04_01_04_01"",""major_program_name"":""健康づくり事業費"",""budget_program_name"":""健康づくり支援（世田谷）"",""detail_program_name"":""健康づくり支援（世田谷）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9116}],""same_budget_item_other_program_names"":[""健康づくり支援（烏山）"",""健康づくり支援（砧）"",""健康づくり支援（玉川）"",""健康づくり支援（北沢）"",""食を通じた健康づくり対策"",""食育の推進""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
