"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_3489e5ae961166d433b1f3b6eb5799621c4a4b9e8deb3189b9bed60a8e100822","放課後の遊び場対策（ＢＯＰ）","一般会計","教育費","社会教育費","社会教育総務費","教育委員会事務局 地域学校連携課","731520","生涯学習","supports","公式予算の会計・款・項・目と事業名から「生涯学習」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""lifelong-learning-and-community-education-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_01"",""identity_fields"":{""display_program_name"":""放課後の遊び場対策（ＢＯＰ）"",""hierarchy"":[""教育費"",""社会教育費"",""社会教育総務費""],""department_display_name"":""教育委員会事務局 地域学校連携課"",""amount_thousand_yen"":731520},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_01_01_03_01"",""major_program_name"":""社会教育管理費"",""budget_program_name"":""放課後の遊び場対策（ＢＯＰ）"",""detail_program_name"":""放課後の遊び場対策（ＢＯＰ）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10216}],""same_budget_item_other_program_names"":[""小・中学校施設開放"",""小学校遊び場開放"",""総合型地域スポーツ・文化クラブの支援"",""地域連携事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_06_05_11_4980100000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""教育使用料"",""教育施設"",""新ＢＯＰ""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_09_01_4980100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""放課後子どもプラン"",""放課後子どもプラン""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 一般管理・人件費・基金等よりもtopicとの直接性を優先して非公開"
"bpi_6c5b1ea7b2d909ed4ab59abc24c9fda00ad3e20f64240392a5d60ac877a3dc03","小・中学校施設開放","一般会計","教育費","社会教育費","社会教育総務費","教育委員会事務局 地域学校連携課","372901","生涯学習","supports","公式予算の会計・款・項・目と事業名から「生涯学習」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""lifelong-learning-and-community-education-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_01"",""identity_fields"":{""display_program_name"":""小・中学校施設開放"",""hierarchy"":[""教育費"",""社会教育費"",""社会教育総務費""],""department_display_name"":""教育委員会事務局 地域学校連携課"",""amount_thousand_yen"":372901},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_01_01_04_01"",""major_program_name"":""社会教育管理費"",""budget_program_name"":""小・中学校施設開放"",""detail_program_name"":""小・中学校施設開放"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10217}],""same_budget_item_other_program_names"":[""小学校遊び場開放"",""総合型地域スポーツ・文化クラブの支援"",""地域連携事業"",""放課後の遊び場対策（ＢＯＰ）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_06_05_15_4980100000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""教育使用料"",""教育施設"",""学校施設開放""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_80c8de95d7b2ebca189b5adf292ebd6b88bdb6e54602fe1e00f226b0b0bf6b01","地域連携事業","一般会計","教育費","社会教育費","社会教育総務費","教育委員会事務局 地域学校連携課","58109","生涯学習","supports","公式予算の会計・款・項・目と事業名から「生涯学習」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""lifelong-learning-and-community-education-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_01"",""identity_fields"":{""display_program_name"":""地域連携事業"",""hierarchy"":[""教育費"",""社会教育費"",""社会教育総務費""],""department_display_name"":""教育委員会事務局 地域学校連携課"",""amount_thousand_yen"":58109},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_01_01_07_01"",""major_program_name"":""社会教育管理費"",""budget_program_name"":""地域連携事業"",""detail_program_name"":""地域連携事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10219}],""same_budget_item_other_program_names"":[""小・中学校施設開放"",""小学校遊び場開放"",""総合型地域スポーツ・文化クラブの支援"",""放課後の遊び場対策（ＢＯＰ）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_62_01_4980100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""朝の子供の居場所づくり事業費補助金"",""朝の子供の居場所づくり事業費補助金""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_445f359ff43e21a72ef974b7a9d11596de54eb25a7503cd3f724e5a769bc7dbd","小学校遊び場開放","一般会計","教育費","社会教育費","社会教育総務費","教育委員会事務局 地域学校連携課","45884","生涯学習","supports","公式予算の会計・款・項・目と事業名から「生涯学習」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""lifelong-learning-and-community-education-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_01"",""identity_fields"":{""display_program_name"":""小学校遊び場開放"",""hierarchy"":[""教育費"",""社会教育費"",""社会教育総務費""],""department_display_name"":""教育委員会事務局 地域学校連携課"",""amount_thousand_yen"":45884},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_01_01_02_01"",""major_program_name"":""社会教育管理費"",""budget_program_name"":""小学校遊び場開放"",""detail_program_name"":""小学校遊び場開放"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10215}],""same_budget_item_other_program_names"":[""小・中学校施設開放"",""総合型地域スポーツ・文化クラブの支援"",""地域連携事業"",""放課後の遊び場対策（ＢＯＰ）""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_7985e71ea7bc4e73d4bdd9db2db7304d6396f66fe09fff343ada2850e7a8765e","青少年教育","一般会計","教育費","社会教育費","社会教育活動費","教育委員会事務局 生涯学習課","42269","生涯学習","supports","公式予算の会計・款・項・目と事業名から「生涯学習」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""lifelong-learning-and-community-education-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_02"",""identity_fields"":{""display_program_name"":""青少年教育"",""hierarchy"":[""教育費"",""社会教育費"",""社会教育活動費""],""department_display_name"":""教育委員会事務局 生涯学習課"",""amount_thousand_yen"":42269},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_02_01_04_01"",""major_program_name"":""社会教育事業費"",""budget_program_name"":""青少年教育"",""detail_program_name"":""青少年教育"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10137}],""same_budget_item_other_program_names"":[""ＰＴＡ活動の支援"",""家庭教育の支援"",""社会教育団体支援"",""社会教育団体文化祭"",""成人教育"",""生涯学習の推進"",""生涯学習事業運営"",""福祉教育""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_01_54_01_4965100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""総務費補助金"",""地域における青少年健全育成応援事業"",""地域における青少年健全育成応援事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_42263e10368bccda05d70142d112904680b99327e77fc451ced904efe339ac98","家庭教育の支援","一般会計","教育費","社会教育費","社会教育活動費","教育委員会事務局 生涯学習課","7378","生涯学習","supports","公式予算の会計・款・項・目と事業名から「生涯学習」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""lifelong-learning-and-community-education-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_02"",""identity_fields"":{""display_program_name"":""家庭教育の支援"",""hierarchy"":[""教育費"",""社会教育費"",""社会教育活動費""],""department_display_name"":""教育委員会事務局 生涯学習課"",""amount_thousand_yen"":7378},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_02_01_14_01"",""major_program_name"":""社会教育事業費"",""budget_program_name"":""家庭教育の支援"",""detail_program_name"":""家庭教育の支援"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10145}],""same_budget_item_other_program_names"":[""ＰＴＡ活動の支援"",""社会教育団体支援"",""社会教育団体文化祭"",""成人教育"",""生涯学習の推進"",""生涯学習事業運営"",""青少年教育"",""福祉教育""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_19_01_4965100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""家庭教育支援基盤形成事業費"",""家庭教育支援基盤形成事業費""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_03ed113ab1474c2fede6d8bd3081aa94f5c485afbf229714eaa18e47bc76b0e1","福祉教育","一般会計","教育費","社会教育費","社会教育活動費","教育委員会事務局 生涯学習課","6888","生涯学習","supports","公式予算の会計・款・項・目と事業名から「生涯学習」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""lifelong-learning-and-community-education-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_02"",""identity_fields"":{""display_program_name"":""福祉教育"",""hierarchy"":[""教育費"",""社会教育費"",""社会教育活動費""],""department_display_name"":""教育委員会事務局 生涯学習課"",""amount_thousand_yen"":6888},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_02_01_08_01"",""major_program_name"":""社会教育事業費"",""budget_program_name"":""福祉教育"",""detail_program_name"":""福祉教育"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10140}],""same_budget_item_other_program_names"":[""ＰＴＡ活動の支援"",""家庭教育の支援"",""社会教育団体支援"",""社会教育団体文化祭"",""成人教育"",""生涯学習の推進"",""生涯学習事業運営"",""青少年教育""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_f69abf9efe178c2218948309ff50e3f3414c1cb61c510dd514137cb20ef910f1","成人教育","一般会計","教育費","社会教育費","社会教育活動費","教育委員会事務局 生涯学習課","6075","生涯学習","supports","公式予算の会計・款・項・目と事業名から「生涯学習」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""lifelong-learning-and-community-education-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_02"",""identity_fields"":{""display_program_name"":""成人教育"",""hierarchy"":[""教育費"",""社会教育費"",""社会教育活動費""],""department_display_name"":""教育委員会事務局 生涯学習課"",""amount_thousand_yen"":6075},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_02_01_11_01"",""major_program_name"":""社会教育事業費"",""budget_program_name"":""成人教育"",""detail_program_name"":""成人教育"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10143}],""same_budget_item_other_program_names"":[""ＰＴＡ活動の支援"",""家庭教育の支援"",""社会教育団体支援"",""社会教育団体文化祭"",""生涯学習の推進"",""生涯学習事業運営"",""青少年教育"",""福祉教育""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_06_05_07_4965100000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""教育使用料"",""教育施設"",""陶芸室""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_20_01_4965100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""人権啓発活動区市町村補助金"",""人権啓発活動区市町村補助金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_08_33_4965100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""参加料・利用料"",""成人教育""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_f2f69f1e8119ba4bbb4a829f442e36eea24f6684092a435da93438f46d9e6b26","ＰＴＡ活動の支援","一般会計","教育費","社会教育費","社会教育活動費","教育委員会事務局 生涯学習課","5544","生涯学習","supports","公式予算の会計・款・項・目と事業名から「生涯学習」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""lifelong-learning-and-community-education-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_02"",""identity_fields"":{""display_program_name"":""ＰＴＡ活動の支援"",""hierarchy"":[""教育費"",""社会教育費"",""社会教育活動費""],""department_display_name"":""教育委員会事務局 生涯学習課"",""amount_thousand_yen"":5544},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_02_01_12_01"",""major_program_name"":""社会教育事業費"",""budget_program_name"":""ＰＴＡ活動の支援"",""detail_program_name"":""ＰＴＡ活動の支援"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10144}],""same_budget_item_other_program_names"":[""家庭教育の支援"",""社会教育団体支援"",""社会教育団体文化祭"",""成人教育"",""生涯学習の推進"",""生涯学習事業運営"",""青少年教育"",""福祉教育""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_18_02_4965100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""教育支援活動促進事業"",""地域ぐるみの学校安全体制の整備補助金（こども１１０番）""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_c76a343aa4ab352c3362c7f49fb569403e541fa073b50bff8a11d667162244f3","社会教育団体文化祭","一般会計","教育費","社会教育費","社会教育活動費","教育委員会事務局 生涯学習課","5313","生涯学習","supports","公式予算の会計・款・項・目と事業名から「生涯学習」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""lifelong-learning-and-community-education-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_02"",""identity_fields"":{""display_program_name"":""社会教育団体文化祭"",""hierarchy"":[""教育費"",""社会教育費"",""社会教育活動費""],""department_display_name"":""教育委員会事務局 生涯学習課"",""amount_thousand_yen"":5313},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_02_01_06_01"",""major_program_name"":""社会教育事業費"",""budget_program_name"":""社会教育団体文化祭"",""detail_program_name"":""社会教育団体文化祭"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10138}],""same_budget_item_other_program_names"":[""ＰＴＡ活動の支援"",""家庭教育の支援"",""社会教育団体支援"",""成人教育"",""生涯学習の推進"",""生涯学習事業運営"",""青少年教育"",""福祉教育""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
