"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_09d3870d14aac465d638f58e958e4113a78851829efeb7ba88c02cc4ef6fd509","公園・身近な広場維持運営","一般会計","土木費","公園費","公園管理費","みどり33推進担当部 公園緑地課","3578985","公園と身近な屋外空間を育てる","maintains","公式予算の会計・款・項・目と事業名から「公園と身近な屋外空間を育てる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""parks-and-public-open-spaces-official-structure"",""budget_item_key"":""2026_general_expenditure_07_04_01"",""identity_fields"":{""display_program_name"":""公園・身近な広場維持運営"",""hierarchy"":[""土木費"",""公園費"",""公園管理費""],""department_display_name"":""みどり33推進担当部 公園緑地課"",""amount_thousand_yen"":3578985},""member_programs"":[{""program_id"":""2026_general_expenditure_07_04_01_01_13_01"",""major_program_name"":""公園・身近な広場維持管理事業費"",""budget_program_name"":""公園・身近な広場維持運営"",""detail_program_name"":""公園・身近な広場維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9986}],""same_budget_item_other_program_names"":[""みどり３３推進担当部庶務事務"",""ミニＳＬ管理運営"",""崖線樹林地保全管理"",""公園プール維持運営"",""公園事務"",""多摩川玉堤広場維持管理"",""農業公園維持運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_05_05_03_3835300000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""土木使用料"",""公園占用"",""公園常時占用""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_01_05_05_04_3835300000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""土木使用料"",""公園占用"",""公園一時占用""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_01_05_06_10_3835300000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""土木使用料"",""公園施設"",""公園有料施設""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_01_05_06_13_3835300000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""土木使用料"",""公園施設"",""公園駐車場""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_01_05_06_14_3835300000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""土木使用料"",""公園施設"",""公園売店""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_01_05_06_15_3835300000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""土木使用料"",""公園施設"",""シェアサイクルポート""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_05_03_17_3835300000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""土木手数料"",""放置自転車"",""放置自動二輪車等撤去手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_60_53_3835300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""地域福祉推進区市町村包括補助事業"",""公共施設バリアフリー""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_41_01_07_3835300000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""みどりのトラスト基金繰入金"",""みどりのトラスト基金"",""公園・身近な広場維持運営""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_14_3835300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""公園・身近な広場""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_09_06_3835300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""自治体賠償"",""自治体賠償（公園施設）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_51_85_3835300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""雑入（２）"",""移動販売車営業料""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_ce720411b75ae5899b46cd419717f8bde68af21c822bb2d7f2e57f1093a940af","公園用地買収","一般会計","土木費","公園費","公園新設改良費","みどり33推進担当部 公園利活用推進課","3495859","公園と身近な屋外空間を育てる","maintains","公式予算の会計・款・項・目と事業名から「公園と身近な屋外空間を育てる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""parks-and-public-open-spaces-official-structure"",""budget_item_key"":""2026_general_expenditure_07_04_02"",""identity_fields"":{""display_program_name"":""公園用地買収"",""hierarchy"":[""土木費"",""公園費"",""公園新設改良費""],""department_display_name"":""みどり33推進担当部 公園利活用推進課"",""amount_thousand_yen"":3495859},""member_programs"":[{""program_id"":""2026_general_expenditure_07_04_02_01_28_01"",""major_program_name"":""公園・身近な広場新設改良事業費"",""budget_program_name"":""公園用地買収"",""detail_program_name"":""公園用地買収"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9994}],""same_budget_item_other_program_names"":[""公園・身近な広場改修"",""公園新設"",""大規模公園改修"",""緑道整備""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_04_51_01_3835400000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""土木費補助金"",""社会資本整備総合交付金"",""公園用地買収""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_01_02_3835400000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""都市計画交付金"",""公園用地""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_61_01_3835400000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""生産緑地買取り事業補助金"",""都市計画公園・緑地整備""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_41_01_02_3835400000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""みどりのトラスト基金繰入金"",""みどりのトラスト基金"",""公園用地買収""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_20_01_03_04_01_3835400000"",""revenue_hierarchy"":[""特別区債"",""特別区債"",""土木債"",""公園用地費"",""公園用地買収""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_2073b54f96f42cdf315b2f6d36636067341f2105e1ba4f089a77c0e667da4bdf","大規模公園改修","一般会計","土木費","公園費","公園新設改良費","みどり33推進担当部 公園緑地課","1441754","公園と身近な屋外空間を育てる","maintains","公式予算の会計・款・項・目と事業名から「公園と身近な屋外空間を育てる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""parks-and-public-open-spaces-official-structure"",""budget_item_key"":""2026_general_expenditure_07_04_02"",""identity_fields"":{""display_program_name"":""大規模公園改修"",""hierarchy"":[""土木費"",""公園費"",""公園新設改良費""],""department_display_name"":""みどり33推進担当部 公園緑地課"",""amount_thousand_yen"":1441754},""member_programs"":[{""program_id"":""2026_general_expenditure_07_04_02_01_30_01"",""major_program_name"":""公園・身近な広場新設改良事業費"",""budget_program_name"":""大規模公園改修"",""detail_program_name"":""大規模公園改修"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9991}],""same_budget_item_other_program_names"":[""公園・身近な広場改修"",""公園新設"",""公園用地買収"",""緑道整備""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_01_51_3835300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""都市計画交付金"",""大規模公園改修""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_41_01_09_3835300000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""みどりのトラスト基金繰入金"",""みどりのトラスト基金"",""大規模公園改修""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_754daa2204c3668a7b02356f0aea10473a0b0a802f1c6d7c6d26e37591f81ba0","公園・身近な広場改修","一般会計","土木費","公園費","公園新設改良費","みどり33推進担当部 公園緑地課","346759","公園と身近な屋外空間を育てる","maintains","公式予算の会計・款・項・目と事業名から「公園と身近な屋外空間を育てる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""parks-and-public-open-spaces-official-structure"",""budget_item_key"":""2026_general_expenditure_07_04_02"",""identity_fields"":{""display_program_name"":""公園・身近な広場改修"",""hierarchy"":[""土木費"",""公園費"",""公園新設改良費""],""department_display_name"":""みどり33推進担当部 公園緑地課"",""amount_thousand_yen"":346759},""member_programs"":[{""program_id"":""2026_general_expenditure_07_04_02_01_31_01"",""major_program_name"":""公園・身近な広場新設改良事業費"",""budget_program_name"":""公園・身近な広場改修"",""detail_program_name"":""公園・身近な広場改修"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9992}],""same_budget_item_other_program_names"":[""公園新設"",""公園用地買収"",""大規模公園改修"",""緑道整備""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_91675a8aa0cff4b45d59f28cb96d43ead49684d25d0e1b8ff3933891522c6979","公園新設","一般会計","土木費","公園費","公園新設改良費","みどり33推進担当部 公園緑地課","208152","公園と身近な屋外空間を育てる","maintains","公式予算の会計・款・項・目と事業名から「公園と身近な屋外空間を育てる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""parks-and-public-open-spaces-official-structure"",""budget_item_key"":""2026_general_expenditure_07_04_02"",""identity_fields"":{""display_program_name"":""公園新設"",""hierarchy"":[""土木費"",""公園費"",""公園新設改良費""],""department_display_name"":""みどり33推進担当部 公園緑地課"",""amount_thousand_yen"":208152},""member_programs"":[{""program_id"":""2026_general_expenditure_07_04_02_01_27_01"",""major_program_name"":""公園・身近な広場新設改良事業費"",""budget_program_name"":""公園新設"",""detail_program_name"":""公園新設"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9990}],""same_budget_item_other_program_names"":[""公園・身近な広場改修"",""公園用地買収"",""大規模公園改修"",""緑道整備""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_04_51_02_3835300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""土木費補助金"",""社会資本整備総合交付金"",""公園新設""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_05_27_02_3835300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""産業経済費補助金"",""都市農地保全支援プロジェクト補助金"",""農業公園整備事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_01_05_3835300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""都市計画交付金"",""公園整備""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_81a1df963d1a7b2afc2c028d5899df5f85f0e78ee8da87791eb457a3dfe3837a","崖線樹林地保全管理","一般会計","土木費","公園費","公園管理費","みどり33推進担当部 公園緑地課","113670","公園と身近な屋外空間を育てる","maintains","公式予算の会計・款・項・目と事業名から「公園と身近な屋外空間を育てる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""parks-and-public-open-spaces-official-structure"",""budget_item_key"":""2026_general_expenditure_07_04_01"",""identity_fields"":{""display_program_name"":""崖線樹林地保全管理"",""hierarchy"":[""土木費"",""公園費"",""公園管理費""],""department_display_name"":""みどり33推進担当部 公園緑地課"",""amount_thousand_yen"":113670},""member_programs"":[{""program_id"":""2026_general_expenditure_07_04_01_01_16_01"",""major_program_name"":""公園・身近な広場維持管理事業費"",""budget_program_name"":""崖線樹林地保全管理"",""detail_program_name"":""崖線樹林地保全管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9987}],""same_budget_item_other_program_names"":[""みどり３３推進担当部庶務事務"",""ミニＳＬ管理運営"",""公園・身近な広場維持運営"",""公園プール維持運営"",""公園事務"",""多摩川玉堤広場維持管理"",""農業公園維持運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_17_01_41_01_15_3835300000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""みどりのトラスト基金繰入金"",""みどりのトラスト基金"",""崖線樹林地保全管理""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_4a36b092eb3a237461040e6c0341150fc7fdb95e370ba266f205914960a55fcb","多摩川玉堤広場維持管理","一般会計","土木費","公園費","公園管理費","みどり33推進担当部 公園緑地課","112102","公園と身近な屋外空間を育てる","maintains","公式予算の会計・款・項・目と事業名から「公園と身近な屋外空間を育てる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""parks-and-public-open-spaces-official-structure"",""budget_item_key"":""2026_general_expenditure_07_04_01"",""identity_fields"":{""display_program_name"":""多摩川玉堤広場維持管理"",""hierarchy"":[""土木費"",""公園費"",""公園管理費""],""department_display_name"":""みどり33推進担当部 公園緑地課"",""amount_thousand_yen"":112102},""member_programs"":[{""program_id"":""2026_general_expenditure_07_04_01_01_01_01"",""major_program_name"":""公園・身近な広場維持管理事業費"",""budget_program_name"":""多摩川玉堤広場維持管理"",""detail_program_name"":""多摩川玉堤広場維持管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9982}],""same_budget_item_other_program_names"":[""みどり３３推進担当部庶務事務"",""ミニＳＬ管理運営"",""崖線樹林地保全管理"",""公園・身近な広場維持運営"",""公園プール維持運営"",""公園事務"",""農業公園維持運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_11_01_03_02_01_3835300000"",""revenue_hierarchy"":[""分担金及負担金"",""負担金"",""土木費負担金"",""多摩川玉堤広場管理費"",""多摩川玉堤広場共同管理負担金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_01_05_06_04_3835300000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""土木使用料"",""公園施設"",""多摩川玉堤広場""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_55_3835300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""多摩川緑地広場管理公社""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_09f7661ddc631e2a700570fbe09e434626cd9b09c1ac0f1ad6c47f78e7bb0107","農業公園維持運営","一般会計","土木費","公園費","公園管理費","みどり33推進担当部 公園緑地課","100069","公園と身近な屋外空間を育てる","maintains","公式予算の会計・款・項・目と事業名から「公園と身近な屋外空間を育てる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""parks-and-public-open-spaces-official-structure"",""budget_item_key"":""2026_general_expenditure_07_04_01"",""identity_fields"":{""display_program_name"":""農業公園維持運営"",""hierarchy"":[""土木費"",""公園費"",""公園管理費""],""department_display_name"":""みどり33推進担当部 公園緑地課"",""amount_thousand_yen"":100069},""member_programs"":[{""program_id"":""2026_general_expenditure_07_04_01_01_17_01"",""major_program_name"":""公園・身近な広場維持管理事業費"",""budget_program_name"":""農業公園維持運営"",""detail_program_name"":""農業公園維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9988}],""same_budget_item_other_program_names"":[""みどり３３推進担当部庶務事務"",""ミニＳＬ管理運営"",""崖線樹林地保全管理"",""公園・身近な広場維持運営"",""公園プール維持運営"",""公園事務"",""多摩川玉堤広場維持管理""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_08_28_3835300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""参加料・利用料"",""農業体験等参加料""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_f7529051efff04177f53f94110d58d9e502973971632f248ead2c4f304727c22","公園プール維持運営","一般会計","土木費","公園費","公園管理費","みどり33推進担当部 公園緑地課","71459","公園と身近な屋外空間を育てる","maintains","公式予算の会計・款・項・目と事業名から「公園と身近な屋外空間を育てる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""parks-and-public-open-spaces-official-structure"",""budget_item_key"":""2026_general_expenditure_07_04_01"",""identity_fields"":{""display_program_name"":""公園プール維持運営"",""hierarchy"":[""土木費"",""公園費"",""公園管理費""],""department_display_name"":""みどり33推進担当部 公園緑地課"",""amount_thousand_yen"":71459},""member_programs"":[{""program_id"":""2026_general_expenditure_07_04_01_01_12_01"",""major_program_name"":""公園・身近な広場維持管理事業費"",""budget_program_name"":""公園プール維持運営"",""detail_program_name"":""公園プール維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9985}],""same_budget_item_other_program_names"":[""みどり３３推進担当部庶務事務"",""ミニＳＬ管理運営"",""崖線樹林地保全管理"",""公園・身近な広場維持運営"",""公園事務"",""多摩川玉堤広場維持管理"",""農業公園維持運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_05_06_05_3835300000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""土木使用料"",""公園施設"",""公園水泳場""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_b5e30635cd3ac5636755ccfbcc4c0763dec83ab18ab234875a7b4adc63c51bb0","ミニＳＬ管理運営","一般会計","土木費","公園費","公園管理費","みどり33推進担当部 公園緑地課","53937","公園と身近な屋外空間を育てる","maintains","公式予算の会計・款・項・目と事業名から「公園と身近な屋外空間を育てる」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""parks-and-public-open-spaces-official-structure"",""budget_item_key"":""2026_general_expenditure_07_04_01"",""identity_fields"":{""display_program_name"":""ミニＳＬ管理運営"",""hierarchy"":[""土木費"",""公園費"",""公園管理費""],""department_display_name"":""みどり33推進担当部 公園緑地課"",""amount_thousand_yen"":53937},""member_programs"":[{""program_id"":""2026_general_expenditure_07_04_01_01_06_01"",""major_program_name"":""公園・身近な広場維持管理事業費"",""budget_program_name"":""ミニＳＬ管理運営"",""detail_program_name"":""ミニＳＬ管理運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9984}],""same_budget_item_other_program_names"":[""みどり３３推進担当部庶務事務"",""崖線樹林地保全管理"",""公園・身近な広場維持運営"",""公園プール維持運営"",""公園事務"",""多摩川玉堤広場維持管理"",""農業公園維持運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_05_06_01_3835300000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""土木使用料"",""公園施設"",""ミニＳＬ""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_45_26_3835300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""広告料収入"",""ミニＳＬネーミングライツ""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
