"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_7fc474cb88c61f73194838556c1c41e8ecf1b4f938492a04fb780e0b86e8deb2","私立幼稚園施設等利用給付","一般会計","教育費","教育総務費","教育振興費","子ども・若者部 子ども・若者支援課","1647359","多様な学びと教育相談を充実する","supports","公式予算の会計・款・項・目と事業名から「多様な学びと教育相談を充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""diverse-learning-and-education-support-official-structure"",""budget_item_key"":""2026_general_expenditure_08_01_04"",""identity_fields"":{""display_program_name"":""私立幼稚園施設等利用給付"",""hierarchy"":[""教育費"",""教育総務費"",""教育振興費""],""department_display_name"":""子ども・若者部 子ども・若者支援課"",""amount_thousand_yen"":1647359},""member_programs"":[{""program_id"":""2026_general_expenditure_08_01_04_02_01_01"",""major_program_name"":""幼稚園施設等利用給付費"",""budget_program_name"":""私立幼稚園施設等利用給付"",""detail_program_name"":""私立幼稚園施設等利用給付"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9797}],""same_budget_item_other_program_names"":[],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_01_01_40_08_3665150000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""民生費負担金"",""子育てのための施設等利用給付交付金"",""私立幼稚園""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_01_01_33_08_3665150000"",""revenue_hierarchy"":[""都支出金"",""都負担金"",""民生費負担金"",""子育てのための施設等利用給付交付金"",""私立幼稚園""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_ebb4aa1427050eece558b12256b2b2019831576149306b9ccb2206e9fa35de01","学校支援・生活指導相談等","一般会計","教育費","教育総務費","教育指導費","教育委員会事務局 教育指導課","664472","多様な学びと教育相談を充実する","supports","公式予算の会計・款・項・目と事業名から「多様な学びと教育相談を充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""diverse-learning-and-education-support-official-structure"",""budget_item_key"":""2026_general_expenditure_08_01_03"",""identity_fields"":{""display_program_name"":""学校支援・生活指導相談等"",""hierarchy"":[""教育費"",""教育総務費"",""教育指導費""],""department_display_name"":""教育委員会事務局 教育指導課"",""amount_thousand_yen"":664472},""member_programs"":[{""program_id"":""2026_general_expenditure_08_01_03_01_34_01"",""major_program_name"":""教育指導関係運営費"",""budget_program_name"":""学校支援・生活指導相談等"",""detail_program_name"":""学校支援・生活指導相談等"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10184}],""same_budget_item_other_program_names"":[""ＩＣＴを活用した学びの推進"",""スポーツ教室"",""英語教育の推進"",""外国人英語教育指導補助員派遣"",""外国人児童生徒等日本語指導員派遣"",""学校における働き方改革の推進"",""学校運営協議会"",""学校関係者評価制度の推進"",""学校給食管理指導"",""学校支援地域本部"",""学校職員研修"",""学校保健指導"",""教育研究会活動補助"",""教育研究校運営"",""教育指導の推進"",""教科日本語の推進"",""教材開発"",""教職員研修"",""指導補助員等配置"",""就学支援委員会運営"",""小中学校連合行事"",""小中学生の国際交流"",""新・才能の芽を育てる体験学習"",""世田谷遊びと学びの教育基金積立金"",""大学等教育機関との連携"",""地域運営学校"",""中学生課外活動支援事業（ＳＴＥＰ）"",""特色ある学校づくり推進事業"",""特別支援教育の推進"",""乳幼児期の教育・保育の推進"",""部活動の支援""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_58_01_4975200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""エデュケーション・アシスタント配置支援事業"",""エデュケーション・アシスタント配置支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_59_04_4975200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""東京都公立小・中学校インクルーシブ教育支援員配置補助事業"",""東京都公立小・中学校インクルーシブ教育支援員配置補助事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_558569c32266648fd444ae3d42e928360f90fc1f38884d2701ab38901ac6f8a8","英語教育の推進","一般会計","教育費","教育総務費","教育指導費","教育委員会事務局 教育指導課","579595","多様な学びと教育相談を充実する","supports","公式予算の会計・款・項・目と事業名から「多様な学びと教育相談を充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""diverse-learning-and-education-support-official-structure"",""budget_item_key"":""2026_general_expenditure_08_01_03"",""identity_fields"":{""display_program_name"":""英語教育の推進"",""hierarchy"":[""教育費"",""教育総務費"",""教育指導費""],""department_display_name"":""教育委員会事務局 教育指導課"",""amount_thousand_yen"":579595},""member_programs"":[{""program_id"":""2026_general_expenditure_08_01_03_01_53_01"",""major_program_name"":""教育指導関係運営費"",""budget_program_name"":""英語教育の推進"",""detail_program_name"":""英語教育の推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10192}],""same_budget_item_other_program_names"":[""ＩＣＴを活用した学びの推進"",""スポーツ教室"",""外国人英語教育指導補助員派遣"",""外国人児童生徒等日本語指導員派遣"",""学校における働き方改革の推進"",""学校運営協議会"",""学校関係者評価制度の推進"",""学校給食管理指導"",""学校支援・生活指導相談等"",""学校支援地域本部"",""学校職員研修"",""学校保健指導"",""教育研究会活動補助"",""教育研究校運営"",""教育指導の推進"",""教科日本語の推進"",""教材開発"",""教職員研修"",""指導補助員等配置"",""就学支援委員会運営"",""小中学校連合行事"",""小中学生の国際交流"",""新・才能の芽を育てる体験学習"",""世田谷遊びと学びの教育基金積立金"",""大学等教育機関との連携"",""地域運営学校"",""中学生課外活動支援事業（ＳＴＥＰ）"",""特色ある学校づくり推進事業"",""特別支援教育の推進"",""乳幼児期の教育・保育の推進"",""部活動の支援""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_12_10_02_4975200000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入（２）"",""ＡＩの活用による英語教育強化事業費"",""ＡＩの活用による英語教育強化事業費""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_ae1bb5a9c82cf898d879f22b0a23a439fb2bc610a77d55abad9cd65b34921fac","指導補助員等配置","一般会計","教育費","教育総務費","教育指導費","教育委員会事務局 教育指導課","550646","多様な学びと教育相談を充実する","supports","公式予算の会計・款・項・目と事業名から「多様な学びと教育相談を充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""diverse-learning-and-education-support-official-structure"",""budget_item_key"":""2026_general_expenditure_08_01_03"",""identity_fields"":{""display_program_name"":""指導補助員等配置"",""hierarchy"":[""教育費"",""教育総務費"",""教育指導費""],""department_display_name"":""教育委員会事務局 教育指導課"",""amount_thousand_yen"":550646},""member_programs"":[{""program_id"":""2026_general_expenditure_08_01_03_01_36_01"",""major_program_name"":""教育指導関係運営費"",""budget_program_name"":""指導補助員等配置"",""detail_program_name"":""指導補助員等配置"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10186}],""same_budget_item_other_program_names"":[""ＩＣＴを活用した学びの推進"",""スポーツ教室"",""英語教育の推進"",""外国人英語教育指導補助員派遣"",""外国人児童生徒等日本語指導員派遣"",""学校における働き方改革の推進"",""学校運営協議会"",""学校関係者評価制度の推進"",""学校給食管理指導"",""学校支援・生活指導相談等"",""学校支援地域本部"",""学校職員研修"",""学校保健指導"",""教育研究会活動補助"",""教育研究校運営"",""教育指導の推進"",""教科日本語の推進"",""教材開発"",""教職員研修"",""就学支援委員会運営"",""小中学校連合行事"",""小中学生の国際交流"",""新・才能の芽を育てる体験学習"",""世田谷遊びと学びの教育基金積立金"",""大学等教育機関との連携"",""地域運営学校"",""中学生課外活動支援事業（ＳＴＥＰ）"",""特色ある学校づくり推進事業"",""特別支援教育の推進"",""乳幼児期の教育・保育の推進"",""部活動の支援""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_01_03_4975200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""理科教育設備費"",""理科観察実験支援事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_b10236fb0974a5d6826efe2dbd3b445f6c4c0b9d7c9b5df779c9372e8b540323","ＩＣＴを活用した学びの推進","一般会計","教育費","教育総務費","教育指導費","教育委員会事務局 教育ＤＸ推進担当課","508282","多様な学びと教育相談を充実する","supports","公式予算の会計・款・項・目と事業名から「多様な学びと教育相談を充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""diverse-learning-and-education-support-official-structure"",""budget_item_key"":""2026_general_expenditure_08_01_03"",""identity_fields"":{""display_program_name"":""ＩＣＴを活用した学びの推進"",""hierarchy"":[""教育費"",""教育総務費"",""教育指導費""],""department_display_name"":""教育委員会事務局 教育ＤＸ推進担当課"",""amount_thousand_yen"":508282},""member_programs"":[{""program_id"":""2026_general_expenditure_08_01_03_01_49_01"",""major_program_name"":""教育指導関係運営費"",""budget_program_name"":""ＩＣＴを活用した学びの推進"",""detail_program_name"":""ＩＣＴを活用した学びの推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10227}],""same_budget_item_other_program_names"":[""スポーツ教室"",""英語教育の推進"",""外国人英語教育指導補助員派遣"",""外国人児童生徒等日本語指導員派遣"",""学校における働き方改革の推進"",""学校運営協議会"",""学校関係者評価制度の推進"",""学校給食管理指導"",""学校支援・生活指導相談等"",""学校支援地域本部"",""学校職員研修"",""学校保健指導"",""教育研究会活動補助"",""教育研究校運営"",""教育指導の推進"",""教科日本語の推進"",""教材開発"",""教職員研修"",""指導補助員等配置"",""就学支援委員会運営"",""小中学校連合行事"",""小中学生の国際交流"",""新・才能の芽を育てる体験学習"",""世田谷遊びと学びの教育基金積立金"",""大学等教育機関との連携"",""地域運営学校"",""中学生課外活動支援事業（ＳＴＥＰ）"",""特色ある学校づくり推進事業"",""特別支援教育の推進"",""乳幼児期の教育・保育の推進"",""部活動の支援""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_45_01_4985120000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""東京都デジタル利活用支援員配置支援事業"",""ＩＣＴ支援員""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_48959ace629ad06775a7cf9725c44a1e0d99bf276a3ba0affd371303b4b635ac","特別支援教育の推進","一般会計","教育費","教育総務費","教育指導費","教育委員会事務局 支援教育課","439440","多様な学びと教育相談を充実する","supports","公式予算の会計・款・項・目と事業名から「多様な学びと教育相談を充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""diverse-learning-and-education-support-official-structure"",""budget_item_key"":""2026_general_expenditure_08_01_03"",""identity_fields"":{""display_program_name"":""特別支援教育の推進"",""hierarchy"":[""教育費"",""教育総務費"",""教育指導費""],""department_display_name"":""教育委員会事務局 支援教育課"",""amount_thousand_yen"":439440},""member_programs"":[{""program_id"":""2026_general_expenditure_08_01_03_01_24_01"",""major_program_name"":""教育指導関係運営費"",""budget_program_name"":""特別支援教育の推進"",""detail_program_name"":""特別支援教育の推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10232}],""same_budget_item_other_program_names"":[""ＩＣＴを活用した学びの推進"",""スポーツ教室"",""英語教育の推進"",""外国人英語教育指導補助員派遣"",""外国人児童生徒等日本語指導員派遣"",""学校における働き方改革の推進"",""学校運営協議会"",""学校関係者評価制度の推進"",""学校給食管理指導"",""学校支援・生活指導相談等"",""学校支援地域本部"",""学校職員研修"",""学校保健指導"",""教育研究会活動補助"",""教育研究校運営"",""教育指導の推進"",""教科日本語の推進"",""教材開発"",""教職員研修"",""指導補助員等配置"",""就学支援委員会運営"",""小中学校連合行事"",""小中学生の国際交流"",""新・才能の芽を育てる体験学習"",""世田谷遊びと学びの教育基金積立金"",""大学等教育機関との連携"",""地域運営学校"",""中学生課外活動支援事業（ＳＴＥＰ）"",""特色ある学校づくり推進事業"",""乳幼児期の教育・保育の推進"",""部活動の支援""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_25_03_4985300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""教育支援体制整備事業費補助金"",""インクルーシブ教育システム推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_15_04_4985300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""スクールソーシャルワーカー活用事業費"",""スクールソーシャルワーカー活用事業費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_59_03_4985300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""東京都公立小・中学校インクルーシブ教育支援員配置補助事業"",""東京都公立小・中学校インクルーシブ教育支援員配置補助事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_bcffc2ad0eeaf6c34c32c2893f1ec55777adeda9e09e66f8612d1e4a1ce66581","部活動の支援","一般会計","教育費","教育総務費","教育指導費","教育委員会事務局 地域学校連携課","332551","多様な学びと教育相談を充実する","supports","公式予算の会計・款・項・目と事業名から「多様な学びと教育相談を充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""diverse-learning-and-education-support-official-structure"",""budget_item_key"":""2026_general_expenditure_08_01_03"",""identity_fields"":{""display_program_name"":""部活動の支援"",""hierarchy"":[""教育費"",""教育総務費"",""教育指導費""],""department_display_name"":""教育委員会事務局 地域学校連携課"",""amount_thousand_yen"":332551},""member_programs"":[{""program_id"":""2026_general_expenditure_08_01_03_01_29_01"",""major_program_name"":""教育指導関係運営費"",""budget_program_name"":""部活動の支援"",""detail_program_name"":""部活動の支援"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10209}],""same_budget_item_other_program_names"":[""ＩＣＴを活用した学びの推進"",""スポーツ教室"",""英語教育の推進"",""外国人英語教育指導補助員派遣"",""外国人児童生徒等日本語指導員派遣"",""学校における働き方改革の推進"",""学校運営協議会"",""学校関係者評価制度の推進"",""学校給食管理指導"",""学校支援・生活指導相談等"",""学校支援地域本部"",""学校職員研修"",""学校保健指導"",""教育研究会活動補助"",""教育研究校運営"",""教育指導の推進"",""教科日本語の推進"",""教材開発"",""教職員研修"",""指導補助員等配置"",""就学支援委員会運営"",""小中学校連合行事"",""小中学生の国際交流"",""新・才能の芽を育てる体験学習"",""世田谷遊びと学びの教育基金積立金"",""大学等教育機関との連携"",""地域運営学校"",""中学生課外活動支援事業（ＳＴＥＰ）"",""特色ある学校づくり推進事業"",""特別支援教育の推進"",""乳幼児期の教育・保育の推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_48_01_4980100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""中学校の部活動における外部指導者配置支援事業"",""中学校の部活動における外部指導者配置支援事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_f1fd5f1954417aade5316f6505b726bf70c483ce5e011953c450fb7100986389","要保護・準要保護児童に対する扶助","一般会計","教育費","小学校費","教育振興費","教育委員会事務局 学務課","309688","多様な学びと教育相談を充実する","supports","公式予算の会計・款・項・目と事業名から「多様な学びと教育相談を充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""diverse-learning-and-education-support-official-structure"",""budget_item_key"":""2026_general_expenditure_08_02_02"",""identity_fields"":{""display_program_name"":""要保護・準要保護児童に対する扶助"",""hierarchy"":[""教育費"",""小学校費"",""教育振興費""],""department_display_name"":""教育委員会事務局 学務課"",""amount_thousand_yen"":309688},""member_programs"":[{""program_id"":""2026_general_expenditure_08_02_02_01_01_01"",""major_program_name"":""小学校就学関係扶助費"",""budget_program_name"":""要保護・準要保護児童に対する扶助"",""detail_program_name"":""要保護・準要保護児童に対する扶助"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10197}],""same_budget_item_other_program_names"":[""特別支援学級児童就学奨励""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_57acce209855de0dffb2a4108439de421c0fcf10e13a4dd191430592524a53b9","要保護・準要保護生徒に対する扶助","一般会計","教育費","中学校費","教育振興費","教育委員会事務局 学務課","181117","多様な学びと教育相談を充実する","supports","公式予算の会計・款・項・目と事業名から「多様な学びと教育相談を充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""diverse-learning-and-education-support-official-structure"",""budget_item_key"":""2026_general_expenditure_08_03_02"",""identity_fields"":{""display_program_name"":""要保護・準要保護生徒に対する扶助"",""hierarchy"":[""教育費"",""中学校費"",""教育振興費""],""department_display_name"":""教育委員会事務局 学務課"",""amount_thousand_yen"":181117},""member_programs"":[{""program_id"":""2026_general_expenditure_08_03_02_01_01_01"",""major_program_name"":""中学校就学関係扶助費"",""budget_program_name"":""要保護・準要保護生徒に対する扶助"",""detail_program_name"":""要保護・準要保護生徒に対する扶助"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10201}],""same_budget_item_other_program_names"":[""特別支援学級生徒就学奨励""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_04_02_4975300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""就学援助扶助費"",""中学校""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_507022c3562239d0dddda33595fe42e768f7ca1dac2f22d2d9b8409a6e0e2f14","教育総合センター維持管理","一般会計","教育費","教育総務費","教育センター費","教育委員会事務局 教育相談課","132952","多様な学びと教育相談を充実する","supports","公式予算の会計・款・項・目と事業名から「多様な学びと教育相談を充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""diverse-learning-and-education-support-official-structure"",""budget_item_key"":""2026_general_expenditure_08_01_07"",""identity_fields"":{""display_program_name"":""教育総合センター維持管理"",""hierarchy"":[""教育費"",""教育総務費"",""教育センター費""],""department_display_name"":""教育委員会事務局 教育相談課"",""amount_thousand_yen"":132952},""member_programs"":[{""program_id"":""2026_general_expenditure_08_01_07_02_01_01"",""major_program_name"":""教育総合センター維持運営費"",""budget_program_name"":""教育総合センター維持管理"",""detail_program_name"":""教育総合センター維持管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10220}],""same_budget_item_other_program_names"":[""ほっとスクールの運営"",""教育施設等整備・改修"",""教育相談・ネットワーク連携"",""教育総合センター事業運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_06_05_19_4985100000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""教育使用料"",""教育施設"",""教育総合センター研修室""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_89_4985100000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""教育総合センター""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_15_33_4985100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""リサイクル資源売払金"",""教育総合センター維持管理""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_54_92_4985100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金（２）"",""教育総合センター""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_12_05_06_4985100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入（２）"",""光熱水費等負担金（３）"",""教育総合センター（電気自動車）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
