"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_2f71dc6a1bb24ac902f856df671525cbb761e76677a2a03d90602f612dfd5f0a","学校給食事務運営","一般会計","教育費","学校給食管理費","学校給食管理費","教育委員会事務局 学校健康推進課","4483774","学校給食","maintains","公式予算の会計・款・項・目と事業名から「学校給食」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-and-accessible-school-meals-official-structure"",""budget_item_key"":""2026_general_expenditure_08_08_01"",""identity_fields"":{""display_program_name"":""学校給食事務運営"",""hierarchy"":[""教育費"",""学校給食管理費"",""学校給食管理費""],""department_display_name"":""教育委員会事務局 学校健康推進課"",""amount_thousand_yen"":4483774},""member_programs"":[{""program_id"":""2026_general_expenditure_08_08_01_01_05_01"",""major_program_name"":""学校給食管理費"",""budget_program_name"":""学校給食事務運営"",""detail_program_name"":""学校給食事務運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10112}],""same_budget_item_other_program_names"":[""学校給食費収納事務"",""学校給食保護者負担軽減事務"",""小学校給食維持運営"",""中学校給食維持運営"",""調理場維持運営"",""調理場施設整備工事""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_54_07_4960150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""学校給食費支援事業"",""学校給食費支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_03_14_01_4960150000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""賄収入"",""学校給食"",""学校給食費賄収入""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_910a35cc9e5e73b00e129e16cf76f5c607cd9536b554e7462642aefcd5ac5487","小学校給食維持運営","一般会計","教育費","学校給食管理費","学校給食管理費","教育委員会事務局 学校健康推進課","3163729","学校給食","maintains","公式予算の会計・款・項・目と事業名から「学校給食」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-and-accessible-school-meals-official-structure"",""budget_item_key"":""2026_general_expenditure_08_08_01"",""identity_fields"":{""display_program_name"":""小学校給食維持運営"",""hierarchy"":[""教育費"",""学校給食管理費"",""学校給食管理費""],""department_display_name"":""教育委員会事務局 学校健康推進課"",""amount_thousand_yen"":3163729},""member_programs"":[{""program_id"":""2026_general_expenditure_08_08_01_01_01_01"",""major_program_name"":""学校給食管理費"",""budget_program_name"":""小学校給食維持運営"",""detail_program_name"":""小学校給食維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10108}],""same_budget_item_other_program_names"":[""学校給食事務運営"",""学校給食費収納事務"",""学校給食保護者負担軽減事務"",""中学校給食維持運営"",""調理場維持運営"",""調理場施設整備工事""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_54_05_4960150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""学校給食費支援事業"",""学校給食費支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_15_38_4960150000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""リサイクル資源売払金"",""廃食用油回収事業（給食）""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_3f9fdf3bcde738d093895512dc7e0d65330f039e39c40489c5810deb597317d4","中学校給食維持運営","一般会計","教育費","学校給食管理費","学校給食管理費","教育委員会事務局 学校健康推進課","1010741","学校給食","maintains","公式予算の会計・款・項・目と事業名から「学校給食」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-and-accessible-school-meals-official-structure"",""budget_item_key"":""2026_general_expenditure_08_08_01"",""identity_fields"":{""display_program_name"":""中学校給食維持運営"",""hierarchy"":[""教育費"",""学校給食管理費"",""学校給食管理費""],""department_display_name"":""教育委員会事務局 学校健康推進課"",""amount_thousand_yen"":1010741},""member_programs"":[{""program_id"":""2026_general_expenditure_08_08_01_01_02_01"",""major_program_name"":""学校給食管理費"",""budget_program_name"":""中学校給食維持運営"",""detail_program_name"":""中学校給食維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10109}],""same_budget_item_other_program_names"":[""学校給食事務運営"",""学校給食費収納事務"",""学校給食保護者負担軽減事務"",""小学校給食維持運営"",""調理場維持運営"",""調理場施設整備工事""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_5644bfec357b6ff24ccc2e68974345bae2496b56182d0e42963cafb188053451","調理場維持運営","一般会計","教育費","学校給食管理費","学校給食管理費","教育委員会事務局 学校健康推進課","521675","学校給食","maintains","公式予算の会計・款・項・目と事業名から「学校給食」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-and-accessible-school-meals-official-structure"",""budget_item_key"":""2026_general_expenditure_08_08_01"",""identity_fields"":{""display_program_name"":""調理場維持運営"",""hierarchy"":[""教育費"",""学校給食管理費"",""学校給食管理費""],""department_display_name"":""教育委員会事務局 学校健康推進課"",""amount_thousand_yen"":521675},""member_programs"":[{""program_id"":""2026_general_expenditure_08_08_01_01_03_01"",""major_program_name"":""学校給食管理費"",""budget_program_name"":""調理場維持運営"",""detail_program_name"":""調理場維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10110}],""same_budget_item_other_program_names"":[""学校給食事務運営"",""学校給食費収納事務"",""学校給食保護者負担軽減事務"",""小学校給食維持運営"",""中学校給食維持運営"",""調理場施設整備工事""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_0055ff05fbde84fba394fd35cedba5888c1b982eccfb61afafaecc7fe6f2eb2f","調理場施設整備工事","一般会計","教育費","学校給食管理費","学校給食管理費","教育委員会事務局 学校健康推進課","69278","学校給食","maintains","公式予算の会計・款・項・目と事業名から「学校給食」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-and-accessible-school-meals-official-structure"",""budget_item_key"":""2026_general_expenditure_08_08_01"",""identity_fields"":{""display_program_name"":""調理場施設整備工事"",""hierarchy"":[""教育費"",""学校給食管理費"",""学校給食管理費""],""department_display_name"":""教育委員会事務局 学校健康推進課"",""amount_thousand_yen"":69278},""member_programs"":[{""program_id"":""2026_general_expenditure_08_08_01_01_04_01"",""major_program_name"":""学校給食管理費"",""budget_program_name"":""調理場施設整備工事"",""detail_program_name"":""調理場施設整備工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10111}],""same_budget_item_other_program_names"":[""学校給食事務運営"",""学校給食費収納事務"",""学校給食保護者負担軽減事務"",""小学校給食維持運営"",""中学校給食維持運営"",""調理場維持運営""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_b082988359ec7f8e575ee6d687e6ec722aa025161c1761c1c030d63396bdeb05","学校給食費収納事務","一般会計","教育費","学校給食管理費","学校給食管理費","教育委員会事務局 学校健康推進課","6771","学校給食","maintains","公式予算の会計・款・項・目と事業名から「学校給食」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-and-accessible-school-meals-official-structure"",""budget_item_key"":""2026_general_expenditure_08_08_01"",""identity_fields"":{""display_program_name"":""学校給食費収納事務"",""hierarchy"":[""教育費"",""学校給食管理費"",""学校給食管理費""],""department_display_name"":""教育委員会事務局 学校健康推進課"",""amount_thousand_yen"":6771},""member_programs"":[{""program_id"":""2026_general_expenditure_08_08_01_01_06_01"",""major_program_name"":""学校給食管理費"",""budget_program_name"":""学校給食費収納事務"",""detail_program_name"":""学校給食費収納事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10113}],""same_budget_item_other_program_names"":[""学校給食事務運営"",""学校給食保護者負担軽減事務"",""小学校給食維持運営"",""中学校給食維持運営"",""調理場維持運営"",""調理場施設整備工事""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_76644b661851bd4cd3dbd5d1c5eda0b04e17616f1b2695d4c3dcdc2569aaefbd","学校給食保護者負担軽減事務","一般会計","教育費","学校給食管理費","学校給食管理費","教育委員会事務局 学校健康推進課","5290","学校給食","maintains","公式予算の会計・款・項・目と事業名から「学校給食」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-and-accessible-school-meals-official-structure"",""budget_item_key"":""2026_general_expenditure_08_08_01"",""identity_fields"":{""display_program_name"":""学校給食保護者負担軽減事務"",""hierarchy"":[""教育費"",""学校給食管理費"",""学校給食管理費""],""department_display_name"":""教育委員会事務局 学校健康推進課"",""amount_thousand_yen"":5290},""member_programs"":[{""program_id"":""2026_general_expenditure_08_08_01_01_07_01"",""major_program_name"":""学校給食管理費"",""budget_program_name"":""学校給食保護者負担軽減事務"",""detail_program_name"":""学校給食保護者負担軽減事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10114}],""same_budget_item_other_program_names"":[""学校給食事務運営"",""学校給食費収納事務"",""小学校給食維持運営"",""中学校給食維持運営"",""調理場維持運営"",""調理場施設整備工事""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_54_08_4960150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""学校給食費支援事業"",""学校給食費支援事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_11760de2f0eb0c80418bf24599094cf15d7e38ba208ff6baacd7ce6feed7cb3a","学校給食費収納事務","一般会計","教育費","教育総務費","学校給食管理費","教育委員会事務局 学校健康推進課","0","学校給食","maintains","公式予算の会計・款・項・目と事業名から「学校給食」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-and-accessible-school-meals-official-structure"",""budget_item_key"":""2026_general_expenditure_08_01_08"",""identity_fields"":{""display_program_name"":""学校給食費収納事務"",""hierarchy"":[""教育費"",""教育総務費"",""学校給食管理費""],""department_display_name"":""教育委員会事務局 学校健康推進課"",""amount_thousand_yen"":0},""member_programs"":[{""program_id"":""2026_general_expenditure_08_01_08_01_02_01"",""major_program_name"":""学校給食管理費"",""budget_program_name"":""学校給食費収納事務"",""detail_program_name"":""学校給食費収納事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10088}],""same_budget_item_other_program_names"":[""学校給食費会計繰出金"",""学校給食保護者負担軽減事務""],""related_revenues"":[]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_14206ee1247cfef357f012cc799cfaf8bbf669480b218ae242750b250f4c83c5","学校給食費会計繰出金","一般会計","教育費","教育総務費","学校給食管理費","教育委員会事務局 学校健康推進課","0","学校給食","maintains","公式予算の会計・款・項・目と事業名から「学校給食」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-and-accessible-school-meals-official-structure"",""budget_item_key"":""2026_general_expenditure_08_01_08"",""identity_fields"":{""display_program_name"":""学校給食費会計繰出金"",""hierarchy"":[""教育費"",""教育総務費"",""学校給食管理費""],""department_display_name"":""教育委員会事務局 学校健康推進課"",""amount_thousand_yen"":0},""member_programs"":[{""program_id"":""2026_general_expenditure_08_01_08_01_01_01"",""major_program_name"":""学校給食管理費"",""budget_program_name"":""学校給食費会計繰出金"",""detail_program_name"":""学校給食費会計繰出金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10087}],""same_budget_item_other_program_names"":[""学校給食費収納事務"",""学校給食保護者負担軽減事務""],""related_revenues"":[]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_355c76bc4ae03da482dc3cc93218167da342e765900e00f7dfbeaab31fc423f6","調理場施設整備工事","一般会計","教育費","中学校費","学校給食費","教育委員会事務局 学校健康推進課","0","学校給食","maintains","公式予算の会計・款・項・目と事業名から「学校給食」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""safe-and-accessible-school-meals-official-structure"",""budget_item_key"":""2026_general_expenditure_08_03_03"",""identity_fields"":{""display_program_name"":""調理場施設整備工事"",""hierarchy"":[""教育費"",""中学校費"",""学校給食費""],""department_display_name"":""教育委員会事務局 学校健康推進課"",""amount_thousand_yen"":0},""member_programs"":[{""program_id"":""2026_general_expenditure_08_03_03_01_05_01"",""major_program_name"":""学校給食維持運営費"",""budget_program_name"":""調理場施設整備工事"",""detail_program_name"":""調理場施設整備工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10099}],""same_budget_item_other_program_names"":[""中学校給食維持運営"",""調理場維持運営""],""related_revenues"":[]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
