"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_9aaa02dc9746584faad3507cee769c94493d957254656e864389fe22ad1de77f","広域連合保険料等負担金","後期高齢者医療会計","分担金及負担金","広域連合負担金","広域連合分賦金","保健福祉政策部 国保・年金課","18074690","後期高齢者医療を支える","supports","公式予算の会計・款・項・目と事業名から「後期高齢者医療を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""latter-stage-elderly-healthcare-official-structure"",""budget_item_key"":""2026_latter_stage_elderly_healthcare_expenditure_62_01_01"",""identity_fields"":{""display_program_name"":""広域連合保険料等負担金"",""hierarchy"":[""分担金及負担金"",""広域連合負担金"",""広域連合分賦金""],""department_display_name"":""保健福祉政策部 国保・年金課"",""amount_thousand_yen"":18074690},""member_programs"":[{""program_id"":""2026_latter_stage_elderly_healthcare_expenditure_62_01_01_01_02_01"",""major_program_name"":""広域連合負担金"",""budget_program_name"":""広域連合保険料等負担金"",""detail_program_name"":""広域連合保険料等負担金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9601}],""same_budget_item_other_program_names"":[""広域連合事務費負担金"",""広域連合療養給付費負担金"",""保険基盤安定負担金"",""保険料軽減措置負担金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_61_01_01_01_01_3595400000"",""revenue_hierarchy"":[""後期高齢者医療保険料"",""後期高齢者医療保険料"",""後期高齢者医療保険料"",""現年度分特別徴収分"",""広域連合保険料等負担金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_61_01_01_02_01_3595400000"",""revenue_hierarchy"":[""後期高齢者医療保険料"",""後期高齢者医療保険料"",""後期高齢者医療保険料"",""現年度分普通徴収分"",""広域連合保険料等負担金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_61_01_01_03_01_3595400000"",""revenue_hierarchy"":[""後期高齢者医療保険料"",""後期高齢者医療保険料"",""後期高齢者医療保険料"",""滞納繰越分普通徴収分"",""広域連合保険料等負担金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_64_01_01_01_01_3595400000"",""revenue_hierarchy"":[""繰越金"",""繰越金"",""繰越金"",""繰越金"",""広域連合保険料等負担金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_65_01_01_01_01_3595400000"",""revenue_hierarchy"":[""諸収入"",""延滞金加算金及過料"",""延滞金"",""延滞金"",""広域連合保険料等負担金""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_c1e0cce1805097b6a36b4b1f82284cf75b24cc05e2a77e6f3cbc76d76593e822","広域連合療養給付費負担金","後期高齢者医療会計","分担金及負担金","広域連合負担金","広域連合分賦金","保健福祉政策部 国保・年金課","7064085","後期高齢者医療を支える","supports","公式予算の会計・款・項・目と事業名から「後期高齢者医療を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""latter-stage-elderly-healthcare-official-structure"",""budget_item_key"":""2026_latter_stage_elderly_healthcare_expenditure_62_01_01"",""identity_fields"":{""display_program_name"":""広域連合療養給付費負担金"",""hierarchy"":[""分担金及負担金"",""広域連合負担金"",""広域連合分賦金""],""department_display_name"":""保健福祉政策部 国保・年金課"",""amount_thousand_yen"":7064085},""member_programs"":[{""program_id"":""2026_latter_stage_elderly_healthcare_expenditure_62_01_01_01_01_01"",""major_program_name"":""広域連合負担金"",""budget_program_name"":""広域連合療養給付費負担金"",""detail_program_name"":""広域連合療養給付費負担金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9600}],""same_budget_item_other_program_names"":[""広域連合事務費負担金"",""広域連合保険料等負担金"",""保険基盤安定負担金"",""保険料軽減措置負担金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_63_01_01_02_01_3595400000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""一般会計繰入金"",""療養給付費繰入金"",""広域連合療養給付費負担金""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_20bda5ffa64d57da79a9eab87134e640078286c06787dabc4ea8f21a6af39a49","保険基盤安定負担金","後期高齢者医療会計","分担金及負担金","広域連合負担金","広域連合分賦金","保健福祉政策部 国保・年金課","1722772","後期高齢者医療を支える","supports","公式予算の会計・款・項・目と事業名から「後期高齢者医療を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""latter-stage-elderly-healthcare-official-structure"",""budget_item_key"":""2026_latter_stage_elderly_healthcare_expenditure_62_01_01"",""identity_fields"":{""display_program_name"":""保険基盤安定負担金"",""hierarchy"":[""分担金及負担金"",""広域連合負担金"",""広域連合分賦金""],""department_display_name"":""保健福祉政策部 国保・年金課"",""amount_thousand_yen"":1722772},""member_programs"":[{""program_id"":""2026_latter_stage_elderly_healthcare_expenditure_62_01_01_01_05_01"",""major_program_name"":""広域連合負担金"",""budget_program_name"":""保険基盤安定負担金"",""detail_program_name"":""保険基盤安定負担金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9604}],""same_budget_item_other_program_names"":[""広域連合事務費負担金"",""広域連合保険料等負担金"",""広域連合療養給付費負担金"",""保険料軽減措置負担金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_63_01_01_03_02_3595400000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""一般会計繰入金"",""保険基盤安定繰入金"",""広域連合保険料等負担金""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_084b679295a96cdee7ccb9fb066fdb50117a510c79a09bb20297125f0f9df9d1","後期高齢者健康診査","後期高齢者医療会計","保健事業費","保健事業費","健康診査費","保健福祉政策部 国保・年金課","667092","後期高齢者医療を支える","supports","公式予算の会計・款・項・目と事業名から「後期高齢者医療を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""latter-stage-elderly-healthcare-official-structure"",""budget_item_key"":""2026_latter_stage_elderly_healthcare_expenditure_63_01_01"",""identity_fields"":{""display_program_name"":""後期高齢者健康診査"",""hierarchy"":[""保健事業費"",""保健事業費"",""健康診査費""],""department_display_name"":""保健福祉政策部 国保・年金課"",""amount_thousand_yen"":667092},""member_programs"":[{""program_id"":""2026_latter_stage_elderly_healthcare_expenditure_63_01_01_01_01_01"",""major_program_name"":""後期高齢者健康診査"",""budget_program_name"":""後期高齢者健康診査"",""detail_program_name"":""後期高齢者健康診査"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9605}],""same_budget_item_other_program_names"":[],""related_revenues"":[{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_63_01_01_01_05_3595400000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""一般会計繰入金"",""職員給与費等繰入金"",""一般管理（健康診査）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_63_01_01_05_01_3595400000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""一般会計繰入金"",""健康診査費繰入金"",""後期高齢者健康診査""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_65_04_01_01_01_3595400000"",""revenue_hierarchy"":[""諸収入"",""受託事業収入"",""受託事業収入"",""健康診査費受託事業収入"",""後期高齢者健康診査""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_65_05_01_03_03_3595400000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""広域連合特別交付金"",""区市町村支援事業補助金""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_462f67aab5ab786fb140d5069bc607b21efaa7cbcdf948ae5f14248b5196894e","保険料軽減措置負担金","後期高齢者医療会計","分担金及負担金","広域連合負担金","広域連合分賦金","保健福祉政策部 国保・年金課","527001","後期高齢者医療を支える","supports","公式予算の会計・款・項・目と事業名から「後期高齢者医療を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""latter-stage-elderly-healthcare-official-structure"",""budget_item_key"":""2026_latter_stage_elderly_healthcare_expenditure_62_01_01"",""identity_fields"":{""display_program_name"":""保険料軽減措置負担金"",""hierarchy"":[""分担金及負担金"",""広域連合負担金"",""広域連合分賦金""],""department_display_name"":""保健福祉政策部 国保・年金課"",""amount_thousand_yen"":527001},""member_programs"":[{""program_id"":""2026_latter_stage_elderly_healthcare_expenditure_62_01_01_01_04_01"",""major_program_name"":""広域連合負担金"",""budget_program_name"":""保険料軽減措置負担金"",""detail_program_name"":""保険料軽減措置負担金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9603}],""same_budget_item_other_program_names"":[""広域連合事務費負担金"",""広域連合保険料等負担金"",""広域連合療養給付費負担金"",""保険基盤安定負担金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_63_01_01_04_01_3595400000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""一般会計繰入金"",""保険料軽減措置繰入金"",""保険料軽減措置負担金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_65_05_03_03_01_3595400000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""広域連合負担金返還金"",""未収金補填分負担金返還金"",""未収金補填分負担金返還金""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_34189f46d221a65aaf090d43bcda7dd937f87f8836202ae4f2498ca6899f7707","葬祭費","後期高齢者医療会計","総務費","総務管理費","一般管理費","保健福祉政策部 国保・年金課","419020","後期高齢者医療を支える","supports","公式予算の会計・款・項・目と事業名から「後期高齢者医療を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""latter-stage-elderly-healthcare-official-structure"",""budget_item_key"":""2026_latter_stage_elderly_healthcare_expenditure_61_01_01"",""identity_fields"":{""display_program_name"":""葬祭費"",""hierarchy"":[""総務費"",""総務管理費"",""一般管理費""],""department_display_name"":""保健福祉政策部 国保・年金課"",""amount_thousand_yen"":419020},""member_programs"":[{""program_id"":""2026_latter_stage_elderly_healthcare_expenditure_61_01_01_01_03_01"",""major_program_name"":""一般管理費"",""budget_program_name"":""葬祭費"",""detail_program_name"":""葬祭費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9599}],""same_budget_item_other_program_names"":[""後期高齢者医療管理運営"",""後期高齢者医療保険料徴収事務""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_63_01_01_06_01_3595400000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""一般会計繰入金"",""葬祭費繰入金"",""葬祭費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_65_04_01_02_01_3595400000"",""revenue_hierarchy"":[""諸収入"",""受託事業収入"",""受託事業収入"",""葬祭費受託事業収入"",""葬祭費受託事業収入""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_fedab8333b700a8a96354e32036df990a1443f08a60644b8305f17061c9b1eeb","広域連合事務費負担金","後期高齢者医療会計","分担金及負担金","広域連合負担金","広域連合分賦金","保健福祉政策部 国保・年金課","406052","後期高齢者医療を支える","supports","公式予算の会計・款・項・目と事業名から「後期高齢者医療を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""latter-stage-elderly-healthcare-official-structure"",""budget_item_key"":""2026_latter_stage_elderly_healthcare_expenditure_62_01_01"",""identity_fields"":{""display_program_name"":""広域連合事務費負担金"",""hierarchy"":[""分担金及負担金"",""広域連合負担金"",""広域連合分賦金""],""department_display_name"":""保健福祉政策部 国保・年金課"",""amount_thousand_yen"":406052},""member_programs"":[{""program_id"":""2026_latter_stage_elderly_healthcare_expenditure_62_01_01_01_03_01"",""major_program_name"":""広域連合負担金"",""budget_program_name"":""広域連合事務費負担金"",""detail_program_name"":""広域連合事務費負担金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9602}],""same_budget_item_other_program_names"":[""広域連合保険料等負担金"",""広域連合療養給付費負担金"",""保険基盤安定負担金"",""保険料軽減措置負担金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_63_01_01_01_04_3595400000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""一般会計繰入金"",""職員給与費等繰入金"",""事務費負担金""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_4bdfb1c472d12365dcd8f798b953204c47355c5316844212c7770cc570fe17ec","後期高齢者医療会計関係事務従事職員の人件費","後期高齢者医療会計","職員費","職員費","職員費","総務部 人事課","192256","後期高齢者医療を支える","supports","公式予算の会計・款・項・目と事業名から「後期高齢者医療を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""latter-stage-elderly-healthcare-official-structure"",""budget_item_key"":""2026_latter_stage_elderly_healthcare_expenditure_64_01_01"",""identity_fields"":{""display_program_name"":""後期高齢者医療会計関係事務従事職員の人件費"",""hierarchy"":[""職員費"",""職員費"",""職員費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":192256},""member_programs"":[{""program_id"":""2026_latter_stage_elderly_healthcare_expenditure_64_01_01_01_01_01"",""major_program_name"":""後期高齢者医療従事職員の人件費"",""budget_program_name"":""後期高齢者医療会計関係事務従事職員の人件費"",""detail_program_name"":""後期高齢者医療会計関係事務従事職員の人件費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9311}],""same_budget_item_other_program_names"":[""会計年度任用職員の人件費（保健福祉政策部）"",""後期高齢者医療会計関係職員の人件費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_63_01_01_01_01_3595400000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""一般会計繰入金"",""職員給与費等繰入金"",""職員給与費""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_d513f5c3201e0e16836f1ebca28c253d183dfe5904408146fcb08aad6723bbf5","後期高齢者医療管理運営","後期高齢者医療会計","総務費","総務管理費","一般管理費","保健福祉政策部 国保・年金課","171003","後期高齢者医療を支える","supports","公式予算の会計・款・項・目と事業名から「後期高齢者医療を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""latter-stage-elderly-healthcare-official-structure"",""budget_item_key"":""2026_latter_stage_elderly_healthcare_expenditure_61_01_01"",""identity_fields"":{""display_program_name"":""後期高齢者医療管理運営"",""hierarchy"":[""総務費"",""総務管理費"",""一般管理費""],""department_display_name"":""保健福祉政策部 国保・年金課"",""amount_thousand_yen"":171003},""member_programs"":[{""program_id"":""2026_latter_stage_elderly_healthcare_expenditure_61_01_01_01_01_01"",""major_program_name"":""一般管理費"",""budget_program_name"":""後期高齢者医療管理運営"",""detail_program_name"":""後期高齢者医療管理運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9597}],""same_budget_item_other_program_names"":[""後期高齢者医療保険料徴収事務"",""葬祭費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_62_01_01_01_01_3595400000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""総務手数料"",""総務手数料"",""保険料納付済等証明手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_63_01_01_01_02_3595400000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""一般会計繰入金"",""職員給与費等繰入金"",""一般管理（管理運営）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_65_03_01_01_01_3595400000"",""revenue_hierarchy"":[""諸収入"",""特別区預金利子"",""特別区預金利子"",""特別区預金利子"",""預金利子収入""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_65_05_01_01_04_3595400000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""雑入"",""消費税還付金""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_6f2ee607b72b15f04ab736c0c8ae9495a643337fd88816f32d10d18306b2b86d","後期高齢者医療保険料徴収事務","後期高齢者医療会計","総務費","総務管理費","一般管理費","保健福祉政策部 国保・年金課","89933","後期高齢者医療を支える","supports","公式予算の会計・款・項・目と事業名から「後期高齢者医療を支える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""latter-stage-elderly-healthcare-official-structure"",""budget_item_key"":""2026_latter_stage_elderly_healthcare_expenditure_61_01_01"",""identity_fields"":{""display_program_name"":""後期高齢者医療保険料徴収事務"",""hierarchy"":[""総務費"",""総務管理費"",""一般管理費""],""department_display_name"":""保健福祉政策部 国保・年金課"",""amount_thousand_yen"":89933},""member_programs"":[{""program_id"":""2026_latter_stage_elderly_healthcare_expenditure_61_01_01_01_02_01"",""major_program_name"":""一般管理費"",""budget_program_name"":""後期高齢者医療保険料徴収事務"",""detail_program_name"":""後期高齢者医療保険料徴収事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9598}],""same_budget_item_other_program_names"":[""後期高齢者医療管理運営"",""葬祭費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_latter_stage_elderly_healthcare_revenue_63_01_01_01_03_3595400000"",""revenue_hierarchy"":[""繰入金"",""一般会計繰入金"",""一般会計繰入金"",""職員給与費等繰入金"",""一般管理（徴収事務）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
