"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_c53c3defecbf06fe556b04bf7ac898c4dd9dca0d7a4a09ae3ba1cb2b534455e7","多摩川花火大会","一般会計","総務費","区民費","区民総務費","砧総合支所 地域振興課","274971","地域活動","supports","公式予算の会計・款・項・目と事業名から「地域活動」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-participation-events-and-support-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_01"",""identity_fields"":{""display_program_name"":""多摩川花火大会"",""hierarchy"":[""総務費"",""区民費"",""区民総務費""],""department_display_name"":""砧総合支所 地域振興課"",""amount_thousand_yen"":274971},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_01_03_09_01"",""major_program_name"":""ふるさとまつり運営協力費"",""budget_program_name"":""多摩川花火大会"",""detail_program_name"":""多摩川花火大会"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9184}],""same_budget_item_other_program_names"":[""ＤＶ防止・困難な問題を抱える女性支援事業"",""ふるさとまつり協賛（烏山）"",""ふるさとまつり協賛（砧）"",""ふるさとまつり協賛（玉川）"",""ふるさとまつり協賛（世田谷）"",""ふるさとまつり協賛（北沢）"",""まちづくり推進（烏山）"",""まちづくり推進（砧）"",""まちづくり推進（玉川）"",""まちづくり推進（世田谷）"",""まちづくり推進（北沢）"",""安全安心まちづくりの推進"",""区広報板維持管理"",""公共施設利用案内システム維持運営"",""災害時地域助け合い活動支援"",""市民活動の促進"",""自主的コミュニティづくりの支援"",""住居表示維持管理"",""出張所広報"",""人権推進事業"",""生活文化政策部庶務事務"",""青少年対策（烏山）"",""青少年対策（砧）"",""青少年対策（玉川）"",""青少年対策（世田谷）"",""青少年対策（北沢）"",""男女共同参画センター維持運営"",""男女共同参画社会推進事業"",""地域活動推進（烏山）"",""地域活動推進（砧）"",""地域活動推進（玉川）"",""地域活動推進（世田谷）"",""地域活動推進（北沢）"",""地域交流・まつり事業支援"",""地域行政部庶務事務"",""地域包括ケア地区展開調整事務"",""町会自治会等事業助成"",""二十歳のつどい"",""梅まつり"",""犯罪被害者等支援事業"",""犯罪被害者等支援等基金積立金"",""平和資料館維持運営"",""平和都市宣言事業"",""防犯カメラ整備・維持管理助成"",""防犯協会・防火防災協会（砧）"",""防犯協会・防火防災協会（玉川）"",""防犯協会・防火防災協会（世田谷）"",""北沢防犯協会（北沢）"",""臨海部広域斎場組合負担金""],""related_revenues"":[]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_6f35480c5da2fc3bad7fbe1852d5a58b13bc3e4955e371f58e9dab945667f4e6","地域交流・まつり事業支援","一般会計","総務費","区民費","区民総務費","生活文化政策部 健康村・ふる交流課","134512","地域活動","supports","公式予算の会計・款・項・目と事業名から「地域活動」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-participation-events-and-support-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_01"",""identity_fields"":{""display_program_name"":""地域交流・まつり事業支援"",""hierarchy"":[""総務費"",""区民費"",""区民総務費""],""department_display_name"":""生活文化政策部 健康村・ふる交流課"",""amount_thousand_yen"":134512},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_01_03_11_01"",""major_program_name"":""ふるさとまつり運営協力費"",""budget_program_name"":""地域交流・まつり事業支援"",""detail_program_name"":""地域交流・まつり事業支援"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9401}],""same_budget_item_other_program_names"":[""ＤＶ防止・困難な問題を抱える女性支援事業"",""ふるさとまつり協賛（烏山）"",""ふるさとまつり協賛（砧）"",""ふるさとまつり協賛（玉川）"",""ふるさとまつり協賛（世田谷）"",""ふるさとまつり協賛（北沢）"",""まちづくり推進（烏山）"",""まちづくり推進（砧）"",""まちづくり推進（玉川）"",""まちづくり推進（世田谷）"",""まちづくり推進（北沢）"",""安全安心まちづくりの推進"",""区広報板維持管理"",""公共施設利用案内システム維持運営"",""災害時地域助け合い活動支援"",""市民活動の促進"",""自主的コミュニティづくりの支援"",""住居表示維持管理"",""出張所広報"",""人権推進事業"",""生活文化政策部庶務事務"",""青少年対策（烏山）"",""青少年対策（砧）"",""青少年対策（玉川）"",""青少年対策（世田谷）"",""青少年対策（北沢）"",""多摩川花火大会"",""男女共同参画センター維持運営"",""男女共同参画社会推進事業"",""地域活動推進（烏山）"",""地域活動推進（砧）"",""地域活動推進（玉川）"",""地域活動推進（世田谷）"",""地域活動推進（北沢）"",""地域行政部庶務事務"",""地域包括ケア地区展開調整事務"",""町会自治会等事業助成"",""二十歳のつどい"",""梅まつり"",""犯罪被害者等支援事業"",""犯罪被害者等支援等基金積立金"",""平和資料館維持運営"",""平和都市宣言事業"",""防犯カメラ整備・維持管理助成"",""防犯協会・防火防災協会（砧）"",""防犯協会・防火防災協会（玉川）"",""防犯協会・防火防災協会（世田谷）"",""北沢防犯協会（北沢）"",""臨海部広域斎場組合負担金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_73_05_3405500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""特別区全国連携プロジェクト関連事業助成金"",""特別区全国連携プロジェクト関連事業助成金""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_1092f1db902642ec96cbe841da2ea005808cce8fc9ac64f4efc741b21fab437d","公共施設利用案内システム維持運営","一般会計","総務費","区民費","区民総務費","地域行政部 地域行政課","105698","地域活動","supports","公式予算の会計・款・項・目と事業名から「地域活動」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-participation-events-and-support-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_01"",""identity_fields"":{""display_program_name"":""公共施設利用案内システム維持運営"",""hierarchy"":[""総務費"",""区民費"",""区民総務費""],""department_display_name"":""地域行政部 地域行政課"",""amount_thousand_yen"":105698},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_01_02_03_01"",""major_program_name"":""まちづくり推進事業費"",""budget_program_name"":""公共施設利用案内システム維持運営"",""detail_program_name"":""公共施設利用案内システム維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9411}],""same_budget_item_other_program_names"":[""ＤＶ防止・困難な問題を抱える女性支援事業"",""ふるさとまつり協賛（烏山）"",""ふるさとまつり協賛（砧）"",""ふるさとまつり協賛（玉川）"",""ふるさとまつり協賛（世田谷）"",""ふるさとまつり協賛（北沢）"",""まちづくり推進（烏山）"",""まちづくり推進（砧）"",""まちづくり推進（玉川）"",""まちづくり推進（世田谷）"",""まちづくり推進（北沢）"",""安全安心まちづくりの推進"",""区広報板維持管理"",""災害時地域助け合い活動支援"",""市民活動の促進"",""自主的コミュニティづくりの支援"",""住居表示維持管理"",""出張所広報"",""人権推進事業"",""生活文化政策部庶務事務"",""青少年対策（烏山）"",""青少年対策（砧）"",""青少年対策（玉川）"",""青少年対策（世田谷）"",""青少年対策（北沢）"",""多摩川花火大会"",""男女共同参画センター維持運営"",""男女共同参画社会推進事業"",""地域活動推進（烏山）"",""地域活動推進（砧）"",""地域活動推進（玉川）"",""地域活動推進（世田谷）"",""地域活動推進（北沢）"",""地域交流・まつり事業支援"",""地域行政部庶務事務"",""地域包括ケア地区展開調整事務"",""町会自治会等事業助成"",""二十歳のつどい"",""梅まつり"",""犯罪被害者等支援事業"",""犯罪被害者等支援等基金積立金"",""平和資料館維持運営"",""平和都市宣言事業"",""防犯カメラ整備・維持管理助成"",""防犯協会・防火防災協会（砧）"",""防犯協会・防火防災協会（玉川）"",""防犯協会・防火防災協会（世田谷）"",""北沢防犯協会（北沢）"",""臨海部広域斎場組合負担金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_02_01_02_01_3415100000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""総務手数料"",""システム登録"",""けやきネット（システム）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_45_20_3415100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""広告料収入"",""公共施設利用案内システム""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_bc84d4ffce9e985fe6ddf80342c25ee3bcbd7c3c0e21805c99624eb7f7edf59b","梅まつり","一般会計","総務費","区民費","区民総務費","北沢総合支所 地域振興課","35644","地域活動","supports","公式予算の会計・款・項・目と事業名から「地域活動」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-participation-events-and-support-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_01"",""identity_fields"":{""display_program_name"":""梅まつり"",""hierarchy"":[""総務費"",""区民費"",""区民総務費""],""department_display_name"":""北沢総合支所 地域振興課"",""amount_thousand_yen"":35644},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_01_03_08_01"",""major_program_name"":""ふるさとまつり運営協力費"",""budget_program_name"":""梅まつり"",""detail_program_name"":""梅まつり"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9123}],""same_budget_item_other_program_names"":[""ＤＶ防止・困難な問題を抱える女性支援事業"",""ふるさとまつり協賛（烏山）"",""ふるさとまつり協賛（砧）"",""ふるさとまつり協賛（玉川）"",""ふるさとまつり協賛（世田谷）"",""ふるさとまつり協賛（北沢）"",""まちづくり推進（烏山）"",""まちづくり推進（砧）"",""まちづくり推進（玉川）"",""まちづくり推進（世田谷）"",""まちづくり推進（北沢）"",""安全安心まちづくりの推進"",""区広報板維持管理"",""公共施設利用案内システム維持運営"",""災害時地域助け合い活動支援"",""市民活動の促進"",""自主的コミュニティづくりの支援"",""住居表示維持管理"",""出張所広報"",""人権推進事業"",""生活文化政策部庶務事務"",""青少年対策（烏山）"",""青少年対策（砧）"",""青少年対策（玉川）"",""青少年対策（世田谷）"",""青少年対策（北沢）"",""多摩川花火大会"",""男女共同参画センター維持運営"",""男女共同参画社会推進事業"",""地域活動推進（烏山）"",""地域活動推進（砧）"",""地域活動推進（玉川）"",""地域活動推進（世田谷）"",""地域活動推進（北沢）"",""地域交流・まつり事業支援"",""地域行政部庶務事務"",""地域包括ケア地区展開調整事務"",""町会自治会等事業助成"",""二十歳のつどい"",""犯罪被害者等支援事業"",""犯罪被害者等支援等基金積立金"",""平和資料館維持運営"",""平和都市宣言事業"",""防犯カメラ整備・維持管理助成"",""防犯協会・防火防災協会（砧）"",""防犯協会・防火防災協会（玉川）"",""防犯協会・防火防災協会（世田谷）"",""北沢防犯協会（北沢）"",""臨海部広域斎場組合負担金""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_0b0c85b0e99916380da98424dbe3d70dc4fcabdaa5578f57e44604cfd9a2c74f","町会自治会等事業助成","一般会計","総務費","区民費","区民総務費","地域行政部 地域行政課","33913","地域活動","supports","公式予算の会計・款・項・目と事業名から「地域活動」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-participation-events-and-support-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_01"",""identity_fields"":{""display_program_name"":""町会自治会等事業助成"",""hierarchy"":[""総務費"",""区民費"",""区民総務費""],""department_display_name"":""地域行政部 地域行政課"",""amount_thousand_yen"":33913},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_01_01_01_01"",""major_program_name"":""区民関係事務運営費"",""budget_program_name"":""町会自治会等事業助成"",""detail_program_name"":""町会自治会等事業助成"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9406}],""same_budget_item_other_program_names"":[""ＤＶ防止・困難な問題を抱える女性支援事業"",""ふるさとまつり協賛（烏山）"",""ふるさとまつり協賛（砧）"",""ふるさとまつり協賛（玉川）"",""ふるさとまつり協賛（世田谷）"",""ふるさとまつり協賛（北沢）"",""まちづくり推進（烏山）"",""まちづくり推進（砧）"",""まちづくり推進（玉川）"",""まちづくり推進（世田谷）"",""まちづくり推進（北沢）"",""安全安心まちづくりの推進"",""区広報板維持管理"",""公共施設利用案内システム維持運営"",""災害時地域助け合い活動支援"",""市民活動の促進"",""自主的コミュニティづくりの支援"",""住居表示維持管理"",""出張所広報"",""人権推進事業"",""生活文化政策部庶務事務"",""青少年対策（烏山）"",""青少年対策（砧）"",""青少年対策（玉川）"",""青少年対策（世田谷）"",""青少年対策（北沢）"",""多摩川花火大会"",""男女共同参画センター維持運営"",""男女共同参画社会推進事業"",""地域活動推進（烏山）"",""地域活動推進（砧）"",""地域活動推進（玉川）"",""地域活動推進（世田谷）"",""地域活動推進（北沢）"",""地域交流・まつり事業支援"",""地域行政部庶務事務"",""地域包括ケア地区展開調整事務"",""二十歳のつどい"",""梅まつり"",""犯罪被害者等支援事業"",""犯罪被害者等支援等基金積立金"",""平和資料館維持運営"",""平和都市宣言事業"",""防犯カメラ整備・維持管理助成"",""防犯協会・防火防災協会（砧）"",""防犯協会・防火防災協会（玉川）"",""防犯協会・防火防災協会（世田谷）"",""北沢防犯協会（北沢）"",""臨海部広域斎場組合負担金""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_928c377890b0caf6a48c2daa1223f5b02c049177d02070cdbe557f7c5967c64c","自主的コミュニティづくりの支援","一般会計","総務費","区民費","区民総務費","世田谷総合支所 地域振興課","30926","地域活動","supports","公式予算の会計・款・項・目と事業名から「地域活動」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-participation-events-and-support-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_01"",""identity_fields"":{""display_program_name"":""自主的コミュニティづくりの支援"",""hierarchy"":[""総務費"",""区民費"",""区民総務費""],""department_display_name"":""世田谷総合支所 地域振興課"",""amount_thousand_yen"":30926},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_01_02_24_01"",""major_program_name"":""まちづくり推進事業費"",""budget_program_name"":""自主的コミュニティづくりの支援"",""detail_program_name"":""自主的コミュニティづくりの支援"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9086}],""same_budget_item_other_program_names"":[""ＤＶ防止・困難な問題を抱える女性支援事業"",""ふるさとまつり協賛（烏山）"",""ふるさとまつり協賛（砧）"",""ふるさとまつり協賛（玉川）"",""ふるさとまつり協賛（世田谷）"",""ふるさとまつり協賛（北沢）"",""まちづくり推進（烏山）"",""まちづくり推進（砧）"",""まちづくり推進（玉川）"",""まちづくり推進（世田谷）"",""まちづくり推進（北沢）"",""安全安心まちづくりの推進"",""区広報板維持管理"",""公共施設利用案内システム維持運営"",""災害時地域助け合い活動支援"",""市民活動の促進"",""住居表示維持管理"",""出張所広報"",""人権推進事業"",""生活文化政策部庶務事務"",""青少年対策（烏山）"",""青少年対策（砧）"",""青少年対策（玉川）"",""青少年対策（世田谷）"",""青少年対策（北沢）"",""多摩川花火大会"",""男女共同参画センター維持運営"",""男女共同参画社会推進事業"",""地域活動推進（烏山）"",""地域活動推進（砧）"",""地域活動推進（玉川）"",""地域活動推進（世田谷）"",""地域活動推進（北沢）"",""地域交流・まつり事業支援"",""地域行政部庶務事務"",""地域包括ケア地区展開調整事務"",""町会自治会等事業助成"",""二十歳のつどい"",""梅まつり"",""犯罪被害者等支援事業"",""犯罪被害者等支援等基金積立金"",""平和資料館維持運営"",""平和都市宣言事業"",""防犯カメラ整備・維持管理助成"",""防犯協会・防火防災協会（砧）"",""防犯協会・防火防災協会（玉川）"",""防犯協会・防火防災協会（世田谷）"",""北沢防犯協会（北沢）"",""臨海部広域斎場組合負担金""],""related_revenues"":[]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_4c0364fd16219b65bd54e96d6fa4d4c62fb5019b2bf11b6d09220e4b9ad8e4a1","ふるさとまつり協賛（北沢）","一般会計","総務費","区民費","区民総務費","北沢総合支所 地域振興課","24874","地域活動","supports","公式予算の会計・款・項・目と事業名から「地域活動」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-participation-events-and-support-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_01"",""identity_fields"":{""display_program_name"":""ふるさとまつり協賛（北沢）"",""hierarchy"":[""総務費"",""区民費"",""区民総務費""],""department_display_name"":""北沢総合支所 地域振興課"",""amount_thousand_yen"":24874},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_01_03_04_01"",""major_program_name"":""ふるさとまつり運営協力費"",""budget_program_name"":""ふるさとまつり協賛（北沢）"",""detail_program_name"":""ふるさとまつり協賛（北沢）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9122}],""same_budget_item_other_program_names"":[""ＤＶ防止・困難な問題を抱える女性支援事業"",""ふるさとまつり協賛（烏山）"",""ふるさとまつり協賛（砧）"",""ふるさとまつり協賛（玉川）"",""ふるさとまつり協賛（世田谷）"",""まちづくり推進（烏山）"",""まちづくり推進（砧）"",""まちづくり推進（玉川）"",""まちづくり推進（世田谷）"",""まちづくり推進（北沢）"",""安全安心まちづくりの推進"",""区広報板維持管理"",""公共施設利用案内システム維持運営"",""災害時地域助け合い活動支援"",""市民活動の促進"",""自主的コミュニティづくりの支援"",""住居表示維持管理"",""出張所広報"",""人権推進事業"",""生活文化政策部庶務事務"",""青少年対策（烏山）"",""青少年対策（砧）"",""青少年対策（玉川）"",""青少年対策（世田谷）"",""青少年対策（北沢）"",""多摩川花火大会"",""男女共同参画センター維持運営"",""男女共同参画社会推進事業"",""地域活動推進（烏山）"",""地域活動推進（砧）"",""地域活動推進（玉川）"",""地域活動推進（世田谷）"",""地域活動推進（北沢）"",""地域交流・まつり事業支援"",""地域行政部庶務事務"",""地域包括ケア地区展開調整事務"",""町会自治会等事業助成"",""二十歳のつどい"",""梅まつり"",""犯罪被害者等支援事業"",""犯罪被害者等支援等基金積立金"",""平和資料館維持運営"",""平和都市宣言事業"",""防犯カメラ整備・維持管理助成"",""防犯協会・防火防災協会（砧）"",""防犯協会・防火防災協会（玉川）"",""防犯協会・防火防災協会（世田谷）"",""北沢防犯協会（北沢）"",""臨海部広域斎場組合負担金""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_af9c9e3c46194f036673b2415ebb968f01bd99cba23445e52b0b9639c67c1b63","市民活動の促進","一般会計","総務費","区民費","区民総務費","生活文化政策部 市民活動推進課","24300","地域活動","supports","公式予算の会計・款・項・目と事業名から「地域活動」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-participation-events-and-support-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_01"",""identity_fields"":{""display_program_name"":""市民活動の促進"",""hierarchy"":[""総務費"",""区民費"",""区民総務費""],""department_display_name"":""生活文化政策部 市民活動推進課"",""amount_thousand_yen"":24300},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_01_01_09_01"",""major_program_name"":""区民関係事務運営費"",""budget_program_name"":""市民活動の促進"",""detail_program_name"":""市民活動の促進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9360}],""same_budget_item_other_program_names"":[""ＤＶ防止・困難な問題を抱える女性支援事業"",""ふるさとまつり協賛（烏山）"",""ふるさとまつり協賛（砧）"",""ふるさとまつり協賛（玉川）"",""ふるさとまつり協賛（世田谷）"",""ふるさとまつり協賛（北沢）"",""まちづくり推進（烏山）"",""まちづくり推進（砧）"",""まちづくり推進（玉川）"",""まちづくり推進（世田谷）"",""まちづくり推進（北沢）"",""安全安心まちづくりの推進"",""区広報板維持管理"",""公共施設利用案内システム維持運営"",""災害時地域助け合い活動支援"",""自主的コミュニティづくりの支援"",""住居表示維持管理"",""出張所広報"",""人権推進事業"",""生活文化政策部庶務事務"",""青少年対策（烏山）"",""青少年対策（砧）"",""青少年対策（玉川）"",""青少年対策（世田谷）"",""青少年対策（北沢）"",""多摩川花火大会"",""男女共同参画センター維持運営"",""男女共同参画社会推進事業"",""地域活動推進（烏山）"",""地域活動推進（砧）"",""地域活動推進（玉川）"",""地域活動推進（世田谷）"",""地域活動推進（北沢）"",""地域交流・まつり事業支援"",""地域行政部庶務事務"",""地域包括ケア地区展開調整事務"",""町会自治会等事業助成"",""二十歳のつどい"",""梅まつり"",""犯罪被害者等支援事業"",""犯罪被害者等支援等基金積立金"",""平和資料館維持運営"",""平和都市宣言事業"",""防犯カメラ整備・維持管理助成"",""防犯協会・防火防災協会（砧）"",""防犯協会・防火防災協会（玉川）"",""防犯協会・防火防災協会（世田谷）"",""北沢防犯協会（北沢）"",""臨海部広域斎場組合負担金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_17_01_16_04_04_3405350000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""地域保健福祉等推進基金繰入金"",""市民活動の促進"",""市民活動の促進""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_77_02_3405350000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""自治総合センター補助金"",""コミュニティ助成事業""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_833853ba9dc7b8d5cda0fab7f75eec85af4b4f89d2b190ae1d850c494d352a52","地域行政部庶務事務","一般会計","総務費","区民費","区民総務費","地域行政部 地域行政課","20551","地域活動","supports","公式予算の会計・款・項・目と事業名から「地域活動」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-participation-events-and-support-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_01"",""identity_fields"":{""display_program_name"":""地域行政部庶務事務"",""hierarchy"":[""総務費"",""区民費"",""区民総務費""],""department_display_name"":""地域行政部 地域行政課"",""amount_thousand_yen"":20551},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_01_01_19_01"",""major_program_name"":""区民関係事務運営費"",""budget_program_name"":""地域行政部庶務事務"",""detail_program_name"":""地域行政部庶務事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9409}],""same_budget_item_other_program_names"":[""ＤＶ防止・困難な問題を抱える女性支援事業"",""ふるさとまつり協賛（烏山）"",""ふるさとまつり協賛（砧）"",""ふるさとまつり協賛（玉川）"",""ふるさとまつり協賛（世田谷）"",""ふるさとまつり協賛（北沢）"",""まちづくり推進（烏山）"",""まちづくり推進（砧）"",""まちづくり推進（玉川）"",""まちづくり推進（世田谷）"",""まちづくり推進（北沢）"",""安全安心まちづくりの推進"",""区広報板維持管理"",""公共施設利用案内システム維持運営"",""災害時地域助け合い活動支援"",""市民活動の促進"",""自主的コミュニティづくりの支援"",""住居表示維持管理"",""出張所広報"",""人権推進事業"",""生活文化政策部庶務事務"",""青少年対策（烏山）"",""青少年対策（砧）"",""青少年対策（玉川）"",""青少年対策（世田谷）"",""青少年対策（北沢）"",""多摩川花火大会"",""男女共同参画センター維持運営"",""男女共同参画社会推進事業"",""地域活動推進（烏山）"",""地域活動推進（砧）"",""地域活動推進（玉川）"",""地域活動推進（世田谷）"",""地域活動推進（北沢）"",""地域交流・まつり事業支援"",""地域包括ケア地区展開調整事務"",""町会自治会等事業助成"",""二十歳のつどい"",""梅まつり"",""犯罪被害者等支援事業"",""犯罪被害者等支援等基金積立金"",""平和資料館維持運営"",""平和都市宣言事業"",""防犯カメラ整備・維持管理助成"",""防犯協会・防火防災協会（砧）"",""防犯協会・防火防災協会（玉川）"",""防犯協会・防火防災協会（世田谷）"",""北沢防犯協会（北沢）"",""臨海部広域斎場組合負担金""],""related_revenues"":[]}","high","reject","[publication-policy] 一般管理・人件費・基金等よりもtopicとの直接性を優先して非公開"
"bpi_c428fc69da6c8cc79ef71acd4bc1643c0bafcc9050050214320c02f3c21f62bf","区広報板維持管理","一般会計","総務費","区民費","区民総務費","地域行政部 地域行政課","19441","地域活動","supports","公式予算の会計・款・項・目と事業名から「地域活動」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-participation-events-and-support-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_01"",""identity_fields"":{""display_program_name"":""区広報板維持管理"",""hierarchy"":[""総務費"",""区民費"",""区民総務費""],""department_display_name"":""地域行政部 地域行政課"",""amount_thousand_yen"":19441},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_01_01_11_01"",""major_program_name"":""区民関係事務運営費"",""budget_program_name"":""区広報板維持管理"",""detail_program_name"":""区広報板維持管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9407}],""same_budget_item_other_program_names"":[""ＤＶ防止・困難な問題を抱える女性支援事業"",""ふるさとまつり協賛（烏山）"",""ふるさとまつり協賛（砧）"",""ふるさとまつり協賛（玉川）"",""ふるさとまつり協賛（世田谷）"",""ふるさとまつり協賛（北沢）"",""まちづくり推進（烏山）"",""まちづくり推進（砧）"",""まちづくり推進（玉川）"",""まちづくり推進（世田谷）"",""まちづくり推進（北沢）"",""安全安心まちづくりの推進"",""公共施設利用案内システム維持運営"",""災害時地域助け合い活動支援"",""市民活動の促進"",""自主的コミュニティづくりの支援"",""住居表示維持管理"",""出張所広報"",""人権推進事業"",""生活文化政策部庶務事務"",""青少年対策（烏山）"",""青少年対策（砧）"",""青少年対策（玉川）"",""青少年対策（世田谷）"",""青少年対策（北沢）"",""多摩川花火大会"",""男女共同参画センター維持運営"",""男女共同参画社会推進事業"",""地域活動推進（烏山）"",""地域活動推進（砧）"",""地域活動推進（玉川）"",""地域活動推進（世田谷）"",""地域活動推進（北沢）"",""地域交流・まつり事業支援"",""地域行政部庶務事務"",""地域包括ケア地区展開調整事務"",""町会自治会等事業助成"",""二十歳のつどい"",""梅まつり"",""犯罪被害者等支援事業"",""犯罪被害者等支援等基金積立金"",""平和資料館維持運営"",""平和都市宣言事業"",""防犯カメラ整備・維持管理助成"",""防犯協会・防火防災協会（砧）"",""防犯協会・防火防災協会（玉川）"",""防犯協会・防火防災協会（世田谷）"",""北沢防犯協会（北沢）"",""臨海部広域斎場組合負担金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_03_01_02_04_3415100000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""総務費委託金"",""自衛隊員募集費"",""自衛隊員募集""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
