"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_4160129e6ad8914674be13590d97eedb571f0ae025b2cf3cc2e715317ebebd39","文化財団運営補助","一般会計","総務費","区民費","文化施設費","生活文化政策部 文化・国際課","1655041","文化芸術・多文化交流","supports","公式予算の会計・款・項・目と事業名から「文化芸術・多文化交流」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""arts-culture-and-multicultural-exchange-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_12"",""identity_fields"":{""display_program_name"":""文化財団運営補助"",""hierarchy"":[""総務費"",""区民費"",""文化施設費""],""department_display_name"":""生活文化政策部 文化・国際課"",""amount_thousand_yen"":1655041},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_12_01_03_01"",""major_program_name"":""文化財団維持運営費"",""budget_program_name"":""文化財団運営補助"",""detail_program_name"":""文化財団運営補助"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9387}],""same_budget_item_other_program_names"":[""音楽文化の振興"",""美術館維持管理"",""文化施設事業運営"",""文化施設保全"",""文化生活情報センター維持管理"",""文学館維持管理""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_51_46_3405400000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""雑入（２）"",""地域の芸術環境づくり助成事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_479ba04df3669398a2e15d6d37ce9fe75bdac71f03db1a8132315d30a4b294fa","文化施設保全","一般会計","総務費","区民費","文化施設費","生活文化政策部 文化・国際課","1241506","文化芸術・多文化交流","supports","公式予算の会計・款・項・目と事業名から「文化芸術・多文化交流」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""arts-culture-and-multicultural-exchange-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_12"",""identity_fields"":{""display_program_name"":""文化施設保全"",""hierarchy"":[""総務費"",""区民費"",""文化施設費""],""department_display_name"":""生活文化政策部 文化・国際課"",""amount_thousand_yen"":1241506},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_12_01_02_01"",""major_program_name"":""文化財団維持運営費"",""budget_program_name"":""文化施設保全"",""detail_program_name"":""文化施設保全"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9386}],""same_budget_item_other_program_names"":[""音楽文化の振興"",""美術館維持管理"",""文化財団運営補助"",""文化施設事業運営"",""文化生活情報センター維持管理"",""文学館維持管理""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_dbc145d7554808b3c1e2f7851994fdf554f7aef10a20d0757cd36ca3a28df3c5","文化生活情報センター維持管理","一般会計","総務費","区民費","文化施設費","生活文化政策部 文化・国際課","467636","文化芸術・多文化交流","supports","公式予算の会計・款・項・目と事業名から「文化芸術・多文化交流」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""arts-culture-and-multicultural-exchange-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_12"",""identity_fields"":{""display_program_name"":""文化生活情報センター維持管理"",""hierarchy"":[""総務費"",""区民費"",""文化施設費""],""department_display_name"":""生活文化政策部 文化・国際課"",""amount_thousand_yen"":467636},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_12_01_05_01"",""major_program_name"":""文化財団維持運営費"",""budget_program_name"":""文化生活情報センター維持管理"",""detail_program_name"":""文化生活情報センター維持管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9389}],""same_budget_item_other_program_names"":[""音楽文化の振興"",""美術館維持管理"",""文化財団運営補助"",""文化施設事業運営"",""文化施設保全"",""文学館維持管理""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_13_03_3405400000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""文化施設"",""文化生活情報センター""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_43_3405400000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""文化生活情報センター""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_10_3405400000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""文化生活情報センター""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_53222f2db58cf073daa7301ed22ef1c7b71c96807a40e8bbed97b02426a33fcb","美術館維持管理","一般会計","総務費","区民費","文化施設費","生活文化政策部 文化・国際課","405012","文化芸術・多文化交流","supports","公式予算の会計・款・項・目と事業名から「文化芸術・多文化交流」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""arts-culture-and-multicultural-exchange-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_12"",""identity_fields"":{""display_program_name"":""美術館維持管理"",""hierarchy"":[""総務費"",""区民費"",""文化施設費""],""department_display_name"":""生活文化政策部 文化・国際課"",""amount_thousand_yen"":405012},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_12_01_06_01"",""major_program_name"":""文化財団維持運営費"",""budget_program_name"":""美術館維持管理"",""detail_program_name"":""美術館維持管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9390}],""same_budget_item_other_program_names"":[""音楽文化の振興"",""文化財団運営補助"",""文化施設事業運営"",""文化施設保全"",""文化生活情報センター維持管理"",""文学館維持管理""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_28_3405400000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""美術館""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_b3b322559262409ac2a910333c9a84ae9758b030472e9ea8cf393955b0b31d70","文化施設事業運営","一般会計","総務費","区民費","文化施設費","生活文化政策部 文化・国際課","224761","文化芸術・多文化交流","supports","公式予算の会計・款・項・目と事業名から「文化芸術・多文化交流」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""arts-culture-and-multicultural-exchange-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_12"",""identity_fields"":{""display_program_name"":""文化施設事業運営"",""hierarchy"":[""総務費"",""区民費"",""文化施設費""],""department_display_name"":""生活文化政策部 文化・国際課"",""amount_thousand_yen"":224761},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_12_01_04_01"",""major_program_name"":""文化財団維持運営費"",""budget_program_name"":""文化施設事業運営"",""detail_program_name"":""文化施設事業運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9388}],""same_budget_item_other_program_names"":[""音楽文化の振興"",""美術館維持管理"",""文化財団運営補助"",""文化施設保全"",""文化生活情報センター維持管理"",""文学館維持管理""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_13_01_3405400000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""文化施設"",""美術館""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_13_02_3405400000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""文化施設"",""文学館""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_1ed4a7165bbecabc261603bc8cb41654d9d8119ace3f759c79af6a8ffff54992","文学館維持管理","一般会計","総務費","区民費","文化施設費","生活文化政策部 文化・国際課","133043","文化芸術・多文化交流","supports","公式予算の会計・款・項・目と事業名から「文化芸術・多文化交流」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""arts-culture-and-multicultural-exchange-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_12"",""identity_fields"":{""display_program_name"":""文学館維持管理"",""hierarchy"":[""総務費"",""区民費"",""文化施設費""],""department_display_name"":""生活文化政策部 文化・国際課"",""amount_thousand_yen"":133043},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_12_01_07_01"",""major_program_name"":""文化財団維持運営費"",""budget_program_name"":""文学館維持管理"",""detail_program_name"":""文学館維持管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9391}],""same_budget_item_other_program_names"":[""音楽文化の振興"",""美術館維持管理"",""文化財団運営補助"",""文化施設事業運営"",""文化施設保全"",""文化生活情報センター維持管理""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_51_3405400000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""文学館""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_5456242b34cdf040867e583f3a01de8ae0d45e068f62b0ec78c29fbef43caa79","文化・芸術資源の魅力発信","一般会計","総務費","区民費","文化・国際費","生活文化政策部 文化・国際課","28118","文化芸術・多文化交流","supports","公式予算の会計・款・項・目と事業名から「文化芸術・多文化交流」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""arts-culture-and-multicultural-exchange-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_11"",""identity_fields"":{""display_program_name"":""文化・芸術資源の魅力発信"",""hierarchy"":[""総務費"",""区民費"",""文化・国際費""],""department_display_name"":""生活文化政策部 文化・国際課"",""amount_thousand_yen"":28118},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_11_01_09_01"",""major_program_name"":""文化事業費"",""budget_program_name"":""文化・芸術資源の魅力発信"",""detail_program_name"":""文化・芸術資源の魅力発信"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9381}],""same_budget_item_other_program_names"":[""ホストタウン・交流連携事業"",""外国人が暮らしやすい環境づくり"",""国際平和交流基金積立金"",""姉妹都市等交流の充実"",""美術品管理"",""文化・芸術活動の振興"",""文化振興基金積立金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_17_01_36_01_03_3405400000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""文化振興基金繰入金"",""文化振興"",""文化・芸術資源の魅力発信""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_a42ed7d07df58872c83da20bb452d30af48782d19872bf8949f33b6c7f5f8571","外国人が暮らしやすい環境づくり","一般会計","総務費","区民費","文化・国際費","生活文化政策部 文化・国際課","26680","文化芸術・多文化交流","supports","公式予算の会計・款・項・目と事業名から「文化芸術・多文化交流」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""arts-culture-and-multicultural-exchange-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_11"",""identity_fields"":{""display_program_name"":""外国人が暮らしやすい環境づくり"",""hierarchy"":[""総務費"",""区民費"",""文化・国際費""],""department_display_name"":""生活文化政策部 文化・国際課"",""amount_thousand_yen"":26680},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_11_03_03_01"",""major_program_name"":""国際交流費"",""budget_program_name"":""外国人が暮らしやすい環境づくり"",""detail_program_name"":""外国人が暮らしやすい環境づくり"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9384}],""same_budget_item_other_program_names"":[""ホストタウン・交流連携事業"",""国際平和交流基金積立金"",""姉妹都市等交流の充実"",""美術品管理"",""文化・芸術活動の振興"",""文化・芸術資源の魅力発信"",""文化振興基金積立金""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_08_27_01_3405400000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""総務費補助金"",""外国人受入環境整備交付金"",""タブレット端末運用""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_22_01_03_3405400000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""国際平和交流基金繰入金"",""国際平和交流"",""国際平和交流（国際化）""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_016ee612f80cdf9aa443f12d9c46bf3c3501c7ef1e65677332c911588613ee55","美術品管理","一般会計","総務費","区民費","文化・国際費","生活文化政策部 文化・国際課","15583","文化芸術・多文化交流","supports","公式予算の会計・款・項・目と事業名から「文化芸術・多文化交流」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""arts-culture-and-multicultural-exchange-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_11"",""identity_fields"":{""display_program_name"":""美術品管理"",""hierarchy"":[""総務費"",""区民費"",""文化・国際費""],""department_display_name"":""生活文化政策部 文化・国際課"",""amount_thousand_yen"":15583},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_11_01_05_01"",""major_program_name"":""文化事業費"",""budget_program_name"":""美術品管理"",""detail_program_name"":""美術品管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9379}],""same_budget_item_other_program_names"":[""ホストタウン・交流連携事業"",""外国人が暮らしやすい環境づくり"",""国際平和交流基金積立金"",""姉妹都市等交流の充実"",""文化・芸術活動の振興"",""文化・芸術資源の魅力発信"",""文化振興基金積立金""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_ed6fefdfe201255c42f0f35aee17cd50aacd50502b8faef05d63641b718675d7","文化振興基金積立金","一般会計","総務費","区民費","文化・国際費","生活文化政策部 文化・国際課","14639","文化芸術・多文化交流","supports","公式予算の会計・款・項・目と事業名から「文化芸術・多文化交流」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""arts-culture-and-multicultural-exchange-official-structure"",""budget_item_key"":""2026_general_expenditure_02_03_11"",""identity_fields"":{""display_program_name"":""文化振興基金積立金"",""hierarchy"":[""総務費"",""区民費"",""文化・国際費""],""department_display_name"":""生活文化政策部 文化・国際課"",""amount_thousand_yen"":14639},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_11_01_01_01"",""major_program_name"":""文化事業費"",""budget_program_name"":""文化振興基金積立金"",""detail_program_name"":""文化振興基金積立金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9378}],""same_budget_item_other_program_names"":[""ホストタウン・交流連携事業"",""外国人が暮らしやすい環境づくり"",""国際平和交流基金積立金"",""姉妹都市等交流の充実"",""美術品管理"",""文化・芸術活動の振興"",""文化・芸術資源の魅力発信""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_15_01_02_02_42_3405400000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""利子及配当金"",""基金利子"",""文化振興基金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_16_01_02_01_01_3405400000"",""revenue_hierarchy"":[""寄附金"",""寄附金"",""指定寄附金"",""総務費"",""文化振興基金""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 一般管理・人件費・基金等よりもtopicとの直接性を優先して非公開"
