"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_6ae4dcaee23e31ece88e5ad25016a8698d580327e7a9cd6f591d3d0138700f5b","世田谷区土地開発公社貸付金","一般会計","土木費","都市計画費","都市計画総務費","財務部 用地課","2944131","駅・交通と地域のまちづくりを進める","supports","公式予算の会計・款・項・目と事業名から「駅・交通と地域のまちづくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stations-transit-and-community-planning-official-structure"",""budget_item_key"":""2026_general_expenditure_07_06_01"",""identity_fields"":{""display_program_name"":""世田谷区土地開発公社貸付金"",""hierarchy"":[""土木費"",""都市計画費"",""都市計画総務費""],""department_display_name"":""財務部 用地課"",""amount_thousand_yen"":2944131},""member_programs"":[{""program_id"":""2026_general_expenditure_07_06_01_01_26_01"",""major_program_name"":""都市計画事業費"",""budget_program_name"":""世田谷区土地開発公社貸付金"",""detail_program_name"":""世田谷区土地開発公社貸付金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9357}],""same_budget_item_other_program_names"":[""エイトライナー導入促進"",""バス交通サービスの充実"",""ユニバーサルデザイン環境整備推進"",""駅周辺街づくりの推進（鉄道跡地利用）"",""駅周辺整備事務（烏山）"",""街づくり事務（烏山）"",""街づくり事務（砧）"",""街づくり事務（玉川）"",""街づくり事務（世田谷）"",""街づくり事務（北沢）"",""拠点まちづくりの促進"",""建築審査会運営"",""交通バリアフリーの推進"",""三軒茶屋駅周辺地区街づくりの推進"",""事前復興街づくりの推進"",""世田谷トラストまちづくり運営補助"",""世田谷区土地開発公社事務費負担金"",""地域街づくり情報化推進"",""地区計画策定"",""鉄道と道路の立体化の促進"",""鉄道駅ホームドア整備の促進"",""鉄道沿線街づくりの推進"",""都市景観の形成"",""都市計画基礎調査"",""都市計画審議会運営"",""都市計画法関連事務"",""都市整備政策部庶務事務"",""土地利用計画事務"",""防災街づくり担当部庶務事務"",""明大前駅周辺地区街づくりの推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_03_12_01_01_3355505000"",""revenue_hierarchy"":[""諸収入"",""貸付金元利収入"",""土地開発公社貸付金収入"",""貸付金返還金"",""土地開発公社貸付金返還金""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_3d2825748de24b03698a7e586c0ef3a2ee31d5eb4c7cdc12f81573020c30912a","鉄道と道路の立体化の促進","一般会計","土木費","都市計画費","都市計画総務費","道路・交通計画部 交通政策課","1795820","駅・交通と地域のまちづくりを進める","supports","公式予算の会計・款・項・目と事業名から「駅・交通と地域のまちづくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stations-transit-and-community-planning-official-structure"",""budget_item_key"":""2026_general_expenditure_07_06_01"",""identity_fields"":{""display_program_name"":""鉄道と道路の立体化の促進"",""hierarchy"":[""土木費"",""都市計画費"",""都市計画総務費""],""department_display_name"":""道路・交通計画部 交通政策課"",""amount_thousand_yen"":1795820},""member_programs"":[{""program_id"":""2026_general_expenditure_07_06_01_01_14_01"",""major_program_name"":""都市計画事業費"",""budget_program_name"":""鉄道と道路の立体化の促進"",""detail_program_name"":""鉄道と道路の立体化の促進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10006}],""same_budget_item_other_program_names"":[""エイトライナー導入促進"",""バス交通サービスの充実"",""ユニバーサルデザイン環境整備推進"",""駅周辺街づくりの推進（鉄道跡地利用）"",""駅周辺整備事務（烏山）"",""街づくり事務（烏山）"",""街づくり事務（砧）"",""街づくり事務（玉川）"",""街づくり事務（世田谷）"",""街づくり事務（北沢）"",""拠点まちづくりの促進"",""建築審査会運営"",""交通バリアフリーの推進"",""三軒茶屋駅周辺地区街づくりの推進"",""事前復興街づくりの推進"",""世田谷トラストまちづくり運営補助"",""世田谷区土地開発公社事務費負担金"",""世田谷区土地開発公社貸付金"",""地域街づくり情報化推進"",""地区計画策定"",""鉄道駅ホームドア整備の促進"",""鉄道沿線街づくりの推進"",""都市景観の形成"",""都市計画基礎調査"",""都市計画審議会運営"",""都市計画法関連事務"",""都市整備政策部庶務事務"",""土地利用計画事務"",""防災街づくり担当部庶務事務"",""明大前駅周辺地区街づくりの推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_01_03_3865500000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""都市計画交付金"",""連続立体交差化事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_10_01_17_3865500000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""都市整備基金繰入金"",""都市整備基金繰入金"",""鉄道と道路の立体化促進""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_04_03_07_01_3865500000"",""revenue_hierarchy"":[""諸収入"",""受託事業収入"",""土木費受託収入"",""連続立体化費"",""連続立体化側道整備受託事業収入""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_20_01_03_07_01_3865500000"",""revenue_hierarchy"":[""特別区債"",""特別区債"",""土木債"",""連続立体化費"",""連続立体化事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_4b5267edc396f75923bbdebb8a9f5293895b0a701e1751fe93da5314443bffe1","交通バリアフリーの推進","一般会計","土木費","都市計画費","都市計画総務費","道路・交通計画部 交通政策課","346053","駅・交通と地域のまちづくりを進める","supports","公式予算の会計・款・項・目と事業名から「駅・交通と地域のまちづくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stations-transit-and-community-planning-official-structure"",""budget_item_key"":""2026_general_expenditure_07_06_01"",""identity_fields"":{""display_program_name"":""交通バリアフリーの推進"",""hierarchy"":[""土木費"",""都市計画費"",""都市計画総務費""],""department_display_name"":""道路・交通計画部 交通政策課"",""amount_thousand_yen"":346053},""member_programs"":[{""program_id"":""2026_general_expenditure_07_06_01_01_29_01"",""major_program_name"":""都市計画事業費"",""budget_program_name"":""交通バリアフリーの推進"",""detail_program_name"":""交通バリアフリーの推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10009}],""same_budget_item_other_program_names"":[""エイトライナー導入促進"",""バス交通サービスの充実"",""ユニバーサルデザイン環境整備推進"",""駅周辺街づくりの推進（鉄道跡地利用）"",""駅周辺整備事務（烏山）"",""街づくり事務（烏山）"",""街づくり事務（砧）"",""街づくり事務（玉川）"",""街づくり事務（世田谷）"",""街づくり事務（北沢）"",""拠点まちづくりの促進"",""建築審査会運営"",""三軒茶屋駅周辺地区街づくりの推進"",""事前復興街づくりの推進"",""世田谷トラストまちづくり運営補助"",""世田谷区土地開発公社事務費負担金"",""世田谷区土地開発公社貸付金"",""地域街づくり情報化推進"",""地区計画策定"",""鉄道と道路の立体化の促進"",""鉄道駅ホームドア整備の促進"",""鉄道沿線街づくりの推進"",""都市景観の形成"",""都市計画基礎調査"",""都市計画審議会運営"",""都市計画法関連事務"",""都市整備政策部庶務事務"",""土地利用計画事務"",""防災街づくり担当部庶務事務"",""明大前駅周辺地区街づくりの推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_66_01_3865500000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""持続可能な地域公共交通実現に向けた事業費補助金"",""持続可能な地域公共交通実現に向けた事業費補助金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_16_01_02_02_10_3865500000"",""revenue_hierarchy"":[""寄附金"",""寄附金"",""指定寄附金"",""土木費"",""公共交通不便地域対策""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_45_29_3865500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""広告料収入"",""コミュニティ交通""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_83_42_3865500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""雑入（３）"",""コミュニティ交通協賛金""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_33820c3319526f27878a421702de7af80de28aa9bd14c9723bb956b2ee49e8f7","鉄道沿線街づくりの推進","一般会計","土木費","都市計画費","都市計画総務費","道路・交通計画部 交通政策課","301213","駅・交通と地域のまちづくりを進める","supports","公式予算の会計・款・項・目と事業名から「駅・交通と地域のまちづくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stations-transit-and-community-planning-official-structure"",""budget_item_key"":""2026_general_expenditure_07_06_01"",""identity_fields"":{""display_program_name"":""鉄道沿線街づくりの推進"",""hierarchy"":[""土木費"",""都市計画費"",""都市計画総務費""],""department_display_name"":""道路・交通計画部 交通政策課"",""amount_thousand_yen"":301213},""member_programs"":[{""program_id"":""2026_general_expenditure_07_06_01_01_45_01"",""major_program_name"":""都市計画事業費"",""budget_program_name"":""鉄道沿線街づくりの推進"",""detail_program_name"":""鉄道沿線街づくりの推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10010}],""same_budget_item_other_program_names"":[""エイトライナー導入促進"",""バス交通サービスの充実"",""ユニバーサルデザイン環境整備推進"",""駅周辺街づくりの推進（鉄道跡地利用）"",""駅周辺整備事務（烏山）"",""街づくり事務（烏山）"",""街づくり事務（砧）"",""街づくり事務（玉川）"",""街づくり事務（世田谷）"",""街づくり事務（北沢）"",""拠点まちづくりの促進"",""建築審査会運営"",""交通バリアフリーの推進"",""三軒茶屋駅周辺地区街づくりの推進"",""事前復興街づくりの推進"",""世田谷トラストまちづくり運営補助"",""世田谷区土地開発公社事務費負担金"",""世田谷区土地開発公社貸付金"",""地域街づくり情報化推進"",""地区計画策定"",""鉄道と道路の立体化の促進"",""鉄道駅ホームドア整備の促進"",""都市景観の形成"",""都市計画基礎調査"",""都市計画審議会運営"",""都市計画法関連事務"",""都市整備政策部庶務事務"",""土地利用計画事務"",""防災街づくり担当部庶務事務"",""明大前駅周辺地区街づくりの推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_01_44_3865500000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""都市計画交付金"",""京王街づくり側道""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_fc1a3c13896ad723d6380b04133b298e8e9ac03f4b01052bcf59360cb59fd4b1","世田谷トラストまちづくり運営補助","一般会計","土木費","都市計画費","都市計画総務費","都市整備政策部 都市計画課","292704","駅・交通と地域のまちづくりを進める","supports","公式予算の会計・款・項・目と事業名から「駅・交通と地域のまちづくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stations-transit-and-community-planning-official-structure"",""budget_item_key"":""2026_general_expenditure_07_06_01"",""identity_fields"":{""display_program_name"":""世田谷トラストまちづくり運営補助"",""hierarchy"":[""土木費"",""都市計画費"",""都市計画総務費""],""department_display_name"":""都市整備政策部 都市計画課"",""amount_thousand_yen"":292704},""member_programs"":[{""program_id"":""2026_general_expenditure_07_06_01_01_32_01"",""major_program_name"":""都市計画事業費"",""budget_program_name"":""世田谷トラストまちづくり運営補助"",""detail_program_name"":""世田谷トラストまちづくり運営補助"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9943}],""same_budget_item_other_program_names"":[""エイトライナー導入促進"",""バス交通サービスの充実"",""ユニバーサルデザイン環境整備推進"",""駅周辺街づくりの推進（鉄道跡地利用）"",""駅周辺整備事務（烏山）"",""街づくり事務（烏山）"",""街づくり事務（砧）"",""街づくり事務（玉川）"",""街づくり事務（世田谷）"",""街づくり事務（北沢）"",""拠点まちづくりの促進"",""建築審査会運営"",""交通バリアフリーの推進"",""三軒茶屋駅周辺地区街づくりの推進"",""事前復興街づくりの推進"",""世田谷区土地開発公社事務費負担金"",""世田谷区土地開発公社貸付金"",""地域街づくり情報化推進"",""地区計画策定"",""鉄道と道路の立体化の促進"",""鉄道駅ホームドア整備の促進"",""鉄道沿線街づくりの推進"",""都市景観の形成"",""都市計画基礎調査"",""都市計画審議会運営"",""都市計画法関連事務"",""都市整備政策部庶務事務"",""土地利用計画事務"",""防災街づくり担当部庶務事務"",""明大前駅周辺地区街づくりの推進""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_c0674a62c9e9eb1351a708c5dcf515863c69e8d78b1e5c3b9a64bc06d6ceca07","都市計画基礎調査","一般会計","土木費","都市計画費","都市計画総務費","都市整備政策部 都市計画課","149100","駅・交通と地域のまちづくりを進める","supports","公式予算の会計・款・項・目と事業名から「駅・交通と地域のまちづくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stations-transit-and-community-planning-official-structure"",""budget_item_key"":""2026_general_expenditure_07_06_01"",""identity_fields"":{""display_program_name"":""都市計画基礎調査"",""hierarchy"":[""土木費"",""都市計画費"",""都市計画総務費""],""department_display_name"":""都市整備政策部 都市計画課"",""amount_thousand_yen"":149100},""member_programs"":[{""program_id"":""2026_general_expenditure_07_06_01_01_09_01"",""major_program_name"":""都市計画事業費"",""budget_program_name"":""都市計画基礎調査"",""detail_program_name"":""都市計画基礎調査"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9939}],""same_budget_item_other_program_names"":[""エイトライナー導入促進"",""バス交通サービスの充実"",""ユニバーサルデザイン環境整備推進"",""駅周辺街づくりの推進（鉄道跡地利用）"",""駅周辺整備事務（烏山）"",""街づくり事務（烏山）"",""街づくり事務（砧）"",""街づくり事務（玉川）"",""街づくり事務（世田谷）"",""街づくり事務（北沢）"",""拠点まちづくりの促進"",""建築審査会運営"",""交通バリアフリーの推進"",""三軒茶屋駅周辺地区街づくりの推進"",""事前復興街づくりの推進"",""世田谷トラストまちづくり運営補助"",""世田谷区土地開発公社事務費負担金"",""世田谷区土地開発公社貸付金"",""地域街づくり情報化推進"",""地区計画策定"",""鉄道と道路の立体化の促進"",""鉄道駅ホームドア整備の促進"",""鉄道沿線街づくりの推進"",""都市景観の形成"",""都市計画審議会運営"",""都市計画法関連事務"",""都市整備政策部庶務事務"",""土地利用計画事務"",""防災街づくり担当部庶務事務"",""明大前駅周辺地区街づくりの推進""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_134ed8ab1e3382f04c6b33256c8898da34130d4cd55732b2d0b38cf133d5c3fe","地域街づくり情報化推進","一般会計","土木費","都市計画費","都市計画総務費","都市整備政策部 都市計画課","83677","駅・交通と地域のまちづくりを進める","supports","公式予算の会計・款・項・目と事業名から「駅・交通と地域のまちづくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stations-transit-and-community-planning-official-structure"",""budget_item_key"":""2026_general_expenditure_07_06_01"",""identity_fields"":{""display_program_name"":""地域街づくり情報化推進"",""hierarchy"":[""土木費"",""都市計画費"",""都市計画総務費""],""department_display_name"":""都市整備政策部 都市計画課"",""amount_thousand_yen"":83677},""member_programs"":[{""program_id"":""2026_general_expenditure_07_06_01_01_07_01"",""major_program_name"":""都市計画事業費"",""budget_program_name"":""地域街づくり情報化推進"",""detail_program_name"":""地域街づくり情報化推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9937}],""same_budget_item_other_program_names"":[""エイトライナー導入促進"",""バス交通サービスの充実"",""ユニバーサルデザイン環境整備推進"",""駅周辺街づくりの推進（鉄道跡地利用）"",""駅周辺整備事務（烏山）"",""街づくり事務（烏山）"",""街づくり事務（砧）"",""街づくり事務（玉川）"",""街づくり事務（世田谷）"",""街づくり事務（北沢）"",""拠点まちづくりの促進"",""建築審査会運営"",""交通バリアフリーの推進"",""三軒茶屋駅周辺地区街づくりの推進"",""事前復興街づくりの推進"",""世田谷トラストまちづくり運営補助"",""世田谷区土地開発公社事務費負担金"",""世田谷区土地開発公社貸付金"",""地区計画策定"",""鉄道と道路の立体化の促進"",""鉄道駅ホームドア整備の促進"",""鉄道沿線街づくりの推進"",""都市景観の形成"",""都市計画基礎調査"",""都市計画審議会運営"",""都市計画法関連事務"",""都市整備政策部庶務事務"",""土地利用計画事務"",""防災街づくり担当部庶務事務"",""明大前駅周辺地区街づくりの推進""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_3ac2b3d2b623396bf5ba4fed999030c7e07ac51764bac260f15f70b3d549ca4b","地区計画策定","一般会計","土木費","都市計画費","都市計画総務費","都市整備政策部 都市計画課","76936","駅・交通と地域のまちづくりを進める","supports","公式予算の会計・款・項・目と事業名から「駅・交通と地域のまちづくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stations-transit-and-community-planning-official-structure"",""budget_item_key"":""2026_general_expenditure_07_06_01"",""identity_fields"":{""display_program_name"":""地区計画策定"",""hierarchy"":[""土木費"",""都市計画費"",""都市計画総務費""],""department_display_name"":""都市整備政策部 都市計画課"",""amount_thousand_yen"":76936},""member_programs"":[{""program_id"":""2026_general_expenditure_07_06_01_01_12_01"",""major_program_name"":""都市計画事業費"",""budget_program_name"":""地区計画策定"",""detail_program_name"":""地区計画策定"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9942}],""same_budget_item_other_program_names"":[""エイトライナー導入促進"",""バス交通サービスの充実"",""ユニバーサルデザイン環境整備推進"",""駅周辺街づくりの推進（鉄道跡地利用）"",""駅周辺整備事務（烏山）"",""街づくり事務（烏山）"",""街づくり事務（砧）"",""街づくり事務（玉川）"",""街づくり事務（世田谷）"",""街づくり事務（北沢）"",""拠点まちづくりの促進"",""建築審査会運営"",""交通バリアフリーの推進"",""三軒茶屋駅周辺地区街づくりの推進"",""事前復興街づくりの推進"",""世田谷トラストまちづくり運営補助"",""世田谷区土地開発公社事務費負担金"",""世田谷区土地開発公社貸付金"",""地域街づくり情報化推進"",""鉄道と道路の立体化の促進"",""鉄道駅ホームドア整備の促進"",""鉄道沿線街づくりの推進"",""都市景観の形成"",""都市計画基礎調査"",""都市計画審議会運営"",""都市計画法関連事務"",""都市整備政策部庶務事務"",""土地利用計画事務"",""防災街づくり担当部庶務事務"",""明大前駅周辺地区街づくりの推進""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_5258bdac0d9535af48141fcb9a467d0ffb837d39f203927d86e1f0150e8fffdf","都市整備政策部庶務事務","一般会計","土木費","都市計画費","都市計画総務費","都市整備政策部 都市計画課","41419","駅・交通と地域のまちづくりを進める","supports","公式予算の会計・款・項・目と事業名から「駅・交通と地域のまちづくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stations-transit-and-community-planning-official-structure"",""budget_item_key"":""2026_general_expenditure_07_06_01"",""identity_fields"":{""display_program_name"":""都市整備政策部庶務事務"",""hierarchy"":[""土木費"",""都市計画費"",""都市計画総務費""],""department_display_name"":""都市整備政策部 都市計画課"",""amount_thousand_yen"":41419},""member_programs"":[{""program_id"":""2026_general_expenditure_07_06_01_01_51_01"",""major_program_name"":""都市計画事業費"",""budget_program_name"":""都市整備政策部庶務事務"",""detail_program_name"":""都市整備政策部庶務事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9944}],""same_budget_item_other_program_names"":[""エイトライナー導入促進"",""バス交通サービスの充実"",""ユニバーサルデザイン環境整備推進"",""駅周辺街づくりの推進（鉄道跡地利用）"",""駅周辺整備事務（烏山）"",""街づくり事務（烏山）"",""街づくり事務（砧）"",""街づくり事務（玉川）"",""街づくり事務（世田谷）"",""街づくり事務（北沢）"",""拠点まちづくりの促進"",""建築審査会運営"",""交通バリアフリーの推進"",""三軒茶屋駅周辺地区街づくりの推進"",""事前復興街づくりの推進"",""世田谷トラストまちづくり運営補助"",""世田谷区土地開発公社事務費負担金"",""世田谷区土地開発公社貸付金"",""地域街づくり情報化推進"",""地区計画策定"",""鉄道と道路の立体化の促進"",""鉄道駅ホームドア整備の促進"",""鉄道沿線街づくりの推進"",""都市景観の形成"",""都市計画基礎調査"",""都市計画審議会運営"",""都市計画法関連事務"",""土地利用計画事務"",""防災街づくり担当部庶務事務"",""明大前駅周辺地区街づくりの推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_06_14_01_3815100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""土木費補助金"",""国土利用計画事務費"",""国土利用計画""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_08_09_3815100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""参加料・利用料"",""二子玉川分庁舎コピーサービス料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_54_83_3815100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金（２）"",""旧玉川高校""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_32fe7fdaee234dcd1cfe23bbe8d2c564cfb1068816e86e2ddb963d77948c095d","三軒茶屋駅周辺地区街づくりの推進","一般会計","土木費","都市計画費","都市計画総務費","世田谷総合支所 街づくり課","28727","駅・交通と地域のまちづくりを進める","supports","公式予算の会計・款・項・目と事業名から「駅・交通と地域のまちづくりを進める」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stations-transit-and-community-planning-official-structure"",""budget_item_key"":""2026_general_expenditure_07_06_01"",""identity_fields"":{""display_program_name"":""三軒茶屋駅周辺地区街づくりの推進"",""hierarchy"":[""土木費"",""都市計画費"",""都市計画総務費""],""department_display_name"":""世田谷総合支所 街づくり課"",""amount_thousand_yen"":28727},""member_programs"":[{""program_id"":""2026_general_expenditure_07_06_01_01_55_01"",""major_program_name"":""都市計画事業費"",""budget_program_name"":""三軒茶屋駅周辺地区街づくりの推進"",""detail_program_name"":""三軒茶屋駅周辺地区街づくりの推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9109}],""same_budget_item_other_program_names"":[""エイトライナー導入促進"",""バス交通サービスの充実"",""ユニバーサルデザイン環境整備推進"",""駅周辺街づくりの推進（鉄道跡地利用）"",""駅周辺整備事務（烏山）"",""街づくり事務（烏山）"",""街づくり事務（砧）"",""街づくり事務（玉川）"",""街づくり事務（世田谷）"",""街づくり事務（北沢）"",""拠点まちづくりの促進"",""建築審査会運営"",""交通バリアフリーの推進"",""事前復興街づくりの推進"",""世田谷トラストまちづくり運営補助"",""世田谷区土地開発公社事務費負担金"",""世田谷区土地開発公社貸付金"",""地域街づくり情報化推進"",""地区計画策定"",""鉄道と道路の立体化の促進"",""鉄道駅ホームドア整備の促進"",""鉄道沿線街づくりの推進"",""都市景観の形成"",""都市計画基礎調査"",""都市計画審議会運営"",""都市計画法関連事務"",""都市整備政策部庶務事務"",""土地利用計画事務"",""防災街づくり担当部庶務事務"",""明大前駅周辺地区街づくりの推進""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
