"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_d61daf79353f3f19f6f1052baa04cb594662427887ed92f6af0f909f54216ea4","母子保健知識等の普及と啓発","一般会計","衛生費","公衆衛生費","母子保健費","世田谷保健所 健康推進課","890133","母子保健","supports","公式予算の会計・款・項・目と事業名から「母子保健」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""maternal-and-child-health-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_05"",""identity_fields"":{""display_program_name"":""母子保健知識等の普及と啓発"",""hierarchy"":[""衛生費"",""公衆衛生費"",""母子保健費""],""department_display_name"":""世田谷保健所 健康推進課"",""amount_thousand_yen"":890133},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_05_01_09_01"",""major_program_name"":""母子保健指導事業費"",""budget_program_name"":""母子保健知識等の普及と啓発"",""detail_program_name"":""母子保健知識等の普及と啓発"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9904}],""same_budget_item_other_program_names"":[""アレルギー疾患相談"",""リプロダクティブ・ヘルス／ライツの周知啓発"",""育児不安・児童虐待防止対策"",""小児慢性特定疾病医療費給付"",""地域と連携した両親学級の充実"",""乳児期家庭（新生児）訪問事業"",""乳幼児健康診査"",""乳幼児歯科健康診査"",""妊産婦及び乳幼児への栄養・食生活支援事業"",""妊産婦及び乳幼児健康診査"",""妊婦健康診査"",""保健福祉センター乳幼児健康診査"",""保健福祉センター乳幼児歯科健康診査"",""未熟児等に対する医療費公費負担""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_01_78_32_3785200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""民生費補助金"",""重層的支援体制整備事業"",""利用者支援事業（こども家庭センター型）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_24_01_3785200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""妊婦のための支援給付交付金"",""妊婦のための支援給付金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_25_01_3785200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""妊婦のための支援給付事業"",""妊婦のための支援給付事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_62_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""思春期から更年期までの母性保健向上事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_68_78_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""子供家庭支援区市町村包括補助事業"",""子供手帳モデル活用支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_98_04_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""出産・子育て応援事業"",""育児パッケージ""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_08_10_01_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金（２）"",""とうきょうママパパ応援事業"",""必須事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_08_16_26_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金（２）"",""重層的支援体制整備事業"",""利用者支援事業（こども家庭センター型）""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_f340c8d2add0c8aa5453fdc636d4baf00a4ce17827b8256ff3ba7d88891a0391","妊産婦及び乳幼児健康診査","一般会計","衛生費","公衆衛生費","母子保健費","世田谷保健所 健康推進課","825715","母子保健","supports","公式予算の会計・款・項・目と事業名から「母子保健」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""maternal-and-child-health-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_05"",""identity_fields"":{""display_program_name"":""妊産婦及び乳幼児健康診査"",""hierarchy"":[""衛生費"",""公衆衛生費"",""母子保健費""],""department_display_name"":""世田谷保健所 健康推進課"",""amount_thousand_yen"":825715},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_05_01_19_01"",""major_program_name"":""母子保健指導事業費"",""budget_program_name"":""妊産婦及び乳幼児健康診査"",""detail_program_name"":""妊産婦及び乳幼児健康診査"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9911}],""same_budget_item_other_program_names"":[""アレルギー疾患相談"",""リプロダクティブ・ヘルス／ライツの周知啓発"",""育児不安・児童虐待防止対策"",""小児慢性特定疾病医療費給付"",""地域と連携した両親学級の充実"",""乳児期家庭（新生児）訪問事業"",""乳幼児健康診査"",""乳幼児歯科健康診査"",""妊産婦及び乳幼児への栄養・食生活支援事業"",""妊婦健康診査"",""保健福祉センター乳幼児健康診査"",""保健福祉センター乳幼児歯科健康診査"",""母子保健知識等の普及と啓発"",""未熟児等に対する医療費公費負担""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_18_09_3785200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""母子保健衛生費"",""母子保健対策強化事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_18_10_3785200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""母子保健衛生費"",""多胎妊娠の妊婦健康診査支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_18_11_3785200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""母子保健衛生費"",""産婦健康診査事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_04_19_02_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""衛生費補助金"",""東京都妊婦健康診査事業費"",""妊婦健康診査事業費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_08_10_14_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金（２）"",""とうきょうママパパ応援事業"",""多胎児家庭支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_08_10_15_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金（２）"",""とうきょうママパパ応援事業"",""産婦健康診査事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_3f03d32792476d76955fbfc7fb00a11d81c205d3b810e0f9cb58487821cc1277","小児慢性特定疾病医療費給付","一般会計","衛生費","公衆衛生費","母子保健費","世田谷保健所 感染症対策課","213881","母子保健","supports","公式予算の会計・款・項・目と事業名から「母子保健」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""maternal-and-child-health-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_05"",""identity_fields"":{""display_program_name"":""小児慢性特定疾病医療費給付"",""hierarchy"":[""衛生費"",""公衆衛生費"",""母子保健費""],""department_display_name"":""世田谷保健所 感染症対策課"",""amount_thousand_yen"":213881},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_05_01_16_01"",""major_program_name"":""母子保健指導事業費"",""budget_program_name"":""小児慢性特定疾病医療費給付"",""detail_program_name"":""小児慢性特定疾病医療費給付"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9914}],""same_budget_item_other_program_names"":[""アレルギー疾患相談"",""リプロダクティブ・ヘルス／ライツの周知啓発"",""育児不安・児童虐待防止対策"",""地域と連携した両親学級の充実"",""乳児期家庭（新生児）訪問事業"",""乳幼児健康診査"",""乳幼児歯科健康診査"",""妊産婦及び乳幼児への栄養・食生活支援事業"",""妊産婦及び乳幼児健康診査"",""妊婦健康診査"",""保健福祉センター乳幼児健康診査"",""保健福祉センター乳幼児歯科健康診査"",""母子保健知識等の普及と啓発"",""未熟児等に対する医療費公費負担""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_01_02_09_01_3785250000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""衛生費負担金"",""小児慢性特定疾病医療費"",""小児慢性特定疾病医療費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_01_02_10_01_3785250000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""衛生費負担金"",""小児慢性特定疾病児童等自立支援事業費"",""小児慢性特定疾病児童等自立支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_19_01_3785250000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""小児慢性特定疾病対策費"",""小児慢性特定疾病医療事務費""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_5b81f5972cea6ff79f543e44af8b370f3a063be92084ed4a3563986cae211c08","保健福祉センター乳幼児健康診査","一般会計","衛生費","公衆衛生費","母子保健費","世田谷保健所 健康推進課","161198","母子保健","supports","公式予算の会計・款・項・目と事業名から「母子保健」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""maternal-and-child-health-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_05"",""identity_fields"":{""display_program_name"":""保健福祉センター乳幼児健康診査"",""hierarchy"":[""衛生費"",""公衆衛生費"",""母子保健費""],""department_display_name"":""世田谷保健所 健康推進課"",""amount_thousand_yen"":161198},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_05_01_04_01"",""major_program_name"":""母子保健指導事業費"",""budget_program_name"":""保健福祉センター乳幼児健康診査"",""detail_program_name"":""保健福祉センター乳幼児健康診査"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9900}],""same_budget_item_other_program_names"":[""アレルギー疾患相談"",""リプロダクティブ・ヘルス／ライツの周知啓発"",""育児不安・児童虐待防止対策"",""小児慢性特定疾病医療費給付"",""地域と連携した両親学級の充実"",""乳児期家庭（新生児）訪問事業"",""乳幼児健康診査"",""乳幼児歯科健康診査"",""妊産婦及び乳幼児への栄養・食生活支援事業"",""妊産婦及び乳幼児健康診査"",""妊婦健康診査"",""保健福祉センター乳幼児歯科健康診査"",""母子保健知識等の普及と啓発"",""未熟児等に対する医療費公費負担""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_18_12_3785200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""母子保健衛生費"",""５歳児健康診査支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_08_51_01_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金（２）"",""母子保健支援事業"",""母子保健支援事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_ba78249c5bb2911d14f4144fb5e7e36a9f71f6dd0a2e0c3b4e14a87920ea5f21","乳幼児歯科健康診査","一般会計","衛生費","公衆衛生費","母子保健費","世田谷保健所 健康推進課","54542","母子保健","supports","公式予算の会計・款・項・目と事業名から「母子保健」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""maternal-and-child-health-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_05"",""identity_fields"":{""display_program_name"":""乳幼児歯科健康診査"",""hierarchy"":[""衛生費"",""公衆衛生費"",""母子保健費""],""department_display_name"":""世田谷保健所 健康推進課"",""amount_thousand_yen"":54542},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_05_01_06_01"",""major_program_name"":""母子保健指導事業費"",""budget_program_name"":""乳幼児歯科健康診査"",""detail_program_name"":""乳幼児歯科健康診査"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9902}],""same_budget_item_other_program_names"":[""アレルギー疾患相談"",""リプロダクティブ・ヘルス／ライツの周知啓発"",""育児不安・児童虐待防止対策"",""小児慢性特定疾病医療費給付"",""地域と連携した両親学級の充実"",""乳児期家庭（新生児）訪問事業"",""乳幼児健康診査"",""妊産婦及び乳幼児への栄養・食生活支援事業"",""妊産婦及び乳幼児健康診査"",""妊婦健康診査"",""保健福祉センター乳幼児健康診査"",""保健福祉センター乳幼児歯科健康診査"",""母子保健知識等の普及と啓発"",""未熟児等に対する医療費公費負担""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_17_03_3785200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""医療施設運営費等補助金"",""８０２０運動・口腔保健推進事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_93a8628e5dd7edeb020fece4d5aa9441bac352d61396d154e25932db053b8e68","未熟児等に対する医療費公費負担","一般会計","衛生費","公衆衛生費","母子保健費","世田谷保健所 健康推進課","47458","母子保健","supports","公式予算の会計・款・項・目と事業名から「母子保健」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""maternal-and-child-health-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_05"",""identity_fields"":{""display_program_name"":""未熟児等に対する医療費公費負担"",""hierarchy"":[""衛生費"",""公衆衛生費"",""母子保健費""],""department_display_name"":""世田谷保健所 健康推進課"",""amount_thousand_yen"":47458},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_05_01_11_01"",""major_program_name"":""母子保健指導事業費"",""budget_program_name"":""未熟児等に対する医療費公費負担"",""detail_program_name"":""未熟児等に対する医療費公費負担"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9905}],""same_budget_item_other_program_names"":[""アレルギー疾患相談"",""リプロダクティブ・ヘルス／ライツの周知啓発"",""育児不安・児童虐待防止対策"",""小児慢性特定疾病医療費給付"",""地域と連携した両親学級の充実"",""乳児期家庭（新生児）訪問事業"",""乳幼児健康診査"",""乳幼児歯科健康診査"",""妊産婦及び乳幼児への栄養・食生活支援事業"",""妊産婦及び乳幼児健康診査"",""妊婦健康診査"",""保健福祉センター乳幼児健康診査"",""保健福祉センター乳幼児歯科健康診査"",""母子保健知識等の普及と啓発""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_01_02_06_03_3785200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""衛生費負担金"",""母子衛生費"",""医療費公費負担""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_01_02_08_01_3785200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""衛生費負担金"",""育成医療費"",""育成医療""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_01_02_07_01_3785200000"",""revenue_hierarchy"":[""都支出金"",""都負担金"",""衛生費負担金"",""育成医療費"",""育成医療""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_01_02_09_01_3785200000"",""revenue_hierarchy"":[""都支出金"",""都負担金"",""衛生費負担金"",""母子衛生費"",""医療費公費負担""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_e8e191db019ff1826724cc4ac0bb5bede3f62c8a134267e6d476e6a1ab029013","乳児期家庭（新生児）訪問事業","一般会計","衛生費","公衆衛生費","母子保健費","世田谷保健所 健康推進課","44275","母子保健","supports","公式予算の会計・款・項・目と事業名から「母子保健」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""maternal-and-child-health-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_05"",""identity_fields"":{""display_program_name"":""乳児期家庭（新生児）訪問事業"",""hierarchy"":[""衛生費"",""公衆衛生費"",""母子保健費""],""department_display_name"":""世田谷保健所 健康推進課"",""amount_thousand_yen"":44275},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_05_01_13_01"",""major_program_name"":""母子保健指導事業費"",""budget_program_name"":""乳児期家庭（新生児）訪問事業"",""detail_program_name"":""乳児期家庭（新生児）訪問事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9907}],""same_budget_item_other_program_names"":[""アレルギー疾患相談"",""リプロダクティブ・ヘルス／ライツの周知啓発"",""育児不安・児童虐待防止対策"",""小児慢性特定疾病医療費給付"",""地域と連携した両親学級の充実"",""乳幼児健康診査"",""乳幼児歯科健康診査"",""妊産婦及び乳幼児への栄養・食生活支援事業"",""妊産婦及び乳幼児健康診査"",""妊婦健康診査"",""保健福祉センター乳幼児健康診査"",""保健福祉センター乳幼児歯科健康診査"",""母子保健知識等の普及と啓発"",""未熟児等に対する医療費公費負担""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_01_54_28_3785200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""民生費補助金"",""地域子ども・子育て支援事業"",""乳児家庭全戸訪問事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_92_28_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""地域子ども・子育て支援事業"",""乳児家庭全戸訪問事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_84a23e6925cb1aa7cb381459d03059ce063aef2577bc9ae9f50c4dfe65b2cf96","保健福祉センター乳幼児歯科健康診査","一般会計","衛生費","公衆衛生費","母子保健費","世田谷保健所 健康推進課","43121","母子保健","supports","公式予算の会計・款・項・目と事業名から「母子保健」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""maternal-and-child-health-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_05"",""identity_fields"":{""display_program_name"":""保健福祉センター乳幼児歯科健康診査"",""hierarchy"":[""衛生費"",""公衆衛生費"",""母子保健費""],""department_display_name"":""世田谷保健所 健康推進課"",""amount_thousand_yen"":43121},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_05_01_07_01"",""major_program_name"":""母子保健指導事業費"",""budget_program_name"":""保健福祉センター乳幼児歯科健康診査"",""detail_program_name"":""保健福祉センター乳幼児歯科健康診査"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9903}],""same_budget_item_other_program_names"":[""アレルギー疾患相談"",""リプロダクティブ・ヘルス／ライツの周知啓発"",""育児不安・児童虐待防止対策"",""小児慢性特定疾病医療費給付"",""地域と連携した両親学級の充実"",""乳児期家庭（新生児）訪問事業"",""乳幼児健康診査"",""乳幼児歯科健康診査"",""妊産婦及び乳幼児への栄養・食生活支援事業"",""妊産婦及び乳幼児健康診査"",""妊婦健康診査"",""保健福祉センター乳幼児健康診査"",""母子保健知識等の普及と啓発"",""未熟児等に対する医療費公費負担""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_312672c894774ea73e687eafab9b1256c141de92d4134fc9936eb0a94cedc4d1","育児不安・児童虐待防止対策","一般会計","衛生費","公衆衛生費","母子保健費","世田谷保健所 健康推進課","28791","母子保健","supports","公式予算の会計・款・項・目と事業名から「母子保健」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""maternal-and-child-health-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_05"",""identity_fields"":{""display_program_name"":""育児不安・児童虐待防止対策"",""hierarchy"":[""衛生費"",""公衆衛生費"",""母子保健費""],""department_display_name"":""世田谷保健所 健康推進課"",""amount_thousand_yen"":28791},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_05_01_15_01"",""major_program_name"":""母子保健指導事業費"",""budget_program_name"":""育児不安・児童虐待防止対策"",""detail_program_name"":""育児不安・児童虐待防止対策"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9908}],""same_budget_item_other_program_names"":[""アレルギー疾患相談"",""リプロダクティブ・ヘルス／ライツの周知啓発"",""小児慢性特定疾病医療費給付"",""地域と連携した両親学級の充実"",""乳児期家庭（新生児）訪問事業"",""乳幼児健康診査"",""乳幼児歯科健康診査"",""妊産婦及び乳幼児への栄養・食生活支援事業"",""妊産婦及び乳幼児健康診査"",""妊婦健康診査"",""保健福祉センター乳幼児健康診査"",""保健福祉センター乳幼児歯科健康診査"",""母子保健知識等の普及と啓発"",""未熟児等に対する医療費公費負担""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_68_50_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""子供家庭支援区市町村包括補助事業"",""乳幼児フォローグループ""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_7d02bd16b0727ffb9bad840a9e0524f0ae7059dc3017a672d8f333219473154c","地域と連携した両親学級の充実","一般会計","衛生費","公衆衛生費","母子保健費","世田谷保健所 健康推進課","27915","母子保健","supports","公式予算の会計・款・項・目と事業名から「母子保健」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""maternal-and-child-health-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_05"",""identity_fields"":{""display_program_name"":""地域と連携した両親学級の充実"",""hierarchy"":[""衛生費"",""公衆衛生費"",""母子保健費""],""department_display_name"":""世田谷保健所 健康推進課"",""amount_thousand_yen"":27915},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_05_01_18_01"",""major_program_name"":""母子保健指導事業費"",""budget_program_name"":""地域と連携した両親学級の充実"",""detail_program_name"":""地域と連携した両親学級の充実"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9910}],""same_budget_item_other_program_names"":[""アレルギー疾患相談"",""リプロダクティブ・ヘルス／ライツの周知啓発"",""育児不安・児童虐待防止対策"",""小児慢性特定疾病医療費給付"",""乳児期家庭（新生児）訪問事業"",""乳幼児健康診査"",""乳幼児歯科健康診査"",""妊産婦及び乳幼児への栄養・食生活支援事業"",""妊産婦及び乳幼児健康診査"",""妊婦健康診査"",""保健福祉センター乳幼児健康診査"",""保健福祉センター乳幼児歯科健康診査"",""母子保健知識等の普及と啓発"",""未熟児等に対する医療費公費負担""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_18_08_3785200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""母子保健衛生費"",""母子保健対策強化事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
