"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_6defa968f245a1daf2d467f021bd8c3d52d87579f5b7d449db5be58808ca5162","土木関係事務従事職員の人件費","一般会計","職員費","職員費","土木職員費","総務部 人事課","5589927","都市基盤管理","maintains","公式予算の会計・款・項・目と事業名から「都市基盤管理」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-urban-infrastructure-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_07"",""identity_fields"":{""display_program_name"":""土木関係事務従事職員の人件費"",""hierarchy"":[""職員費"",""職員費"",""土木職員費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":5589927},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_07_01_01_01"",""major_program_name"":""土木関係事務従事職員の人件費"",""budget_program_name"":""土木関係事務従事職員の人件費"",""detail_program_name"":""土木関係事務従事職員の人件費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9306}],""same_budget_item_other_program_names"":[""会計年度任用職員の人件費（都市整備政策部）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_05_01_25_3895300000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""土木使用料"",""道路占用"",""電力関係""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_01_05_01_26_3895300000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""土木使用料"",""道路占用"",""ガス関係""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_01_05_01_28_3895300000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""土木使用料"",""道路占用"",""電気通信関係""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_05_01_30_3815250000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""土木手数料"",""屋外広告物許可"",""広告物許可申請手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_05_02_24_3895140000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""土木手数料"",""自動車臨時運行許可"",""臨時運行許可申請手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_05_05_01_3815250000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""土木手数料"",""長期優良住宅認定"",""長期優良住宅認定手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_05_10_38_3815250000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""土木手数料"",""諸証明"",""住宅用家屋証明手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_05_10_39_3815250000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""土木手数料"",""諸証明"",""建築諸証明手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_05_11_20_3825100000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""土木手数料"",""開発許可"",""開発行為許可申請手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_05_17_06_3815250000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""土木手数料"",""建築確認・検査"",""建築確認・検査申請手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_03_01_13_12_3815100000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""総務費委託金"",""事務処理特例交付金"",""事務処理特例交付金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_03_04_03_02_3895400000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""土木費委託金"",""水門管理費"",""水門管理""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_01_28_3205500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金"",""再任用職員社会保険料（土木）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 一般管理・人件費・基金等よりもtopicとの直接性を優先して非公開"
"bpi_da1c943574838b73d79f81cc13edfc475e6c55f883f18800edd51bf117009026","地籍調査事業","一般会計","土木費","道路橋梁費","道路橋梁総務費","道路・交通計画部 道路管理課","121706","都市基盤管理","maintains","公式予算の会計・款・項・目と事業名から「都市基盤管理」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-urban-infrastructure-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_01"",""identity_fields"":{""display_program_name"":""地籍調査事業"",""hierarchy"":[""土木費"",""道路橋梁費"",""道路橋梁総務費""],""department_display_name"":""道路・交通計画部 道路管理課"",""amount_thousand_yen"":121706},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_01_01_08_01"",""major_program_name"":""道路橋梁管理事業費"",""budget_program_name"":""地籍調査事業"",""detail_program_name"":""地籍調査事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9996}],""same_budget_item_other_program_names"":[""へい死犬猫等処理"",""公共物管理・道路認定"",""豪雨対策・下水道整備事務"",""事業計画各種調査・研究等"",""土地境界確定"",""道路・交通計画部庶務事務"",""道路維持管理（玉川・砧）"",""道路維持管理（世田谷・北沢・烏山）"",""道路台帳等整備"",""道路等占用・掘削復旧許可""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_01_03_01_01_3865100000"",""revenue_hierarchy"":[""都支出金"",""都負担金"",""土木費負担金"",""国土調査事業費"",""地籍調査""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_e516bb8c7d694ed55ed3ed8fdbefab4892edffe784bf7fbbc0418fa83cf8a285","土地境界確定","一般会計","土木費","道路橋梁費","道路橋梁総務費","道路・交通計画部 道路管理課","76893","都市基盤管理","maintains","公式予算の会計・款・項・目と事業名から「都市基盤管理」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-urban-infrastructure-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_01"",""identity_fields"":{""display_program_name"":""土地境界確定"",""hierarchy"":[""土木費"",""道路橋梁費"",""道路橋梁総務費""],""department_display_name"":""道路・交通計画部 道路管理課"",""amount_thousand_yen"":76893},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_01_01_17_01"",""major_program_name"":""道路橋梁管理事業費"",""budget_program_name"":""土地境界確定"",""detail_program_name"":""土地境界確定"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9997}],""same_budget_item_other_program_names"":[""へい死犬猫等処理"",""公共物管理・道路認定"",""豪雨対策・下水道整備事務"",""事業計画各種調査・研究等"",""地籍調査事業"",""道路・交通計画部庶務事務"",""道路維持管理（玉川・砧）"",""道路維持管理（世田谷・北沢・烏山）"",""道路台帳等整備"",""道路等占用・掘削復旧許可""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_a25582653872cc95cd49e2905f0a11e491609e3ddb03a4fc10361af27c4889db","道路台帳等整備","一般会計","土木費","道路橋梁費","道路橋梁総務費","道路・交通計画部 道路管理課","64286","都市基盤管理","maintains","公式予算の会計・款・項・目と事業名から「都市基盤管理」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-urban-infrastructure-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_01"",""identity_fields"":{""display_program_name"":""道路台帳等整備"",""hierarchy"":[""土木費"",""道路橋梁費"",""道路橋梁総務費""],""department_display_name"":""道路・交通計画部 道路管理課"",""amount_thousand_yen"":64286},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_01_01_01_01"",""major_program_name"":""道路橋梁管理事業費"",""budget_program_name"":""道路台帳等整備"",""detail_program_name"":""道路台帳等整備"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9995}],""same_budget_item_other_program_names"":[""へい死犬猫等処理"",""公共物管理・道路認定"",""豪雨対策・下水道整備事務"",""事業計画各種調査・研究等"",""地籍調査事業"",""土地境界確定"",""道路・交通計画部庶務事務"",""道路維持管理（玉川・砧）"",""道路維持管理（世田谷・北沢・烏山）"",""道路等占用・掘削復旧許可""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_83_23_3865100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""雑入（３）"",""測量標復旧""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_909446b89e9922144e46aeccef10cf75163cffdcf3283dcb8bc1b78587756caa","不法占用対策","一般会計","土木費","土木管理費","土木総務費","土木部 土木計画調整課","32678","都市基盤管理","maintains","公式予算の会計・款・項・目と事業名から「都市基盤管理」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-urban-infrastructure-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_07_01_01"",""identity_fields"":{""display_program_name"":""不法占用対策"",""hierarchy"":[""土木費"",""土木管理費"",""土木総務費""],""department_display_name"":""土木部 土木計画調整課"",""amount_thousand_yen"":32678},""member_programs"":[{""program_id"":""2026_general_expenditure_07_01_01_01_34_01"",""major_program_name"":""土木管理事業費"",""budget_program_name"":""不法占用対策"",""detail_program_name"":""不法占用対策"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10014}],""same_budget_item_other_program_names"":[""違反広告物除却協力員制度"",""自動車臨時運行許可"",""土木技術指導"",""土木施設維持管理（玉川・砧）"",""土木施設維持管理（世田谷・北沢・烏山）"",""土木施設改修（玉川・砧）"",""土木施設改修（世田谷・北沢・烏山）"",""土木事務（玉川・砧）"",""土木事務（世田谷・北沢・烏山）"",""土木部庶務事務""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_02_05_10_57_3895140000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""土木手数料"",""諸証明"",""土木諸証明手数料""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_6cc1bef56a8349776ed6539fbfbc9e297e8efe0b13791d3ea11423c46256c8e6","土木施設維持管理（世田谷・北沢・烏山）","一般会計","土木費","土木管理費","土木総務費","土木部 工事第一課","30770","都市基盤管理","maintains","公式予算の会計・款・項・目と事業名から「都市基盤管理」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-urban-infrastructure-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_07_01_01"",""identity_fields"":{""display_program_name"":""土木施設維持管理（世田谷・北沢・烏山）"",""hierarchy"":[""土木費"",""土木管理費"",""土木総務費""],""department_display_name"":""土木部 工事第一課"",""amount_thousand_yen"":30770},""member_programs"":[{""program_id"":""2026_general_expenditure_07_01_01_01_42_01"",""major_program_name"":""土木管理事業費"",""budget_program_name"":""土木施設維持管理（世田谷・北沢・烏山）"",""detail_program_name"":""土木施設維持管理（世田谷・北沢・烏山）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10028}],""same_budget_item_other_program_names"":[""違反広告物除却協力員制度"",""自動車臨時運行許可"",""土木技術指導"",""土木施設維持管理（玉川・砧）"",""土木施設改修（玉川・砧）"",""土木施設改修（世田谷・北沢・烏山）"",""土木事務（玉川・砧）"",""土木事務（世田谷・北沢・烏山）"",""土木部庶務事務"",""不法占用対策""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_05_03_10_3895300000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""土木使用料"",""土木施設"",""土木管理事務所（世田谷・北沢・烏山）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_65_3895300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""三軒茶屋パティオ""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_d8303672ab56e7b444426ddb874cb81dbb519359deb1d7ef41a5c9075f0bb6a8","へい死犬猫等処理","一般会計","土木費","道路橋梁費","道路橋梁総務費","土木部 工事第一課","28347","都市基盤管理","maintains","公式予算の会計・款・項・目と事業名から「都市基盤管理」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-urban-infrastructure-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_01"",""identity_fields"":{""display_program_name"":""へい死犬猫等処理"",""hierarchy"":[""土木費"",""道路橋梁費"",""道路橋梁総務費""],""department_display_name"":""土木部 工事第一課"",""amount_thousand_yen"":28347},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_01_01_15_01"",""major_program_name"":""道路橋梁管理事業費"",""budget_program_name"":""へい死犬猫等処理"",""detail_program_name"":""へい死犬猫等処理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10031}],""same_budget_item_other_program_names"":[""公共物管理・道路認定"",""豪雨対策・下水道整備事務"",""事業計画各種調査・研究等"",""地籍調査事業"",""土地境界確定"",""道路・交通計画部庶務事務"",""道路維持管理（玉川・砧）"",""道路維持管理（世田谷・北沢・烏山）"",""道路台帳等整備"",""道路等占用・掘削復旧許可""],""related_revenues"":[]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_c6e8d513e461507e651d3f7634468c9bad84a0363fc66a1f1bedb22aa1248043","土木施設維持管理（玉川・砧）","一般会計","土木費","土木管理費","土木総務費","土木部 工事第二課","20454","都市基盤管理","maintains","公式予算の会計・款・項・目と事業名から「都市基盤管理」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-urban-infrastructure-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_07_01_01"",""identity_fields"":{""display_program_name"":""土木施設維持管理（玉川・砧）"",""hierarchy"":[""土木費"",""土木管理費"",""土木総務費""],""department_display_name"":""土木部 工事第二課"",""amount_thousand_yen"":20454},""member_programs"":[{""program_id"":""2026_general_expenditure_07_01_01_01_43_01"",""major_program_name"":""土木管理事業費"",""budget_program_name"":""土木施設維持管理（玉川・砧）"",""detail_program_name"":""土木施設維持管理（玉川・砧）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10050}],""same_budget_item_other_program_names"":[""違反広告物除却協力員制度"",""自動車臨時運行許可"",""土木技術指導"",""土木施設維持管理（世田谷・北沢・烏山）"",""土木施設改修（玉川・砧）"",""土木施設改修（世田谷・北沢・烏山）"",""土木事務（玉川・砧）"",""土木事務（世田谷・北沢・烏山）"",""土木部庶務事務"",""不法占用対策""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_07e483ac628d477387910555dc2e2c53e435f236be4d1c287a2d524c589c93ae","公共物管理・道路認定","一般会計","土木費","道路橋梁費","道路橋梁総務費","道路・交通計画部 道路管理課","18933","都市基盤管理","maintains","公式予算の会計・款・項・目と事業名から「都市基盤管理」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-urban-infrastructure-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_07_02_01"",""identity_fields"":{""display_program_name"":""公共物管理・道路認定"",""hierarchy"":[""土木費"",""道路橋梁費"",""道路橋梁総務費""],""department_display_name"":""道路・交通計画部 道路管理課"",""amount_thousand_yen"":18933},""member_programs"":[{""program_id"":""2026_general_expenditure_07_02_01_01_19_01"",""major_program_name"":""道路橋梁管理事業費"",""budget_program_name"":""公共物管理・道路認定"",""detail_program_name"":""公共物管理・道路認定"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9998}],""same_budget_item_other_program_names"":[""へい死犬猫等処理"",""豪雨対策・下水道整備事務"",""事業計画各種調査・研究等"",""地籍調査事業"",""土地境界確定"",""道路・交通計画部庶務事務"",""道路維持管理（玉川・砧）"",""道路維持管理（世田谷・北沢・烏山）"",""道路台帳等整備"",""道路等占用・掘削復旧許可""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_02_05_10_54_3865100000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""土木手数料"",""諸証明"",""認定境界証明手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_50_01_3865100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""雑入"",""街づくり情報""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_8bf9d9d149b5146a004e507f7a87cdf41bb84147f83fe32c16962a72e069823b","土木事務（世田谷・北沢・烏山）","一般会計","土木費","土木管理費","土木総務費","土木部 工事第一課","16878","都市基盤管理","maintains","公式予算の会計・款・項・目と事業名から「都市基盤管理」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-urban-infrastructure-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_07_01_01"",""identity_fields"":{""display_program_name"":""土木事務（世田谷・北沢・烏山）"",""hierarchy"":[""土木費"",""土木管理費"",""土木総務費""],""department_display_name"":""土木部 工事第一課"",""amount_thousand_yen"":16878},""member_programs"":[{""program_id"":""2026_general_expenditure_07_01_01_01_44_01"",""major_program_name"":""土木管理事業費"",""budget_program_name"":""土木事務（世田谷・北沢・烏山）"",""detail_program_name"":""土木事務（世田谷・北沢・烏山）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10029}],""same_budget_item_other_program_names"":[""違反広告物除却協力員制度"",""自動車臨時運行許可"",""土木技術指導"",""土木施設維持管理（玉川・砧）"",""土木施設維持管理（世田谷・北沢・烏山）"",""土木施設改修（玉川・砧）"",""土木施設改修（世田谷・北沢・烏山）"",""土木事務（玉川・砧）"",""土木部庶務事務"",""不法占用対策""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
