"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_4390775efdc0d0eb85b048d295e20deff88dec6632f44967556b0afd933f7bc3","高齢者おむつ支給","一般会計","民生費","社会福祉費","高齢者福祉費","高齢福祉部 高齢福祉課","193309","高齢者の生活支援","supports","公式予算の会計・款・項・目と事業名から「高齢者の生活支援」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""older-adult-daily-life-and-care-official-structure"",""budget_item_key"":""2026_general_expenditure_03_01_02"",""identity_fields"":{""display_program_name"":""高齢者おむつ支給"",""hierarchy"":[""民生費"",""社会福祉費"",""高齢者福祉費""],""department_display_name"":""高齢福祉部 高齢福祉課"",""amount_thousand_yen"":193309},""member_programs"":[{""program_id"":""2026_general_expenditure_03_01_02_04_08_01"",""major_program_name"":""高齢者生活支援事業費"",""budget_program_name"":""高齢者おむつ支給"",""detail_program_name"":""高齢者おむつ支給"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9633}],""same_budget_item_other_program_names"":[""あんしん見守り事業"",""シニアボランティアポイント事業"",""ひとりぐらし高齢者の安全確保"",""ひとりぐらし高齢者見守り機器補助事業"",""ひとりぐらし高齢者等状況把握"",""一時生活援助施設運営"",""一般介護予防事業"",""介護予防施策推進事業"",""慶祝事業"",""高齢者コミュニケーションサービス"",""高齢者スマートフォン購入費助成"",""高齢者はり・灸・マッサージサービス"",""高齢者会食サービス"",""高齢者在宅サービスセンター維持管理"",""高齢者住宅改修助成"",""高齢者寝具乾燥・訪問理美容サービス"",""高齢者補聴器購入費助成"",""支えあいミニデイ支援の推進"",""生活支援体制整備事業"",""生計困難者負担軽減事業"",""地域包括支援センター運営委託"",""地域包括支援センター事務委託"",""地域包括支援センター障害者・子育て家庭等相談事業"",""地域包括支援センター認知症社会参加推進事業"",""認知症在宅生活サポートセンター認知症社会参加推進事業"",""認知症施策運営事業"",""福祉緊急対応"",""民生委員ふれあい訪問"",""養護老人ホーム入所措置""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_5ef1a8da6724c02dc4d6870b123f5f3a4d61e3411cf8ab60ee241dbcad0516c2","養護老人ホーム入所措置","一般会計","民生費","社会福祉費","高齢者福祉費","高齢福祉部 高齢福祉課","192756","高齢者の生活支援","supports","公式予算の会計・款・項・目と事業名から「高齢者の生活支援」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""older-adult-daily-life-and-care-official-structure"",""budget_item_key"":""2026_general_expenditure_03_01_02"",""identity_fields"":{""display_program_name"":""養護老人ホーム入所措置"",""hierarchy"":[""民生費"",""社会福祉費"",""高齢者福祉費""],""department_display_name"":""高齢福祉部 高齢福祉課"",""amount_thousand_yen"":192756},""member_programs"":[{""program_id"":""2026_general_expenditure_03_01_02_01_01_01"",""major_program_name"":""老人福祉法に基づく養護老人ホーム措置費"",""budget_program_name"":""養護老人ホーム入所措置"",""detail_program_name"":""養護老人ホーム入所措置"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9625}],""same_budget_item_other_program_names"":[""あんしん見守り事業"",""シニアボランティアポイント事業"",""ひとりぐらし高齢者の安全確保"",""ひとりぐらし高齢者見守り機器補助事業"",""ひとりぐらし高齢者等状況把握"",""一時生活援助施設運営"",""一般介護予防事業"",""介護予防施策推進事業"",""慶祝事業"",""高齢者おむつ支給"",""高齢者コミュニケーションサービス"",""高齢者スマートフォン購入費助成"",""高齢者はり・灸・マッサージサービス"",""高齢者会食サービス"",""高齢者在宅サービスセンター維持管理"",""高齢者住宅改修助成"",""高齢者寝具乾燥・訪問理美容サービス"",""高齢者補聴器購入費助成"",""支えあいミニデイ支援の推進"",""生活支援体制整備事業"",""生計困難者負担軽減事業"",""地域包括支援センター運営委託"",""地域包括支援センター事務委託"",""地域包括支援センター障害者・子育て家庭等相談事業"",""地域包括支援センター認知症社会参加推進事業"",""認知症在宅生活サポートセンター認知症社会参加推進事業"",""認知症施策運営事業"",""福祉緊急対応"",""民生委員ふれあい訪問""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_11_01_01_01_01_3645100000"",""revenue_hierarchy"":[""分担金及負担金"",""負担金"",""民生費負担金"",""老人福祉施設費"",""養護老人ホーム入所者負担金""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_3185b834105801ef1e808729a34c7f7a3a358ab284d54e82a3514c1cc3339206","高齢者在宅サービスセンター維持管理","一般会計","民生費","社会福祉費","高齢者福祉費","高齢福祉部 高齢福祉課","170978","高齢者の生活支援","supports","公式予算の会計・款・項・目と事業名から「高齢者の生活支援」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""older-adult-daily-life-and-care-official-structure"",""budget_item_key"":""2026_general_expenditure_03_01_02"",""identity_fields"":{""display_program_name"":""高齢者在宅サービスセンター維持管理"",""hierarchy"":[""民生費"",""社会福祉費"",""高齢者福祉費""],""department_display_name"":""高齢福祉部 高齢福祉課"",""amount_thousand_yen"":170978},""member_programs"":[{""program_id"":""2026_general_expenditure_03_01_02_05_03_01"",""major_program_name"":""その他の高齢者福祉事業費"",""budget_program_name"":""高齢者在宅サービスセンター維持管理"",""detail_program_name"":""高齢者在宅サービスセンター維持管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9638}],""same_budget_item_other_program_names"":[""あんしん見守り事業"",""シニアボランティアポイント事業"",""ひとりぐらし高齢者の安全確保"",""ひとりぐらし高齢者見守り機器補助事業"",""ひとりぐらし高齢者等状況把握"",""一時生活援助施設運営"",""一般介護予防事業"",""介護予防施策推進事業"",""慶祝事業"",""高齢者おむつ支給"",""高齢者コミュニケーションサービス"",""高齢者スマートフォン購入費助成"",""高齢者はり・灸・マッサージサービス"",""高齢者会食サービス"",""高齢者住宅改修助成"",""高齢者寝具乾燥・訪問理美容サービス"",""高齢者補聴器購入費助成"",""支えあいミニデイ支援の推進"",""生活支援体制整備事業"",""生計困難者負担軽減事業"",""地域包括支援センター運営委託"",""地域包括支援センター事務委託"",""地域包括支援センター障害者・子育て家庭等相談事業"",""地域包括支援センター認知症社会参加推進事業"",""認知症在宅生活サポートセンター認知症社会参加推進事業"",""認知症施策運営事業"",""福祉緊急対応"",""民生委員ふれあい訪問"",""養護老人ホーム入所措置""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_02_02_29_3645100000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""民生使用料"",""民生施設"",""高齢者在宅サービスセンター（開放分）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_01_02_02_31_3645100000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""民生使用料"",""民生施設"",""梅丘高齢者在宅サービスセンター""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_71_3645100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""法人負担分（高齢者在宅サービスセンター）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_51_91_3645100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""雑入（２）"",""デイ・ホーム太子堂（居宅支援事業使用料）""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_e2e29f5a7ccfac3e60670d1719f5e4dde101f6a73895e01c47cd08c78b209e3e","高齢者コミュニケーションサービス","一般会計","民生費","社会福祉費","高齢者福祉費","高齢福祉部 高齢福祉課","150826","高齢者の生活支援","supports","公式予算の会計・款・項・目と事業名から「高齢者の生活支援」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""older-adult-daily-life-and-care-official-structure"",""budget_item_key"":""2026_general_expenditure_03_01_02"",""identity_fields"":{""display_program_name"":""高齢者コミュニケーションサービス"",""hierarchy"":[""民生費"",""社会福祉費"",""高齢者福祉費""],""department_display_name"":""高齢福祉部 高齢福祉課"",""amount_thousand_yen"":150826},""member_programs"":[{""program_id"":""2026_general_expenditure_03_01_02_03_01_01"",""major_program_name"":""交流・社会参加促進のための事業費"",""budget_program_name"":""高齢者コミュニケーションサービス"",""detail_program_name"":""高齢者コミュニケーションサービス"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9626}],""same_budget_item_other_program_names"":[""あんしん見守り事業"",""シニアボランティアポイント事業"",""ひとりぐらし高齢者の安全確保"",""ひとりぐらし高齢者見守り機器補助事業"",""ひとりぐらし高齢者等状況把握"",""一時生活援助施設運営"",""一般介護予防事業"",""介護予防施策推進事業"",""慶祝事業"",""高齢者おむつ支給"",""高齢者スマートフォン購入費助成"",""高齢者はり・灸・マッサージサービス"",""高齢者会食サービス"",""高齢者在宅サービスセンター維持管理"",""高齢者住宅改修助成"",""高齢者寝具乾燥・訪問理美容サービス"",""高齢者補聴器購入費助成"",""支えあいミニデイ支援の推進"",""生活支援体制整備事業"",""生計困難者負担軽減事業"",""地域包括支援センター運営委託"",""地域包括支援センター事務委託"",""地域包括支援センター障害者・子育て家庭等相談事業"",""地域包括支援センター認知症社会参加推進事業"",""認知症在宅生活サポートセンター認知症社会参加推進事業"",""認知症施策運営事業"",""福祉緊急対応"",""民生委員ふれあい訪問"",""養護老人ホーム入所措置""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_233e8dfc6624f18fd57f88bbb5753e40aeaddeadc05a3fe42abbb54c91d131f9","あんしん見守り事業","一般会計","民生費","社会福祉費","高齢者福祉費","高齢福祉部 介護予防・支援課","134104","高齢者の生活支援","supports","公式予算の会計・款・項・目と事業名から「高齢者の生活支援」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""older-adult-daily-life-and-care-official-structure"",""budget_item_key"":""2026_general_expenditure_03_01_02"",""identity_fields"":{""display_program_name"":""あんしん見守り事業"",""hierarchy"":[""民生費"",""社会福祉費"",""高齢者福祉費""],""department_display_name"":""高齢福祉部 介護予防・支援課"",""amount_thousand_yen"":134104},""member_programs"":[{""program_id"":""2026_general_expenditure_03_01_02_08_02_01"",""major_program_name"":""重層的支援体制整備事業費"",""budget_program_name"":""あんしん見守り事業"",""detail_program_name"":""あんしん見守り事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9692}],""same_budget_item_other_program_names"":[""シニアボランティアポイント事業"",""ひとりぐらし高齢者の安全確保"",""ひとりぐらし高齢者見守り機器補助事業"",""ひとりぐらし高齢者等状況把握"",""一時生活援助施設運営"",""一般介護予防事業"",""介護予防施策推進事業"",""慶祝事業"",""高齢者おむつ支給"",""高齢者コミュニケーションサービス"",""高齢者スマートフォン購入費助成"",""高齢者はり・灸・マッサージサービス"",""高齢者会食サービス"",""高齢者在宅サービスセンター維持管理"",""高齢者住宅改修助成"",""高齢者寝具乾燥・訪問理美容サービス"",""高齢者補聴器購入費助成"",""支えあいミニデイ支援の推進"",""生活支援体制整備事業"",""生計困難者負担軽減事業"",""地域包括支援センター運営委託"",""地域包括支援センター事務委託"",""地域包括支援センター障害者・子育て家庭等相談事業"",""地域包括支援センター認知症社会参加推進事業"",""認知症在宅生活サポートセンター認知症社会参加推進事業"",""認知症施策運営事業"",""福祉緊急対応"",""民生委員ふれあい訪問"",""養護老人ホーム入所措置""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_01_78_17_3645300000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""民生費補助金"",""重層的支援体制整備事業"",""あんしん見守り事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_08_16_13_3645300000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金（２）"",""重層的支援体制整備事業"",""あんしん見守り事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_02_03_01_02_3645300000"",""revenue_hierarchy"":[""繰入金"",""特別会計繰入金"",""介護保険事業会計繰入金"",""重層的支援体制整備事業繰入金"",""あんしん見守り事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_375877c7760684d65098bc7027452cbbf0d8fa2b814f2d40436828b3b939189c","高齢者福祉施設改修工事","一般会計","民生費","社会福祉費","高齢者施設費","高齢福祉部 高齢福祉課","111921","高齢者の生活支援","supports","公式予算の会計・款・項・目と事業名から「高齢者の生活支援」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""older-adult-daily-life-and-care-official-structure"",""budget_item_key"":""2026_general_expenditure_03_01_17"",""identity_fields"":{""display_program_name"":""高齢者福祉施設改修工事"",""hierarchy"":[""民生費"",""社会福祉費"",""高齢者施設費""],""department_display_name"":""高齢福祉部 高齢福祉課"",""amount_thousand_yen"":111921},""member_programs"":[{""program_id"":""2026_general_expenditure_03_01_17_02_01_01"",""major_program_name"":""高齢者施設改修費"",""budget_program_name"":""高齢者福祉施設改修工事"",""detail_program_name"":""高齢者福祉施設改修工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9643}],""same_budget_item_other_program_names"":[],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_301ca3e3126dd2c48111fd523a67221c5fc573ecf138f82e64a52bf11f4b3d0b","高齢者寝具乾燥・訪問理美容サービス","一般会計","民生費","社会福祉費","高齢者福祉費","高齢福祉部 高齢福祉課","50009","高齢者の生活支援","supports","公式予算の会計・款・項・目と事業名から「高齢者の生活支援」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""older-adult-daily-life-and-care-official-structure"",""budget_item_key"":""2026_general_expenditure_03_01_02"",""identity_fields"":{""display_program_name"":""高齢者寝具乾燥・訪問理美容サービス"",""hierarchy"":[""民生費"",""社会福祉費"",""高齢者福祉費""],""department_display_name"":""高齢福祉部 高齢福祉課"",""amount_thousand_yen"":50009},""member_programs"":[{""program_id"":""2026_general_expenditure_03_01_02_04_10_01"",""major_program_name"":""高齢者生活支援事業費"",""budget_program_name"":""高齢者寝具乾燥・訪問理美容サービス"",""detail_program_name"":""高齢者寝具乾燥・訪問理美容サービス"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9634}],""same_budget_item_other_program_names"":[""あんしん見守り事業"",""シニアボランティアポイント事業"",""ひとりぐらし高齢者の安全確保"",""ひとりぐらし高齢者見守り機器補助事業"",""ひとりぐらし高齢者等状況把握"",""一時生活援助施設運営"",""一般介護予防事業"",""介護予防施策推進事業"",""慶祝事業"",""高齢者おむつ支給"",""高齢者コミュニケーションサービス"",""高齢者スマートフォン購入費助成"",""高齢者はり・灸・マッサージサービス"",""高齢者会食サービス"",""高齢者在宅サービスセンター維持管理"",""高齢者住宅改修助成"",""高齢者補聴器購入費助成"",""支えあいミニデイ支援の推進"",""生活支援体制整備事業"",""生計困難者負担軽減事業"",""地域包括支援センター運営委託"",""地域包括支援センター事務委託"",""地域包括支援センター障害者・子育て家庭等相談事業"",""地域包括支援センター認知症社会参加推進事業"",""認知症在宅生活サポートセンター認知症社会参加推進事業"",""認知症施策運営事業"",""福祉緊急対応"",""民生委員ふれあい訪問"",""養護老人ホーム入所措置""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_22044e201e2a5f494b877bf06ef1e6f2b3b9d52ee1690b084f9644fdaf5cc01c","慶祝事業","一般会計","民生費","社会福祉費","高齢者福祉費","高齢福祉部 高齢福祉課","46389","高齢者の生活支援","supports","公式予算の会計・款・項・目と事業名から「高齢者の生活支援」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""older-adult-daily-life-and-care-official-structure"",""budget_item_key"":""2026_general_expenditure_03_01_02"",""identity_fields"":{""display_program_name"":""慶祝事業"",""hierarchy"":[""民生費"",""社会福祉費"",""高齢者福祉費""],""department_display_name"":""高齢福祉部 高齢福祉課"",""amount_thousand_yen"":46389},""member_programs"":[{""program_id"":""2026_general_expenditure_03_01_02_05_10_01"",""major_program_name"":""その他の高齢者福祉事業費"",""budget_program_name"":""慶祝事業"",""detail_program_name"":""慶祝事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9639}],""same_budget_item_other_program_names"":[""あんしん見守り事業"",""シニアボランティアポイント事業"",""ひとりぐらし高齢者の安全確保"",""ひとりぐらし高齢者見守り機器補助事業"",""ひとりぐらし高齢者等状況把握"",""一時生活援助施設運営"",""一般介護予防事業"",""介護予防施策推進事業"",""高齢者おむつ支給"",""高齢者コミュニケーションサービス"",""高齢者スマートフォン購入費助成"",""高齢者はり・灸・マッサージサービス"",""高齢者会食サービス"",""高齢者在宅サービスセンター維持管理"",""高齢者住宅改修助成"",""高齢者寝具乾燥・訪問理美容サービス"",""高齢者補聴器購入費助成"",""支えあいミニデイ支援の推進"",""生活支援体制整備事業"",""生計困難者負担軽減事業"",""地域包括支援センター運営委託"",""地域包括支援センター事務委託"",""地域包括支援センター障害者・子育て家庭等相談事業"",""地域包括支援センター認知症社会参加推進事業"",""認知症在宅生活サポートセンター認知症社会参加推進事業"",""認知症施策運営事業"",""福祉緊急対応"",""民生委員ふれあい訪問"",""養護老人ホーム入所措置""],""related_revenues"":[]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_234f820a3434b1f4f2aaa08533f1a35cba5c4a72c07ca2ff7f2aefb5855c2963","生計困難者負担軽減事業","一般会計","民生費","社会福祉費","高齢者福祉費","高齢福祉部 介護保険課","45125","高齢者の生活支援","supports","公式予算の会計・款・項・目と事業名から「高齢者の生活支援」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""older-adult-daily-life-and-care-official-structure"",""budget_item_key"":""2026_general_expenditure_03_01_02"",""identity_fields"":{""display_program_name"":""生計困難者負担軽減事業"",""hierarchy"":[""民生費"",""社会福祉費"",""高齢者福祉費""],""department_display_name"":""高齢福祉部 介護保険課"",""amount_thousand_yen"":45125},""member_programs"":[{""program_id"":""2026_general_expenditure_03_01_02_07_01_01"",""major_program_name"":""生計困難者利用者負担軽減事業"",""budget_program_name"":""生計困難者負担軽減事業"",""detail_program_name"":""生計困難者負担軽減事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9650}],""same_budget_item_other_program_names"":[""あんしん見守り事業"",""シニアボランティアポイント事業"",""ひとりぐらし高齢者の安全確保"",""ひとりぐらし高齢者見守り機器補助事業"",""ひとりぐらし高齢者等状況把握"",""一時生活援助施設運営"",""一般介護予防事業"",""介護予防施策推進事業"",""慶祝事業"",""高齢者おむつ支給"",""高齢者コミュニケーションサービス"",""高齢者スマートフォン購入費助成"",""高齢者はり・灸・マッサージサービス"",""高齢者会食サービス"",""高齢者在宅サービスセンター維持管理"",""高齢者住宅改修助成"",""高齢者寝具乾燥・訪問理美容サービス"",""高齢者補聴器購入費助成"",""支えあいミニデイ支援の推進"",""生活支援体制整備事業"",""地域包括支援センター運営委託"",""地域包括支援センター事務委託"",""地域包括支援センター障害者・子育て家庭等相談事業"",""地域包括支援センター認知症社会参加推進事業"",""認知症在宅生活サポートセンター認知症社会参加推進事業"",""認知症施策運営事業"",""福祉緊急対応"",""民生委員ふれあい訪問"",""養護老人ホーム入所措置""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_01_89_3645200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""老人福祉諸費"",""介護保険利用者負担軽減補助""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_4ff711d08b714e4254a287a54ef3c1a135f8ef897ab3bfa94f5545b068c987b5","高齢者補聴器購入費助成","一般会計","民生費","社会福祉費","高齢者福祉費","高齢福祉部 高齢福祉課","44956","高齢者の生活支援","supports","公式予算の会計・款・項・目と事業名から「高齢者の生活支援」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""older-adult-daily-life-and-care-official-structure"",""budget_item_key"":""2026_general_expenditure_03_01_02"",""identity_fields"":{""display_program_name"":""高齢者補聴器購入費助成"",""hierarchy"":[""民生費"",""社会福祉費"",""高齢者福祉費""],""department_display_name"":""高齢福祉部 高齢福祉課"",""amount_thousand_yen"":44956},""member_programs"":[{""program_id"":""2026_general_expenditure_03_01_02_03_12_01"",""major_program_name"":""交流・社会参加促進のための事業費"",""budget_program_name"":""高齢者補聴器購入費助成"",""detail_program_name"":""高齢者補聴器購入費助成"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9629}],""same_budget_item_other_program_names"":[""あんしん見守り事業"",""シニアボランティアポイント事業"",""ひとりぐらし高齢者の安全確保"",""ひとりぐらし高齢者見守り機器補助事業"",""ひとりぐらし高齢者等状況把握"",""一時生活援助施設運営"",""一般介護予防事業"",""介護予防施策推進事業"",""慶祝事業"",""高齢者おむつ支給"",""高齢者コミュニケーションサービス"",""高齢者スマートフォン購入費助成"",""高齢者はり・灸・マッサージサービス"",""高齢者会食サービス"",""高齢者在宅サービスセンター維持管理"",""高齢者住宅改修助成"",""高齢者寝具乾燥・訪問理美容サービス"",""支えあいミニデイ支援の推進"",""生活支援体制整備事業"",""生計困難者負担軽減事業"",""地域包括支援センター運営委託"",""地域包括支援センター事務委託"",""地域包括支援センター障害者・子育て家庭等相談事業"",""地域包括支援センター認知症社会参加推進事業"",""認知症在宅生活サポートセンター認知症社会参加推進事業"",""認知症施策運営事業"",""福祉緊急対応"",""民生委員ふれあい訪問"",""養護老人ホーム入所措置""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_08_60_01_3645100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金（２）"",""高齢者聞こえのコミュニケーション支援事業"",""高齢者補聴器購入費助成""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
