"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_efc43032e1e032f71b5ebc7919d9433eea691dda381ef7a04424308a28261295","民家園維持運営","一般会計","教育費","社会教育費","文化財費","教育委員会事務局 生涯学習課","103003","文化財・地域史","maintains","公式予算の会計・款・項・目と事業名から「文化財・地域史」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""cultural-heritage-and-local-history-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_03"",""identity_fields"":{""display_program_name"":""民家園維持運営"",""hierarchy"":[""教育費"",""社会教育費"",""文化財費""],""department_display_name"":""教育委員会事務局 生涯学習課"",""amount_thousand_yen"":103003},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_03_01_05_01"",""major_program_name"":""文化財保護事業費"",""budget_program_name"":""民家園維持運営"",""detail_program_name"":""民家園維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10150}],""same_budget_item_other_program_names"":[""宇奈根考古資料室改修工事"",""伝統的建築物の保存"",""文化財の保護・普及"",""文化財指定・保存助成"",""埋蔵文化財の保護及び調査"",""民家園改修工事"",""民家園行事""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_06_05_05_4965100000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""教育使用料"",""教育施設"",""民家園""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_34_4965100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""民家園""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_87b8469699cfaacb5e26ac656ec4f41bdef10c6d94d7b48f1dbc3a276b4c45f9","民家園改修工事","一般会計","教育費","社会教育費","文化財費","教育委員会事務局 生涯学習課","50070","文化財・地域史","maintains","公式予算の会計・款・項・目と事業名から「文化財・地域史」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""cultural-heritage-and-local-history-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_03"",""identity_fields"":{""display_program_name"":""民家園改修工事"",""hierarchy"":[""教育費"",""社会教育費"",""文化財費""],""department_display_name"":""教育委員会事務局 生涯学習課"",""amount_thousand_yen"":50070},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_03_01_08_01"",""major_program_name"":""文化財保護事業費"",""budget_program_name"":""民家園改修工事"",""detail_program_name"":""民家園改修工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10152}],""same_budget_item_other_program_names"":[""宇奈根考古資料室改修工事"",""伝統的建築物の保存"",""文化財の保護・普及"",""文化財指定・保存助成"",""埋蔵文化財の保護及び調査"",""民家園維持運営"",""民家園行事""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_972fad14c5ac5a3390d4a5c19005ae84d1e17199a25a2f97438be2223e5fa625","文化財指定・保存助成","一般会計","教育費","社会教育費","文化財費","教育委員会事務局 生涯学習課","44881","文化財・地域史","maintains","公式予算の会計・款・項・目と事業名から「文化財・地域史」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""cultural-heritage-and-local-history-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_03"",""identity_fields"":{""display_program_name"":""文化財指定・保存助成"",""hierarchy"":[""教育費"",""社会教育費"",""文化財費""],""department_display_name"":""教育委員会事務局 生涯学習課"",""amount_thousand_yen"":44881},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_03_01_03_01"",""major_program_name"":""文化財保護事業費"",""budget_program_name"":""文化財指定・保存助成"",""detail_program_name"":""文化財指定・保存助成"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10148}],""same_budget_item_other_program_names"":[""宇奈根考古資料室改修工事"",""伝統的建築物の保存"",""文化財の保護・普及"",""埋蔵文化財の保護及び調査"",""民家園維持運営"",""民家園改修工事"",""民家園行事""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_34f65e48764e6de31ef04330d4b55400dc62ba070648459485e5303f06e118fe","郷土資料館維持運営","一般会計","教育費","社会教育費","資料館費","教育委員会事務局 生涯学習課","44008","文化財・地域史","maintains","公式予算の会計・款・項・目と事業名から「文化財・地域史」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""cultural-heritage-and-local-history-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_06"",""identity_fields"":{""display_program_name"":""郷土資料館維持運営"",""hierarchy"":[""教育費"",""社会教育費"",""資料館費""],""department_display_name"":""教育委員会事務局 生涯学習課"",""amount_thousand_yen"":44008},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_06_01_03_01"",""major_program_name"":""郷土資料館維持運営費"",""budget_program_name"":""郷土資料館維持運営"",""detail_program_name"":""郷土資料館維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10156}],""same_budget_item_other_program_names"":[""郷土資料館改修工事"",""郷土資料館行事"",""郷土資料館資料調査及び整理""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_06_05_12_4965100000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""教育使用料"",""教育施設"",""郷土資料館""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_16_03_4965100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""有償刊行物売払料"",""郷土資料館""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_99e7c62a92d5b91ce0fb6732baa53d9c3f8b8917d145a5c3d9acac9f34c63993","埋蔵文化財の保護及び調査","一般会計","教育費","社会教育費","文化財費","教育委員会事務局 生涯学習課","41388","文化財・地域史","maintains","公式予算の会計・款・項・目と事業名から「文化財・地域史」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""cultural-heritage-and-local-history-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_03"",""identity_fields"":{""display_program_name"":""埋蔵文化財の保護及び調査"",""hierarchy"":[""教育費"",""社会教育費"",""文化財費""],""department_display_name"":""教育委員会事務局 生涯学習課"",""amount_thousand_yen"":41388},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_03_01_01_01"",""major_program_name"":""文化財保護事業費"",""budget_program_name"":""埋蔵文化財の保護及び調査"",""detail_program_name"":""埋蔵文化財の保護及び調査"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10146}],""same_budget_item_other_program_names"":[""宇奈根考古資料室改修工事"",""伝統的建築物の保存"",""文化財の保護・普及"",""文化財指定・保存助成"",""民家園維持運営"",""民家園改修工事"",""民家園行事""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_05_26_02_4965100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""教育費補助金"",""文化財保存事業費関係補助金"",""埋蔵文化財緊急調査費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_21_01_4965100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""文化財保存事業費補助金"",""埋蔵文化財遺跡緊急発掘調査事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_ccd37e81292446ece9cda5dd6c8fc14e681b49320fa262113adb93a3ae0eead0","民家園行事","一般会計","教育費","社会教育費","文化財費","教育委員会事務局 生涯学習課","6305","文化財・地域史","maintains","公式予算の会計・款・項・目と事業名から「文化財・地域史」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""cultural-heritage-and-local-history-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_03"",""identity_fields"":{""display_program_name"":""民家園行事"",""hierarchy"":[""教育費"",""社会教育費"",""文化財費""],""department_display_name"":""教育委員会事務局 生涯学習課"",""amount_thousand_yen"":6305},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_03_01_06_01"",""major_program_name"":""文化財保護事業費"",""budget_program_name"":""民家園行事"",""detail_program_name"":""民家園行事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10151}],""same_budget_item_other_program_names"":[""宇奈根考古資料室改修工事"",""伝統的建築物の保存"",""文化財の保護・普及"",""文化財指定・保存助成"",""埋蔵文化財の保護及び調査"",""民家園維持運営"",""民家園改修工事""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_6730f17bb6f3a33370d4abff31246ef32f17ea670b6175c808eef2577ac5e346","郷土資料館資料調査及び整理","一般会計","教育費","社会教育費","資料館費","教育委員会事務局 生涯学習課","5676","文化財・地域史","maintains","公式予算の会計・款・項・目と事業名から「文化財・地域史」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""cultural-heritage-and-local-history-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_06"",""identity_fields"":{""display_program_name"":""郷土資料館資料調査及び整理"",""hierarchy"":[""教育費"",""社会教育費"",""資料館費""],""department_display_name"":""教育委員会事務局 生涯学習課"",""amount_thousand_yen"":5676},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_06_01_02_01"",""major_program_name"":""郷土資料館維持運営費"",""budget_program_name"":""郷土資料館資料調査及び整理"",""detail_program_name"":""郷土資料館資料調査及び整理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10155}],""same_budget_item_other_program_names"":[""郷土資料館維持運営"",""郷土資料館改修工事"",""郷土資料館行事""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_6bc2d42b5424dc2b34a3b71738a986ca139042e7d30f946c6822cf2f01ab924c","文化財の保護・普及","一般会計","教育費","社会教育費","文化財費","教育委員会事務局 生涯学習課","5000","文化財・地域史","maintains","公式予算の会計・款・項・目と事業名から「文化財・地域史」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""cultural-heritage-and-local-history-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_03"",""identity_fields"":{""display_program_name"":""文化財の保護・普及"",""hierarchy"":[""教育費"",""社会教育費"",""文化財費""],""department_display_name"":""教育委員会事務局 生涯学習課"",""amount_thousand_yen"":5000},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_03_01_02_01"",""major_program_name"":""文化財保護事業費"",""budget_program_name"":""文化財の保護・普及"",""detail_program_name"":""文化財の保護・普及"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10147}],""same_budget_item_other_program_names"":[""宇奈根考古資料室改修工事"",""伝統的建築物の保存"",""文化財指定・保存助成"",""埋蔵文化財の保護及び調査"",""民家園維持運営"",""民家園改修工事"",""民家園行事""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_08_95_4965100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""参加料・利用料"",""文化財普及・啓発事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_0bc7c7b8257f7e92852611b237b1acb82c49ebd4afb534311e346cb67c7aab9f","宇奈根考古資料室改修工事","一般会計","教育費","社会教育費","文化財費","教育委員会事務局 生涯学習課","4505","文化財・地域史","maintains","公式予算の会計・款・項・目と事業名から「文化財・地域史」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""cultural-heritage-and-local-history-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_03"",""identity_fields"":{""display_program_name"":""宇奈根考古資料室改修工事"",""hierarchy"":[""教育費"",""社会教育費"",""文化財費""],""department_display_name"":""教育委員会事務局 生涯学習課"",""amount_thousand_yen"":4505},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_03_01_09_01"",""major_program_name"":""文化財保護事業費"",""budget_program_name"":""宇奈根考古資料室改修工事"",""detail_program_name"":""宇奈根考古資料室改修工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10153}],""same_budget_item_other_program_names"":[""伝統的建築物の保存"",""文化財の保護・普及"",""文化財指定・保存助成"",""埋蔵文化財の保護及び調査"",""民家園維持運営"",""民家園改修工事"",""民家園行事""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_7969d2c52363c948e98297f096a9a2b2e1fed724e211b718a13f859525048344","郷土資料館改修工事","一般会計","教育費","社会教育費","資料館費","教育委員会事務局 生涯学習課","3190","文化財・地域史","maintains","公式予算の会計・款・項・目と事業名から「文化財・地域史」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""cultural-heritage-and-local-history-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_06"",""identity_fields"":{""display_program_name"":""郷土資料館改修工事"",""hierarchy"":[""教育費"",""社会教育費"",""資料館費""],""department_display_name"":""教育委員会事務局 生涯学習課"",""amount_thousand_yen"":3190},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_06_02_02_01"",""major_program_name"":""郷土資料館改修費"",""budget_program_name"":""郷土資料館改修工事"",""detail_program_name"":""郷土資料館改修工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10157}],""same_budget_item_other_program_names"":[""郷土資料館維持運営"",""郷土資料館行事"",""郷土資料館資料調査及び整理""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
