"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_e088c2024d4618ffd7d516e072d232fcb91fde63d9e587d04ff965e2f74de89d","清掃分担金","一般会計","環境費","清掃費","清掃管理費","環境政策部 管理課","5174544","清掃・環境サービスの基盤を安定して保つ","maintains","公式予算の会計・款・項・目と事業名から「清掃・環境サービスの基盤を安定して保つ」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-cleaning-and-environment-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_04_03_01"",""identity_fields"":{""display_program_name"":""清掃分担金"",""hierarchy"":[""環境費"",""清掃費"",""清掃管理費""],""department_display_name"":""環境政策部 管理課"",""amount_thousand_yen"":5174544},""member_programs"":[{""program_id"":""2026_general_expenditure_04_03_01_01_07_01"",""major_program_name"":""清掃管理運営費"",""budget_program_name"":""清掃分担金"",""detail_program_name"":""清掃分担金"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9500}],""same_budget_item_other_program_names"":[""ごみ減量・リサイクルの促進"",""ごみ減量・リサイクル活動推進"",""ごみ減量・リサイクル普及・啓発施設運営"",""ごみ集積所の美化"",""砧清掃事務所維持管理"",""玉川清掃事務所維持管理"",""事業用大規模建築物の対象拡大"",""世田谷清掃事務所維持管理"",""清掃・リサイクル審議会の運営"",""清掃・リサイクル部庶務事務"",""清掃指導業務"",""清掃事業運営"",""清掃事業管理・調整事務"",""清掃事業管理運営"",""清掃職員の安全衛生"",""清掃職員の被服貸与"",""有料ごみ処理券事務""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_42b873a6e7ce6f2674f8cfeac89f32a30bc82217c9b7ae1bc6297bbb0bbe1c3e","清掃関係事務従事職員の人件費","一般会計","職員費","職員費","清掃職員費","総務部 人事課","2539915","清掃・環境サービスの基盤を安定して保つ","maintains","公式予算の会計・款・項・目と事業名から「清掃・環境サービスの基盤を安定して保つ」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-cleaning-and-environment-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_10"",""identity_fields"":{""display_program_name"":""清掃関係事務従事職員の人件費"",""hierarchy"":[""職員費"",""職員費"",""清掃職員費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":2539915},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_10_01_01_01"",""major_program_name"":""清掃関係事務従事職員の人件費"",""budget_program_name"":""清掃関係事務従事職員の人件費"",""detail_program_name"":""清掃関係事務従事職員の人件費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9309}],""same_budget_item_other_program_names"":[],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_01_30_3205500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金"",""再任用職員社会保険料（清掃）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_8602f9ace5d4e2d3fc46453eec95973931cd87c6ccbe7a3060ee9f6fa32fc15d","環境関係事務従事職員の人件費","一般会計","職員費","職員費","環境職員費","総務部 人事課","679083","清掃・環境サービスの基盤を安定して保つ","maintains","公式予算の会計・款・項・目と事業名から「清掃・環境サービスの基盤を安定して保つ」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-cleaning-and-environment-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_04"",""identity_fields"":{""display_program_name"":""環境関係事務従事職員の人件費"",""hierarchy"":[""職員費"",""職員費"",""環境職員費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":679083},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_04_01_01_01"",""major_program_name"":""環境関係事務従事職員の人件費"",""budget_program_name"":""環境関係事務従事職員の人件費"",""detail_program_name"":""環境関係事務従事職員の人件費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9303}],""same_budget_item_other_program_names"":[""会計年度任用職員の人件費（環境政策部）"",""会計年度任用職員の人件費（清掃・リサイクル部）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_01_26_3205500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金"",""再任用職員社会保険料（環境）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_bc1b031edb252543706db6adbe30630f20aaec924b824ceca1849687fdcaef13","ごみ減量・リサイクル普及・啓発施設運営","一般会計","環境費","清掃費","清掃管理費","環境政策部 事業課","150161","清掃・環境サービスの基盤を安定して保つ","maintains","公式予算の会計・款・項・目と事業名から「清掃・環境サービスの基盤を安定して保つ」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-cleaning-and-environment-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_04_03_01"",""identity_fields"":{""display_program_name"":""ごみ減量・リサイクル普及・啓発施設運営"",""hierarchy"":[""環境費"",""清掃費"",""清掃管理費""],""department_display_name"":""環境政策部 事業課"",""amount_thousand_yen"":150161},""member_programs"":[{""program_id"":""2026_general_expenditure_04_03_01_01_13_01"",""major_program_name"":""清掃管理運営費"",""budget_program_name"":""ごみ減量・リサイクル普及・啓発施設運営"",""detail_program_name"":""ごみ減量・リサイクル普及・啓発施設運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9508}],""same_budget_item_other_program_names"":[""ごみ減量・リサイクルの促進"",""ごみ減量・リサイクル活動推進"",""ごみ集積所の美化"",""砧清掃事務所維持管理"",""玉川清掃事務所維持管理"",""事業用大規模建築物の対象拡大"",""世田谷清掃事務所維持管理"",""清掃・リサイクル審議会の運営"",""清掃・リサイクル部庶務事務"",""清掃指導業務"",""清掃事業運営"",""清掃事業管理・調整事務"",""清掃事業管理運営"",""清掃職員の安全衛生"",""清掃職員の被服貸与"",""清掃分担金"",""有料ごみ処理券事務""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_07_01_01_3555300000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""環境使用料"",""清掃・リサイクル普及啓発施設"",""エコプラザ用賀""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_02_02_01_20_3555300000"",""revenue_hierarchy"":[""財産収入"",""財産売払収入"",""物品売払収入"",""不用品売払"",""リユース品売払（エコプラザ用賀）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_81_3555300000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""エコプラザ用賀""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_6a88991a09ddedb7ecebbef626bd50171bc6e0a46e5db5373b179d673103f437","清掃事務所等改築","一般会計","環境費","清掃費","施設整備費","環境政策部 管理課","100000","清掃・環境サービスの基盤を安定して保つ","maintains","公式予算の会計・款・項・目と事業名から「清掃・環境サービスの基盤を安定して保つ」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-cleaning-and-environment-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_04_03_04"",""identity_fields"":{""display_program_name"":""清掃事務所等改築"",""hierarchy"":[""環境費"",""清掃費"",""施設整備費""],""department_display_name"":""環境政策部 管理課"",""amount_thousand_yen"":100000},""member_programs"":[{""program_id"":""2026_general_expenditure_04_03_04_01_05_01"",""major_program_name"":""清掃施設整備事業費"",""budget_program_name"":""清掃事務所等改築"",""detail_program_name"":""清掃事務所等改築"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9505}],""same_budget_item_other_program_names"":[""清掃・リサイクル施設改修"",""清掃事務所等改修""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_76f7e5c14ca97fcfdadf20d96712fa6ec53343fc20f1fb714cd19c3d72aea6e3","清掃事務所等改修","一般会計","環境費","清掃費","施設整備費","環境政策部 管理課","97422","清掃・環境サービスの基盤を安定して保つ","maintains","公式予算の会計・款・項・目と事業名から「清掃・環境サービスの基盤を安定して保つ」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-cleaning-and-environment-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_04_03_04"",""identity_fields"":{""display_program_name"":""清掃事務所等改修"",""hierarchy"":[""環境費"",""清掃費"",""施設整備費""],""department_display_name"":""環境政策部 管理課"",""amount_thousand_yen"":97422},""member_programs"":[{""program_id"":""2026_general_expenditure_04_03_04_01_04_01"",""major_program_name"":""清掃施設整備事業費"",""budget_program_name"":""清掃事務所等改修"",""detail_program_name"":""清掃事務所等改修"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9504}],""same_budget_item_other_program_names"":[""清掃・リサイクル施設改修"",""清掃事務所等改築""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_d875764da6ed62c98e434cb9d23ea268ab012271184d5cd51c16a38427a2597f","会計年度任用職員の人件費（環境政策部）","一般会計","職員費","職員費","環境職員費","環境政策部 環境政策課","78194","清掃・環境サービスの基盤を安定して保つ","maintains","公式予算の会計・款・項・目と事業名から「清掃・環境サービスの基盤を安定して保つ」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-cleaning-and-environment-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_04"",""identity_fields"":{""display_program_name"":""会計年度任用職員の人件費（環境政策部）"",""hierarchy"":[""職員費"",""職員費"",""環境職員費""],""department_display_name"":""環境政策部 環境政策課"",""amount_thousand_yen"":78194},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_04_01_06_01"",""major_program_name"":""環境関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（環境政策部）"",""detail_program_name"":""会計年度任用職員の人件費（環境政策部）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9444}],""same_budget_item_other_program_names"":[""会計年度任用職員の人件費（清掃・リサイクル部）"",""環境関係事務従事職員の人件費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_03_01_13_13_3465110000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""総務費委託金"",""事務処理特例交付金"",""事務処理特例交付金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_38_3465110000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（環境政策部）""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_c2dd9567ca7b44192d70fa7e0c6a5a25ecd2747f7f2bd2b99c84d6159d122b72","清掃事業運営","一般会計","環境費","清掃費","清掃管理費","環境政策部 管理課","62694","清掃・環境サービスの基盤を安定して保つ","maintains","公式予算の会計・款・項・目と事業名から「清掃・環境サービスの基盤を安定して保つ」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-cleaning-and-environment-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_04_03_01"",""identity_fields"":{""display_program_name"":""清掃事業運営"",""hierarchy"":[""環境費"",""清掃費"",""清掃管理費""],""department_display_name"":""環境政策部 管理課"",""amount_thousand_yen"":62694},""member_programs"":[{""program_id"":""2026_general_expenditure_04_03_01_01_28_01"",""major_program_name"":""清掃管理運営費"",""budget_program_name"":""清掃事業運営"",""detail_program_name"":""清掃事業運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9503}],""same_budget_item_other_program_names"":[""ごみ減量・リサイクルの促進"",""ごみ減量・リサイクル活動推進"",""ごみ減量・リサイクル普及・啓発施設運営"",""ごみ集積所の美化"",""砧清掃事務所維持管理"",""玉川清掃事務所維持管理"",""事業用大規模建築物の対象拡大"",""世田谷清掃事務所維持管理"",""清掃・リサイクル審議会の運営"",""清掃・リサイクル部庶務事務"",""清掃指導業務"",""清掃事業管理・調整事務"",""清掃事業管理運営"",""清掃職員の安全衛生"",""清掃職員の被服貸与"",""清掃分担金"",""有料ごみ処理券事務""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_02_03_07_05_3555100000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""環境手数料"",""廃棄物処理"",""廃棄物処理""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_5d45d9fa21336225a13342ccc4a6ef3e1c6fcae7557a068c36994d5e6586c351","有料ごみ処理券事務","一般会計","環境費","清掃費","清掃管理費","環境政策部 管理課","55053","清掃・環境サービスの基盤を安定して保つ","maintains","公式予算の会計・款・項・目と事業名から「清掃・環境サービスの基盤を安定して保つ」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-cleaning-and-environment-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_04_03_01"",""identity_fields"":{""display_program_name"":""有料ごみ処理券事務"",""hierarchy"":[""環境費"",""清掃費"",""清掃管理費""],""department_display_name"":""環境政策部 管理課"",""amount_thousand_yen"":55053},""member_programs"":[{""program_id"":""2026_general_expenditure_04_03_01_01_06_01"",""major_program_name"":""清掃管理運営費"",""budget_program_name"":""有料ごみ処理券事務"",""detail_program_name"":""有料ごみ処理券事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9499}],""same_budget_item_other_program_names"":[""ごみ減量・リサイクルの促進"",""ごみ減量・リサイクル活動推進"",""ごみ減量・リサイクル普及・啓発施設運営"",""ごみ集積所の美化"",""砧清掃事務所維持管理"",""玉川清掃事務所維持管理"",""事業用大規模建築物の対象拡大"",""世田谷清掃事務所維持管理"",""清掃・リサイクル審議会の運営"",""清掃・リサイクル部庶務事務"",""清掃指導業務"",""清掃事業運営"",""清掃事業管理・調整事務"",""清掃事業管理運営"",""清掃職員の安全衛生"",""清掃職員の被服貸与"",""清掃分担金""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_1bac4b00c20495a08bd2eb692f6ace1923ed4d7bb90f670b5cf8b6e3d9e04c8a","世田谷清掃事務所維持管理","一般会計","環境費","清掃費","清掃管理費","環境政策部 世田谷清掃事務所","48001","清掃・環境サービスの基盤を安定して保つ","maintains","公式予算の会計・款・項・目と事業名から「清掃・環境サービスの基盤を安定して保つ」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""stable-cleaning-and-environment-operations-official-structure"",""budget_item_key"":""2026_general_expenditure_04_03_01"",""identity_fields"":{""display_program_name"":""世田谷清掃事務所維持管理"",""hierarchy"":[""環境費"",""清掃費"",""清掃管理費""],""department_display_name"":""環境政策部 世田谷清掃事務所"",""amount_thousand_yen"":48001},""member_programs"":[{""program_id"":""2026_general_expenditure_04_03_01_01_17_01"",""major_program_name"":""清掃管理運営費"",""budget_program_name"":""世田谷清掃事務所維持管理"",""detail_program_name"":""世田谷清掃事務所維持管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9522}],""same_budget_item_other_program_names"":[""ごみ減量・リサイクルの促進"",""ごみ減量・リサイクル活動推進"",""ごみ減量・リサイクル普及・啓発施設運営"",""ごみ集積所の美化"",""砧清掃事務所維持管理"",""玉川清掃事務所維持管理"",""事業用大規模建築物の対象拡大"",""清掃・リサイクル審議会の運営"",""清掃・リサイクル部庶務事務"",""清掃指導業務"",""清掃事業運営"",""清掃事業管理・調整事務"",""清掃事業管理運営"",""清掃職員の安全衛生"",""清掃職員の被服貸与"",""清掃分担金"",""有料ごみ処理券事務""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_37_3555400000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""世田谷清掃事務所""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_07_3555400000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""世田谷清掃事務所""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
