"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_4160129e6ad8914674be13590d97eedb571f0ae025b2cf3cc2e715317ebebd39","文化財団運営補助","一般会計","総務費","区民費","文化施設費","生活文化政策部 文化・国際課","1655041","文化・スポーツ・生涯学習を支える行政","supports","公式予算で健康村、文化・国際、文化施設、スポーツ振興または生涯現役推進に関する目に属するため、文化・スポーツ・生涯学習に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""culture-sports-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_02_03_12"",""identity_fields"":{""display_program_name"":""文化財団運営補助"",""hierarchy"":[""総務費"",""区民費"",""文化施設費""],""department_display_name"":""生活文化政策部 文化・国際課"",""amount_thousand_yen"":1655041},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_12_01_03_01"",""major_program_name"":""文化財団維持運営費"",""budget_program_name"":""文化財団運営補助"",""detail_program_name"":""文化財団運営補助"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9387}],""same_budget_item_other_program_names"":[""音楽文化の振興"",""美術館維持管理"",""文化施設事業運営"",""文化施設保全"",""文化生活情報センター維持管理"",""文学館維持管理""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_51_46_3405400000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""雑入（２）"",""地域の芸術環境づくり助成事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_479ba04df3669398a2e15d6d37ce9fe75bdac71f03db1a8132315d30a4b294fa","文化施設保全","一般会計","総務費","区民費","文化施設費","生活文化政策部 文化・国際課","1241506","文化・スポーツ・生涯学習を支える行政","supports","公式予算で健康村、文化・国際、文化施設、スポーツ振興または生涯現役推進に関する目に属するため、文化・スポーツ・生涯学習に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""culture-sports-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_02_03_12"",""identity_fields"":{""display_program_name"":""文化施設保全"",""hierarchy"":[""総務費"",""区民費"",""文化施設費""],""department_display_name"":""生活文化政策部 文化・国際課"",""amount_thousand_yen"":1241506},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_12_01_02_01"",""major_program_name"":""文化財団維持運営費"",""budget_program_name"":""文化施設保全"",""detail_program_name"":""文化施設保全"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9386}],""same_budget_item_other_program_names"":[""音楽文化の振興"",""美術館維持管理"",""文化財団運営補助"",""文化施設事業運営"",""文化生活情報センター維持管理"",""文学館維持管理""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_65d0d328ba56f819547de57aee417c8815c8915f0f20c7292c8721c71e8d5426","図書館サービスの推進","一般会計","教育費","社会教育費","図書館費","教育委員会事務局 中央図書館","892150","文化・スポーツ・生涯学習を支える行政","supports","公式予算で教育費の社会教育費に属するため、文化・生涯学習に関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""lifelong-learning-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_08_06_04"",""identity_fields"":{""display_program_name"":""図書館サービスの推進"",""hierarchy"":[""教育費"",""社会教育費"",""図書館費""],""department_display_name"":""教育委員会事務局 中央図書館"",""amount_thousand_yen"":892150},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_04_01_02_01"",""major_program_name"":""中央図書館、地域図書館、まちかど図書室維持運営費"",""budget_program_name"":""図書館サービスの推進"",""detail_program_name"":""図書館サービスの推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10159}],""same_budget_item_other_program_names"":[""プラネタリウム事業運営"",""教育会館維持管理"",""教育会館改修"",""子ども読書活動の推進"",""図書館改修"",""図書館管理運営"",""図書館資料の充実"",""図書館情報システムの運営"",""生涯学習拠点としての図書館の充実"",""地域図書室の維持管理"",""地域図書室資料の充実""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_06_05_25_4965200000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""教育使用料"",""教育施設"",""梅丘図書館""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_03_42_4965200000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""建物貸付"",""図書館""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_03c663aa4f8dc3e80014cc0428b9de15d44f2b5710a88d4d6c98f4cf2d6ca601","総合運動場維持運営","一般会計","総務費","区民費","スポーツ振興費","スポーツ推進部 スポーツ施設課","756580","文化・スポーツ・生涯学習を支える行政","supports","公式予算で健康村、文化・国際、文化施設、スポーツ振興または生涯現役推進に関する目に属するため、文化・スポーツ・生涯学習に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""culture-sports-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_02_03_14"",""identity_fields"":{""display_program_name"":""総合運動場維持運営"",""hierarchy"":[""総務費"",""区民費"",""スポーツ振興費""],""department_display_name"":""スポーツ推進部 スポーツ施設課"",""amount_thousand_yen"":756580},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_14_01_05_01"",""major_program_name"":""スポーツ振興事業費"",""budget_program_name"":""総合運動場維持運営"",""detail_program_name"":""総合運動場維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9430}],""same_budget_item_other_program_names"":[""スポーツ施設改修工事"",""スポーツ施設整備事務"",""スポーツ施設民間連携等"",""スポーツ推進基金積立金"",""スポーツ推進部庶務事務"",""パラスポーツの推進"",""世田谷区スポーツ振興財団運営助成"",""生涯スポーツの振興"",""千歳温水プール維持運営"",""総合運動場施設整備工事"",""大蔵第二運動公園運動施設維持運営"",""大蔵第二運動公園運動施設整備工事"",""地域・地区スポーツ施設整備工事"",""地域体育施設の維持運営"",""東京２０２０大会レガシーの推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_05_50_3445550000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""総務施設"",""総合運動場""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_41_3445550000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""総合運動場""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_92_3445550000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""総合運動場""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_60_02_3445550000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""スポーツ振興くじ助成金"",""地方公共団体スポーツ活動助成""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_3489e5ae961166d433b1f3b6eb5799621c4a4b9e8deb3189b9bed60a8e100822","放課後の遊び場対策（ＢＯＰ）","一般会計","教育費","社会教育費","社会教育総務費","教育委員会事務局 地域学校連携課","731520","文化・スポーツ・生涯学習を支える行政","supports","公式予算で教育費の社会教育費に属するため、文化・生涯学習に関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""lifelong-learning-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_08_06_01"",""identity_fields"":{""display_program_name"":""放課後の遊び場対策（ＢＯＰ）"",""hierarchy"":[""教育費"",""社会教育費"",""社会教育総務費""],""department_display_name"":""教育委員会事務局 地域学校連携課"",""amount_thousand_yen"":731520},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_01_01_03_01"",""major_program_name"":""社会教育管理費"",""budget_program_name"":""放課後の遊び場対策（ＢＯＰ）"",""detail_program_name"":""放課後の遊び場対策（ＢＯＰ）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10216}],""same_budget_item_other_program_names"":[""小・中学校施設開放"",""小学校遊び場開放"",""総合型地域スポーツ・文化クラブの支援"",""地域連携事業""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_06_05_11_4980100000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""教育使用料"",""教育施設"",""新ＢＯＰ""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_07_09_01_4980100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""教育費補助金"",""放課後子どもプラン"",""放課後子どもプラン""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_4d2822234e97c11a5037fc2c9095b14ef764d5e39cf0eeb1eb258c6020e4f76b","区民健康村維持運営","一般会計","総務費","区民費","健康村費","生活文化政策部 健康村・ふる交流課","513409","文化・スポーツ・生涯学習を支える行政","supports","公式予算で健康村、文化・国際、文化施設、スポーツ振興または生涯現役推進に関する目に属するため、文化・スポーツ・生涯学習に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""culture-sports-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_02_03_10"",""identity_fields"":{""display_program_name"":""区民健康村維持運営"",""hierarchy"":[""総務費"",""区民費"",""健康村費""],""department_display_name"":""生活文化政策部 健康村・ふる交流課"",""amount_thousand_yen"":513409},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_10_01_03_01"",""major_program_name"":""区民健康村維持運営費"",""budget_program_name"":""区民健康村維持運営"",""detail_program_name"":""区民健康村維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9404}],""same_budget_item_other_program_names"":[""区民健康村施設整備"",""交流事業推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_05_43_3405500000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""総務施設"",""区民健康村用地""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_dbc145d7554808b3c1e2f7851994fdf554f7aef10a20d0757cd36ca3a28df3c5","文化生活情報センター維持管理","一般会計","総務費","区民費","文化施設費","生活文化政策部 文化・国際課","467636","文化・スポーツ・生涯学習を支える行政","supports","公式予算で健康村、文化・国際、文化施設、スポーツ振興または生涯現役推進に関する目に属するため、文化・スポーツ・生涯学習に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""culture-sports-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_02_03_12"",""identity_fields"":{""display_program_name"":""文化生活情報センター維持管理"",""hierarchy"":[""総務費"",""区民費"",""文化施設費""],""department_display_name"":""生活文化政策部 文化・国際課"",""amount_thousand_yen"":467636},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_12_01_05_01"",""major_program_name"":""文化財団維持運営費"",""budget_program_name"":""文化生活情報センター維持管理"",""detail_program_name"":""文化生活情報センター維持管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9389}],""same_budget_item_other_program_names"":[""音楽文化の振興"",""美術館維持管理"",""文化財団運営補助"",""文化施設事業運営"",""文化施設保全"",""文学館維持管理""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_13_03_3405400000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""文化施設"",""文化生活情報センター""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_43_3405400000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""文化生活情報センター""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_10_3405400000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""文化生活情報センター""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_53222f2db58cf073daa7301ed22ef1c7b71c96807a40e8bbed97b02426a33fcb","美術館維持管理","一般会計","総務費","区民費","文化施設費","生活文化政策部 文化・国際課","405012","文化・スポーツ・生涯学習を支える行政","supports","公式予算で健康村、文化・国際、文化施設、スポーツ振興または生涯現役推進に関する目に属するため、文化・スポーツ・生涯学習に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""culture-sports-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_02_03_12"",""identity_fields"":{""display_program_name"":""美術館維持管理"",""hierarchy"":[""総務費"",""区民費"",""文化施設費""],""department_display_name"":""生活文化政策部 文化・国際課"",""amount_thousand_yen"":405012},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_12_01_06_01"",""major_program_name"":""文化財団維持運営費"",""budget_program_name"":""美術館維持管理"",""detail_program_name"":""美術館維持管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9390}],""same_budget_item_other_program_names"":[""音楽文化の振興"",""文化財団運営補助"",""文化施設事業運営"",""文化施設保全"",""文化生活情報センター維持管理"",""文学館維持管理""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_28_3405400000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""美術館""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_62a26ba248202e364005fd2d64262bae4c0588694934abbc1117ce10d4da1b44","千歳温水プール維持運営","一般会計","総務費","区民費","スポーツ振興費","スポーツ推進部 スポーツ施設課","394849","文化・スポーツ・生涯学習を支える行政","supports","公式予算で健康村、文化・国際、文化施設、スポーツ振興または生涯現役推進に関する目に属するため、文化・スポーツ・生涯学習に関する行政機能を支える予算事業として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""culture-sports-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_02_03_14"",""identity_fields"":{""display_program_name"":""千歳温水プール維持運営"",""hierarchy"":[""総務費"",""区民費"",""スポーツ振興費""],""department_display_name"":""スポーツ推進部 スポーツ施設課"",""amount_thousand_yen"":394849},""member_programs"":[{""program_id"":""2026_general_expenditure_02_03_14_01_07_01"",""major_program_name"":""スポーツ振興事業費"",""budget_program_name"":""千歳温水プール維持運営"",""detail_program_name"":""千歳温水プール維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9432}],""same_budget_item_other_program_names"":[""スポーツ施設改修工事"",""スポーツ施設整備事務"",""スポーツ施設民間連携等"",""スポーツ推進基金積立金"",""スポーツ推進部庶務事務"",""パラスポーツの推進"",""世田谷区スポーツ振興財団運営助成"",""生涯スポーツの振興"",""総合運動場維持運営"",""総合運動場施設整備工事"",""大蔵第二運動公園運動施設維持運営"",""大蔵第二運動公園運動施設整備工事"",""地域・地区スポーツ施設整備工事"",""地域体育施設の維持運営"",""東京２０２０大会レガシーの推進""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_05_51_3445550000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""総務施設"",""千歳温水プール""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_42_3445550000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""千歳温水プール""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_43_01_06_3445550000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""スポーツ推進基金繰入金"",""スポーツ推進基金"",""スポーツ推進基金（千歳温水プール維持運営）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_93_3445550000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""千歳温水プール""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_83_46_3445550000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""雑入（３）"",""千歳温水プール管理運営""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_6c5b1ea7b2d909ed4ab59abc24c9fda00ad3e20f64240392a5d60ac877a3dc03","小・中学校施設開放","一般会計","教育費","社会教育費","社会教育総務費","教育委員会事務局 地域学校連携課","372901","文化・スポーツ・生涯学習を支える行政","supports","公式予算で教育費の社会教育費に属するため、文化・生涯学習に関する行政機能を支える予算事業として整理した。","B_strong_structural","{""matched_rule_id"":""lifelong-learning-official-hierarchy"",""budget_item_key"":""2026_general_expenditure_08_06_01"",""identity_fields"":{""display_program_name"":""小・中学校施設開放"",""hierarchy"":[""教育費"",""社会教育費"",""社会教育総務費""],""department_display_name"":""教育委員会事務局 地域学校連携課"",""amount_thousand_yen"":372901},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_01_01_04_01"",""major_program_name"":""社会教育管理費"",""budget_program_name"":""小・中学校施設開放"",""detail_program_name"":""小・中学校施設開放"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10217}],""same_budget_item_other_program_names"":[""小学校遊び場開放"",""総合型地域スポーツ・文化クラブの支援"",""地域連携事業"",""放課後の遊び場対策（ＢＯＰ）""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_06_05_15_4980100000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""教育使用料"",""教育施設"",""学校施設開放""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
