"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_6f2147ca2ac49424cc6464e12969ea1c61daf8a893aa0347a26f363c43df5933","定期及臨時予防接種","一般会計","衛生費","公衆衛生費","感染症予防費","世田谷保健所 感染症対策課","2611187","感染症対策","responds_to","公式予算の会計・款・項・目と事業名から「感染症対策」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""infection-prevention-and-vaccination-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_07"",""identity_fields"":{""display_program_name"":""定期及臨時予防接種"",""hierarchy"":[""衛生費"",""公衆衛生費"",""感染症予防費""],""department_display_name"":""世田谷保健所 感染症対策課"",""amount_thousand_yen"":2611187},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_07_02_01_01"",""major_program_name"":""感染症予防事業費"",""budget_program_name"":""定期及臨時予防接種"",""detail_program_name"":""定期及臨時予防接種"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9916}],""same_budget_item_other_program_names"":[""おたふくかぜ予防接種助成"",""感染症対策"",""結核対策"",""高齢者インフルエンザ予防接種"",""高齢者新型コロナ予防接種"",""高齢者肺炎球菌予防接種"",""子どもインフルエンザ予防接種助成"",""帯状疱疹予防接種助成"",""男性ＨＰＶ予防接種助成"",""難病・被爆者対策"",""風しん抗体検査・予防接種""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_02_04_01_09_3785250000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""衛生手数料"",""証明閲覧"",""予防接種証明書""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_01_02_02_02_3785250000"",""revenue_hierarchy"":[""都支出金"",""都負担金"",""衛生費負担金"",""予防接種費"",""定期予防接種""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_07_3785250000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""小児のための予防接種支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_61_3785250000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""医療行為による予防接種の免疫消失に対する再接種費助成事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_04_04_04_01_3785250000"",""revenue_hierarchy"":[""諸収入"",""受託事業収入"",""衛生費受託収入"",""感染症予防費"",""予防接種受託事業収入""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_0c682bc161ab72104116c54b21aa13f921c1b265e7d80cba018b68f9b459f5a8","高齢者新型コロナ予防接種","一般会計","衛生費","公衆衛生費","感染症予防費","世田谷保健所 感染症対策課","1104474","感染症対策","responds_to","公式予算の会計・款・項・目と事業名から「感染症対策」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""infection-prevention-and-vaccination-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_07"",""identity_fields"":{""display_program_name"":""高齢者新型コロナ予防接種"",""hierarchy"":[""衛生費"",""公衆衛生費"",""感染症予防費""],""department_display_name"":""世田谷保健所 感染症対策課"",""amount_thousand_yen"":1104474},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_07_02_10_01"",""major_program_name"":""感染症予防事業費"",""budget_program_name"":""高齢者新型コロナ予防接種"",""detail_program_name"":""高齢者新型コロナ予防接種"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9922}],""same_budget_item_other_program_names"":[""おたふくかぜ予防接種助成"",""感染症対策"",""結核対策"",""高齢者インフルエンザ予防接種"",""高齢者肺炎球菌予防接種"",""子どもインフルエンザ予防接種助成"",""帯状疱疹予防接種助成"",""男性ＨＰＶ予防接種助成"",""定期及臨時予防接種"",""難病・被爆者対策"",""風しん抗体検査・予防接種""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_01_02_11_06_3785250000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""衛生費負担金"",""新型コロナウイルスワクチン接種事業"",""新型コロナウイルス予防接種健康被害給付費負担金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_04_04_04_06_3785250000"",""revenue_hierarchy"":[""諸収入"",""受託事業収入"",""衛生費受託収入"",""感染症予防費"",""高齢者新型コロナ予防接種受託事業収入""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_a7c4e411d30a3d8be794ed960d92a18a421756b7c17c1543eca6bbb72adfeec0","高齢者インフルエンザ予防接種","一般会計","衛生費","公衆衛生費","感染症予防費","世田谷保健所 感染症対策課","417726","感染症対策","responds_to","公式予算の会計・款・項・目と事業名から「感染症対策」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""infection-prevention-and-vaccination-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_07"",""identity_fields"":{""display_program_name"":""高齢者インフルエンザ予防接種"",""hierarchy"":[""衛生費"",""公衆衛生費"",""感染症予防費""],""department_display_name"":""世田谷保健所 感染症対策課"",""amount_thousand_yen"":417726},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_07_02_02_01"",""major_program_name"":""感染症予防事業費"",""budget_program_name"":""高齢者インフルエンザ予防接種"",""detail_program_name"":""高齢者インフルエンザ予防接種"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9917}],""same_budget_item_other_program_names"":[""おたふくかぜ予防接種助成"",""感染症対策"",""結核対策"",""高齢者新型コロナ予防接種"",""高齢者肺炎球菌予防接種"",""子どもインフルエンザ予防接種助成"",""帯状疱疹予防接種助成"",""男性ＨＰＶ予防接種助成"",""定期及臨時予防接種"",""難病・被爆者対策"",""風しん抗体検査・予防接種""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_16_07_3785250000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""感染症予防事業費"",""疾病予防対策事業費（高齢者インフルエンザ）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_04_04_04_02_3785250000"",""revenue_hierarchy"":[""諸収入"",""受託事業収入"",""衛生費受託収入"",""感染症予防費"",""高齢者インフルエンザ予防接種受託収入""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_39f33316f7c3f0fe81262ff79ad9f9259a63383b127a6984358a1092d40a0451","帯状疱疹予防接種助成","一般会計","衛生費","公衆衛生費","感染症予防費","世田谷保健所 感染症対策課","236206","感染症対策","responds_to","公式予算の会計・款・項・目と事業名から「感染症対策」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""infection-prevention-and-vaccination-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_07"",""identity_fields"":{""display_program_name"":""帯状疱疹予防接種助成"",""hierarchy"":[""衛生費"",""公衆衛生費"",""感染症予防費""],""department_display_name"":""世田谷保健所 感染症対策課"",""amount_thousand_yen"":236206},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_07_02_09_01"",""major_program_name"":""感染症予防事業費"",""budget_program_name"":""帯状疱疹予防接種助成"",""detail_program_name"":""帯状疱疹予防接種助成"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9921}],""same_budget_item_other_program_names"":[""おたふくかぜ予防接種助成"",""感染症対策"",""結核対策"",""高齢者インフルエンザ予防接種"",""高齢者新型コロナ予防接種"",""高齢者肺炎球菌予防接種"",""子どもインフルエンザ予防接種助成"",""男性ＨＰＶ予防接種助成"",""定期及臨時予防接種"",""難病・被爆者対策"",""風しん抗体検査・予防接種""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_04_04_04_07_3785250000"",""revenue_hierarchy"":[""諸収入"",""受託事業収入"",""衛生費受託収入"",""感染症予防費"",""帯状疱疹予防接種受託収入""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_ad89754ffc3ce0f627bbb49195e0ef02db1d4078442edfb002ebbd73d2a67427","子どもインフルエンザ予防接種助成","一般会計","衛生費","公衆衛生費","感染症予防費","世田谷保健所 感染症対策課","229230","感染症対策","responds_to","公式予算の会計・款・項・目と事業名から「感染症対策」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""infection-prevention-and-vaccination-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_07"",""identity_fields"":{""display_program_name"":""子どもインフルエンザ予防接種助成"",""hierarchy"":[""衛生費"",""公衆衛生費"",""感染症予防費""],""department_display_name"":""世田谷保健所 感染症対策課"",""amount_thousand_yen"":229230},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_07_02_03_01"",""major_program_name"":""感染症予防事業費"",""budget_program_name"":""子どもインフルエンザ予防接種助成"",""detail_program_name"":""子どもインフルエンザ予防接種助成"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9918}],""same_budget_item_other_program_names"":[""おたふくかぜ予防接種助成"",""感染症対策"",""結核対策"",""高齢者インフルエンザ予防接種"",""高齢者新型コロナ予防接種"",""高齢者肺炎球菌予防接種"",""帯状疱疹予防接種助成"",""男性ＨＰＶ予防接種助成"",""定期及臨時予防接種"",""難病・被爆者対策"",""風しん抗体検査・予防接種""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_16_08_3785250000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""感染症予防事業費"",""疾病予防対策事業費（子どもインフルエンザ）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_04_41_01_3785250000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""衛生費補助金"",""小児インフルエンザワクチン任意接種補助事業"",""小児インフルエンザワクチン任意接種補助事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_f69c1e5b238373f7d5096a7415cfe93df944c40c94968f223baaa4d454056924","おたふくかぜ予防接種助成","一般会計","衛生費","公衆衛生費","感染症予防費","世田谷保健所 感染症対策課","38892","感染症対策","responds_to","公式予算の会計・款・項・目と事業名から「感染症対策」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""infection-prevention-and-vaccination-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_07"",""identity_fields"":{""display_program_name"":""おたふくかぜ予防接種助成"",""hierarchy"":[""衛生費"",""公衆衛生費"",""感染症予防費""],""department_display_name"":""世田谷保健所 感染症対策課"",""amount_thousand_yen"":38892},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_07_02_11_01"",""major_program_name"":""感染症予防事業費"",""budget_program_name"":""おたふくかぜ予防接種助成"",""detail_program_name"":""おたふくかぜ予防接種助成"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9923}],""same_budget_item_other_program_names"":[""感染症対策"",""結核対策"",""高齢者インフルエンザ予防接種"",""高齢者新型コロナ予防接種"",""高齢者肺炎球菌予防接種"",""子どもインフルエンザ予防接種助成"",""帯状疱疹予防接種助成"",""男性ＨＰＶ予防接種助成"",""定期及臨時予防接種"",""難病・被爆者対策"",""風しん抗体検査・予防接種""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_72_3785250000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""おたふくかぜ予防接種事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_ca7564853e7f3c034a9855cbc2eb53216b4a798500021431e0e1b1bbcfddef09","男性ＨＰＶ予防接種助成","一般会計","衛生費","公衆衛生費","感染症予防費","世田谷保健所 感染症対策課","35353","感染症対策","responds_to","公式予算の会計・款・項・目と事業名から「感染症対策」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""infection-prevention-and-vaccination-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_07"",""identity_fields"":{""display_program_name"":""男性ＨＰＶ予防接種助成"",""hierarchy"":[""衛生費"",""公衆衛生費"",""感染症予防費""],""department_display_name"":""世田谷保健所 感染症対策課"",""amount_thousand_yen"":35353},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_07_02_12_01"",""major_program_name"":""感染症予防事業費"",""budget_program_name"":""男性ＨＰＶ予防接種助成"",""detail_program_name"":""男性ＨＰＶ予防接種助成"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9924}],""same_budget_item_other_program_names"":[""おたふくかぜ予防接種助成"",""感染症対策"",""結核対策"",""高齢者インフルエンザ予防接種"",""高齢者新型コロナ予防接種"",""高齢者肺炎球菌予防接種"",""子どもインフルエンザ予防接種助成"",""帯状疱疹予防接種助成"",""定期及臨時予防接種"",""難病・被爆者対策"",""風しん抗体検査・予防接種""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_04_39_02_3785250000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""衛生費補助金"",""ＨＰＶワクチン男性接種補助事業"",""ＨＰＶワクチン男性接種補助事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_940fe3b36800c495e469d7c944246ee8ca38fb2be20204db6f3941c8ef13d9ae","風しん抗体検査・予防接種","一般会計","衛生費","公衆衛生費","感染症予防費","世田谷保健所 感染症対策課","27022","感染症対策","responds_to","公式予算の会計・款・項・目と事業名から「感染症対策」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""infection-prevention-and-vaccination-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_07"",""identity_fields"":{""display_program_name"":""風しん抗体検査・予防接種"",""hierarchy"":[""衛生費"",""公衆衛生費"",""感染症予防費""],""department_display_name"":""世田谷保健所 感染症対策課"",""amount_thousand_yen"":27022},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_07_02_08_01"",""major_program_name"":""感染症予防事業費"",""budget_program_name"":""風しん抗体検査・予防接種"",""detail_program_name"":""風しん抗体検査・予防接種"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9920}],""same_budget_item_other_program_names"":[""おたふくかぜ予防接種助成"",""感染症対策"",""結核対策"",""高齢者インフルエンザ予防接種"",""高齢者新型コロナ予防接種"",""高齢者肺炎球菌予防接種"",""子どもインフルエンザ予防接種助成"",""帯状疱疹予防接種助成"",""男性ＨＰＶ予防接種助成"",""定期及臨時予防接種"",""難病・被爆者対策""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_11_10_3785250000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""感染症対策"",""感染症対策""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_68_3785250000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""予防接種促進事業（風しん予防緊急対策）""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_5c98b6d127a5df2466f60b34c135019e133145be2ed4cdcfda7517a9e5a8f66c","結核対策","一般会計","衛生費","公衆衛生費","感染症予防費","世田谷保健所 感染症対策課","25435","感染症対策","responds_to","公式予算の会計・款・項・目と事業名から「感染症対策」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""infection-prevention-and-vaccination-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_07"",""identity_fields"":{""display_program_name"":""結核対策"",""hierarchy"":[""衛生費"",""公衆衛生費"",""感染症予防費""],""department_display_name"":""世田谷保健所 感染症対策課"",""amount_thousand_yen"":25435},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_07_03_01_01"",""major_program_name"":""結核予防事業費"",""budget_program_name"":""結核対策"",""detail_program_name"":""結核対策"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9925}],""same_budget_item_other_program_names"":[""おたふくかぜ予防接種助成"",""感染症対策"",""高齢者インフルエンザ予防接種"",""高齢者新型コロナ予防接種"",""高齢者肺炎球菌予防接種"",""子どもインフルエンザ予防接種助成"",""帯状疱疹予防接種助成"",""男性ＨＰＶ予防接種助成"",""定期及臨時予防接種"",""難病・被爆者対策"",""風しん抗体検査・予防接種""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_01_02_04_04_3785250000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""衛生費負担金"",""結核対策費"",""結核医療費公費負担""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_01_02_04_05_3785250000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""衛生費負担金"",""結核対策費"",""結核予防対策事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_01_12_3785250000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""結核対策費"",""結核医療費公費負担""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_01_13_3785250000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""結核対策費"",""結核対策特別促進事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_5e9597fe8869ca77aa514130b83d1c59d92379d7599059b6ff1c44d6aa414fe2","高齢者肺炎球菌予防接種","一般会計","衛生費","公衆衛生費","感染症予防費","世田谷保健所 感染症対策課","21260","感染症対策","responds_to","公式予算の会計・款・項・目と事業名から「感染症対策」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""infection-prevention-and-vaccination-official-structure"",""budget_item_key"":""2026_general_expenditure_05_03_07"",""identity_fields"":{""display_program_name"":""高齢者肺炎球菌予防接種"",""hierarchy"":[""衛生費"",""公衆衛生費"",""感染症予防費""],""department_display_name"":""世田谷保健所 感染症対策課"",""amount_thousand_yen"":21260},""member_programs"":[{""program_id"":""2026_general_expenditure_05_03_07_02_05_01"",""major_program_name"":""感染症予防事業費"",""budget_program_name"":""高齢者肺炎球菌予防接種"",""detail_program_name"":""高齢者肺炎球菌予防接種"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9919}],""same_budget_item_other_program_names"":[""おたふくかぜ予防接種助成"",""感染症対策"",""結核対策"",""高齢者インフルエンザ予防接種"",""高齢者新型コロナ予防接種"",""子どもインフルエンザ予防接種助成"",""帯状疱疹予防接種助成"",""男性ＨＰＶ予防接種助成"",""定期及臨時予防接種"",""難病・被爆者対策"",""風しん抗体検査・予防接種""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_04_04_04_04_3785250000"",""revenue_hierarchy"":[""諸収入"",""受託事業収入"",""衛生費受託収入"",""感染症予防費"",""高齢者肺炎球菌予防接種受託収入""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
