"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_65d0d328ba56f819547de57aee417c8815c8915f0f20c7292c8721c71e8d5426","図書館サービスの推進","一般会計","教育費","社会教育費","図書館費","教育委員会事務局 中央図書館","892150","図書館と読書・知識へのアクセスを充実する","supports","公式予算の会計・款・項・目と事業名から「図書館と読書・知識へのアクセスを充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""libraries-reading-and-knowledge-access-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_04"",""identity_fields"":{""display_program_name"":""図書館サービスの推進"",""hierarchy"":[""教育費"",""社会教育費"",""図書館費""],""department_display_name"":""教育委員会事務局 中央図書館"",""amount_thousand_yen"":892150},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_04_01_02_01"",""major_program_name"":""中央図書館、地域図書館、まちかど図書室維持運営費"",""budget_program_name"":""図書館サービスの推進"",""detail_program_name"":""図書館サービスの推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10159}],""same_budget_item_other_program_names"":[""プラネタリウム事業運営"",""教育会館維持管理"",""教育会館改修"",""子ども読書活動の推進"",""図書館改修"",""図書館管理運営"",""図書館資料の充実"",""図書館情報システムの運営"",""生涯学習拠点としての図書館の充実"",""地域図書室の維持管理"",""地域図書室資料の充実""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_06_05_25_4965200000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""教育使用料"",""教育施設"",""梅丘図書館""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_03_42_4965200000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""建物貸付"",""図書館""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_fa5d249831f54eacc33495fd8681553a1601c5e5a81c0d29b7700e5872a3e0f7","教育会館維持管理","一般会計","教育費","社会教育費","図書館費","教育委員会事務局 中央図書館","311678","図書館と読書・知識へのアクセスを充実する","supports","公式予算の会計・款・項・目と事業名から「図書館と読書・知識へのアクセスを充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""libraries-reading-and-knowledge-access-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_04"",""identity_fields"":{""display_program_name"":""教育会館維持管理"",""hierarchy"":[""教育費"",""社会教育費"",""図書館費""],""department_display_name"":""教育委員会事務局 中央図書館"",""amount_thousand_yen"":311678},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_04_01_13_01"",""major_program_name"":""中央図書館、地域図書館、まちかど図書室維持運営費"",""budget_program_name"":""教育会館維持管理"",""detail_program_name"":""教育会館維持管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10166}],""same_budget_item_other_program_names"":[""プラネタリウム事業運営"",""教育会館改修"",""子ども読書活動の推進"",""図書館サービスの推進"",""図書館改修"",""図書館管理運営"",""図書館資料の充実"",""図書館情報システムの運営"",""生涯学習拠点としての図書館の充実"",""地域図書室の維持管理"",""地域図書室資料の充実""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_06_05_23_4965200000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""教育使用料"",""教育施設"",""教育会館""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_90_4965200000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""教育会館""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_15_34_4965200000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""リサイクル資源売払金"",""教育会館維持管理""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_54_94_4965200000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金（２）"",""教育会館""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_6ee9796d9f747d38173580e0d2138d7ba17fdc6fb77fc5d7d31f0ffc384f7a1c","図書館管理運営","一般会計","教育費","社会教育費","図書館費","教育委員会事務局 中央図書館","234177","図書館と読書・知識へのアクセスを充実する","supports","公式予算の会計・款・項・目と事業名から「図書館と読書・知識へのアクセスを充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""libraries-reading-and-knowledge-access-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_04"",""identity_fields"":{""display_program_name"":""図書館管理運営"",""hierarchy"":[""教育費"",""社会教育費"",""図書館費""],""department_display_name"":""教育委員会事務局 中央図書館"",""amount_thousand_yen"":234177},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_04_01_15_01"",""major_program_name"":""中央図書館、地域図書館、まちかど図書室維持運営費"",""budget_program_name"":""図書館管理運営"",""detail_program_name"":""図書館管理運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10168}],""same_budget_item_other_program_names"":[""プラネタリウム事業運営"",""教育会館維持管理"",""教育会館改修"",""子ども読書活動の推進"",""図書館サービスの推進"",""図書館改修"",""図書館資料の充実"",""図書館情報システムの運営"",""生涯学習拠点としての図書館の充実"",""地域図書室の維持管理"",""地域図書室資料の充実""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_06_05_24_4965200000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""教育使用料"",""教育施設"",""図書館""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_91_4965200000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""砧図書館""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_45_28_4965200000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""広告料収入"",""図書館案内""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_97_09_4965200000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""参加料・利用料（２）"",""図書館コピーサービス料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_12_05_02_4965200000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入（２）"",""光熱水費等負担金（３）"",""図書館""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_8c56efb560cb13fc92ad39eed24539356e5d4551e9cb116a2a42b57e18bb8ca0","図書館資料の充実","一般会計","教育費","社会教育費","図書館費","教育委員会事務局 中央図書館","202854","図書館と読書・知識へのアクセスを充実する","supports","公式予算の会計・款・項・目と事業名から「図書館と読書・知識へのアクセスを充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""libraries-reading-and-knowledge-access-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_04"",""identity_fields"":{""display_program_name"":""図書館資料の充実"",""hierarchy"":[""教育費"",""社会教育費"",""図書館費""],""department_display_name"":""教育委員会事務局 中央図書館"",""amount_thousand_yen"":202854},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_04_01_01_01"",""major_program_name"":""中央図書館、地域図書館、まちかど図書室維持運営費"",""budget_program_name"":""図書館資料の充実"",""detail_program_name"":""図書館資料の充実"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10158}],""same_budget_item_other_program_names"":[""プラネタリウム事業運営"",""教育会館維持管理"",""教育会館改修"",""子ども読書活動の推進"",""図書館サービスの推進"",""図書館改修"",""図書館管理運営"",""図書館情報システムの運営"",""生涯学習拠点としての図書館の充実"",""地域図書室の維持管理"",""地域図書室資料の充実""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_04dae51b6c633f859c3888a06951813228594a47d88f6ff62b82cee780f4434f","教育会館改修","一般会計","教育費","社会教育費","図書館費","教育委員会事務局 中央図書館","39344","図書館と読書・知識へのアクセスを充実する","supports","公式予算の会計・款・項・目と事業名から「図書館と読書・知識へのアクセスを充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""libraries-reading-and-knowledge-access-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_04"",""identity_fields"":{""display_program_name"":""教育会館改修"",""hierarchy"":[""教育費"",""社会教育費"",""図書館費""],""department_display_name"":""教育委員会事務局 中央図書館"",""amount_thousand_yen"":39344},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_04_01_16_01"",""major_program_name"":""中央図書館、地域図書館、まちかど図書室維持運営費"",""budget_program_name"":""教育会館改修"",""detail_program_name"":""教育会館改修"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10169}],""same_budget_item_other_program_names"":[""プラネタリウム事業運営"",""教育会館維持管理"",""子ども読書活動の推進"",""図書館サービスの推進"",""図書館改修"",""図書館管理運営"",""図書館資料の充実"",""図書館情報システムの運営"",""生涯学習拠点としての図書館の充実"",""地域図書室の維持管理"",""地域図書室資料の充実""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_fb8a8c43f0375965a792e0f2466660c1924eea3cdf49f2d23c159daea3a72a37","子ども読書活動の推進","一般会計","教育費","社会教育費","図書館費","教育委員会事務局 中央図書館","20694","図書館と読書・知識へのアクセスを充実する","supports","公式予算の会計・款・項・目と事業名から「図書館と読書・知識へのアクセスを充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""libraries-reading-and-knowledge-access-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_04"",""identity_fields"":{""display_program_name"":""子ども読書活動の推進"",""hierarchy"":[""教育費"",""社会教育費"",""図書館費""],""department_display_name"":""教育委員会事務局 中央図書館"",""amount_thousand_yen"":20694},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_04_01_09_01"",""major_program_name"":""中央図書館、地域図書館、まちかど図書室維持運営費"",""budget_program_name"":""子ども読書活動の推進"",""detail_program_name"":""子ども読書活動の推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10162}],""same_budget_item_other_program_names"":[""プラネタリウム事業運営"",""教育会館維持管理"",""教育会館改修"",""図書館サービスの推進"",""図書館改修"",""図書館管理運営"",""図書館資料の充実"",""図書館情報システムの運営"",""生涯学習拠点としての図書館の充実"",""地域図書室の維持管理"",""地域図書室資料の充実""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_4de4be678eb026fd5fa0528f77467d1747ab48fa24be1f365614d5de897d8d4f","プラネタリウム事業運営","一般会計","教育費","社会教育費","図書館費","教育委員会事務局 中央図書館","19904","図書館と読書・知識へのアクセスを充実する","supports","公式予算の会計・款・項・目と事業名から「図書館と読書・知識へのアクセスを充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""libraries-reading-and-knowledge-access-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_04"",""identity_fields"":{""display_program_name"":""プラネタリウム事業運営"",""hierarchy"":[""教育費"",""社会教育費"",""図書館費""],""department_display_name"":""教育委員会事務局 中央図書館"",""amount_thousand_yen"":19904},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_04_01_14_01"",""major_program_name"":""中央図書館、地域図書館、まちかど図書室維持運営費"",""budget_program_name"":""プラネタリウム事業運営"",""detail_program_name"":""プラネタリウム事業運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10167}],""same_budget_item_other_program_names"":[""教育会館維持管理"",""教育会館改修"",""子ども読書活動の推進"",""図書館サービスの推進"",""図書館改修"",""図書館管理運営"",""図書館資料の充実"",""図書館情報システムの運営"",""生涯学習拠点としての図書館の充実"",""地域図書室の維持管理"",""地域図書室資料の充実""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_06_05_21_4965200000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""教育使用料"",""教育施設"",""プラネタリウム""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_abd302b8a6b6d7eb15b22f264f67f81e8bfd329953c570831b6f664c5f0ef74d","地域図書室資料の充実","一般会計","教育費","社会教育費","図書館費","教育委員会事務局 中央図書館","9042","図書館と読書・知識へのアクセスを充実する","supports","公式予算の会計・款・項・目と事業名から「図書館と読書・知識へのアクセスを充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""libraries-reading-and-knowledge-access-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_04"",""identity_fields"":{""display_program_name"":""地域図書室資料の充実"",""hierarchy"":[""教育費"",""社会教育費"",""図書館費""],""department_display_name"":""教育委員会事務局 中央図書館"",""amount_thousand_yen"":9042},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_04_01_11_01"",""major_program_name"":""中央図書館、地域図書館、まちかど図書室維持運営費"",""budget_program_name"":""地域図書室資料の充実"",""detail_program_name"":""地域図書室資料の充実"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10164}],""same_budget_item_other_program_names"":[""プラネタリウム事業運営"",""教育会館維持管理"",""教育会館改修"",""子ども読書活動の推進"",""図書館サービスの推進"",""図書館改修"",""図書館管理運営"",""図書館資料の充実"",""図書館情報システムの運営"",""生涯学習拠点としての図書館の充実"",""地域図書室の維持管理""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_f1ace57eb444f15fabfc4c9ec721c1f68cba3c42ef747e48aaff20bcdedd244c","生涯学習拠点としての図書館の充実","一般会計","教育費","社会教育費","図書館費","教育委員会事務局 中央図書館","8346","図書館と読書・知識へのアクセスを充実する","supports","公式予算の会計・款・項・目と事業名から「図書館と読書・知識へのアクセスを充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""libraries-reading-and-knowledge-access-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_04"",""identity_fields"":{""display_program_name"":""生涯学習拠点としての図書館の充実"",""hierarchy"":[""教育費"",""社会教育費"",""図書館費""],""department_display_name"":""教育委員会事務局 中央図書館"",""amount_thousand_yen"":8346},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_04_01_08_01"",""major_program_name"":""中央図書館、地域図書館、まちかど図書室維持運営費"",""budget_program_name"":""生涯学習拠点としての図書館の充実"",""detail_program_name"":""生涯学習拠点としての図書館の充実"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10161}],""same_budget_item_other_program_names"":[""プラネタリウム事業運営"",""教育会館維持管理"",""教育会館改修"",""子ども読書活動の推進"",""図書館サービスの推進"",""図書館改修"",""図書館管理運営"",""図書館資料の充実"",""図書館情報システムの運営"",""地域図書室の維持管理"",""地域図書室資料の充実""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_81814ee2d0983444638fdaec0ac0a30fe7123b3e2fd6376dbb4766cb5a9fd86c","図書館情報システムの運営","一般会計","教育費","社会教育費","図書館費","教育委員会事務局 中央図書館","7847","図書館と読書・知識へのアクセスを充実する","supports","公式予算の会計・款・項・目と事業名から「図書館と読書・知識へのアクセスを充実する」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""libraries-reading-and-knowledge-access-official-structure"",""budget_item_key"":""2026_general_expenditure_08_06_04"",""identity_fields"":{""display_program_name"":""図書館情報システムの運営"",""hierarchy"":[""教育費"",""社会教育費"",""図書館費""],""department_display_name"":""教育委員会事務局 中央図書館"",""amount_thousand_yen"":7847},""member_programs"":[{""program_id"":""2026_general_expenditure_08_06_04_01_03_01"",""major_program_name"":""中央図書館、地域図書館、まちかど図書室維持運営費"",""budget_program_name"":""図書館情報システムの運営"",""detail_program_name"":""図書館情報システムの運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":10160}],""same_budget_item_other_program_names"":[""プラネタリウム事業運営"",""教育会館維持管理"",""教育会館改修"",""子ども読書活動の推進"",""図書館サービスの推進"",""図書館改修"",""図書館管理運営"",""図書館資料の充実"",""生涯学習拠点としての図書館の充実"",""地域図書室の維持管理"",""地域図書室資料の充実""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
