"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_3b7d22dbc4d07fdc98173798a94a046177dd13dcc168fe5abb2b973460a62eb4","地域医療整備","一般会計","衛生費","衛生管理費","衛生総務費","保健福祉政策部 保福推進課","517590","地域の保健・医療体制を整える","maintains","公式予算の会計・款・項・目と事業名から「地域の保健・医療体制を整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-health-and-medical-system-official-structure"",""budget_item_key"":""2026_general_expenditure_05_01_01"",""identity_fields"":{""display_program_name"":""地域医療整備"",""hierarchy"":[""衛生費"",""衛生管理費"",""衛生総務費""],""department_display_name"":""保健福祉政策部 保福推進課"",""amount_thousand_yen"":517590},""member_programs"":[{""program_id"":""2026_general_expenditure_05_01_01_01_01_01"",""major_program_name"":""地域医療事業費"",""budget_program_name"":""地域医療整備"",""detail_program_name"":""地域医療整備"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9543}],""same_budget_item_other_program_names"":[""在宅医療の充実"",""歯科保健サービスの充実"",""精神障害者保健福祉手帳等進達事務"",""保健衛生施設整備""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_08_3595150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""小児救急普及啓発事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_71_3595150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""小児初期救急平日夜間診療事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_04_27_01_3595150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""衛生費補助金"",""小児初期救急施設整備費等補助金"",""小児初期救急設備整備費""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_d1d620477a8794f7a707d169d7a7fc654e17b4680820a50102f16b82eef660b6","保健センター維持運営","一般会計","衛生費","衛生管理費","保健センター費","保健福祉政策部 保福推進課","290395","地域の保健・医療体制を整える","maintains","公式予算の会計・款・項・目と事業名から「地域の保健・医療体制を整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-health-and-medical-system-official-structure"",""budget_item_key"":""2026_general_expenditure_05_01_04"",""identity_fields"":{""display_program_name"":""保健センター維持運営"",""hierarchy"":[""衛生費"",""衛生管理費"",""保健センター費""],""department_display_name"":""保健福祉政策部 保福推進課"",""amount_thousand_yen"":290395},""member_programs"":[{""program_id"":""2026_general_expenditure_05_01_04_01_01_01"",""major_program_name"":""保健センター維持運営費"",""budget_program_name"":""保健センター維持運営"",""detail_program_name"":""保健センター維持運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9547}],""same_budget_item_other_program_names"":[""保健センター事業運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_03_03_02_3595150000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""衛生使用料"",""衛生施設"",""保健センター""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_12_3595150000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""保健センター""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_adacda5bb8de766bbf4583a979a011dc53f5e0eee717080a7ceb793455d1e2fb","保健センター事業運営","一般会計","衛生費","衛生管理費","保健センター費","世田谷保健所 健康企画課","220893","地域の保健・医療体制を整える","maintains","公式予算の会計・款・項・目と事業名から「地域の保健・医療体制を整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-health-and-medical-system-official-structure"",""budget_item_key"":""2026_general_expenditure_05_01_04"",""identity_fields"":{""display_program_name"":""保健センター事業運営"",""hierarchy"":[""衛生費"",""衛生管理費"",""保健センター費""],""department_display_name"":""世田谷保健所 健康企画課"",""amount_thousand_yen"":220893},""member_programs"":[{""program_id"":""2026_general_expenditure_05_01_04_01_02_01"",""major_program_name"":""保健センター維持運営費"",""budget_program_name"":""保健センター事業運営"",""detail_program_name"":""保健センター事業運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9876}],""same_budget_item_other_program_names"":[""保健センター維持運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_03_02_03_3785100000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""衛生使用料"",""保健センター"",""健康増進""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_1b8dbeef1041f1563316645117732ae7e0aae301fed2a8d47fd6f14f461e6b26","歯科保健サービスの充実","一般会計","衛生費","衛生管理費","衛生総務費","保健福祉政策部 保福推進課","212000","地域の保健・医療体制を整える","maintains","公式予算の会計・款・項・目と事業名から「地域の保健・医療体制を整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-health-and-medical-system-official-structure"",""budget_item_key"":""2026_general_expenditure_05_01_01"",""identity_fields"":{""display_program_name"":""歯科保健サービスの充実"",""hierarchy"":[""衛生費"",""衛生管理費"",""衛生総務費""],""department_display_name"":""保健福祉政策部 保福推進課"",""amount_thousand_yen"":212000},""member_programs"":[{""program_id"":""2026_general_expenditure_05_01_01_01_02_01"",""major_program_name"":""地域医療事業費"",""budget_program_name"":""歯科保健サービスの充実"",""detail_program_name"":""歯科保健サービスの充実"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9544}],""same_budget_item_other_program_names"":[""在宅医療の充実"",""精神障害者保健福祉手帳等進達事務"",""地域医療整備"",""保健衛生施設整備""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_17_01_3595150000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""医療施設運営費等補助金"",""８０２０運動・口腔保健推進事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_1d3af683b99ba3f20ab8b10a197a71479b0bf1e8b3c21df1a686f3b9dfe16239","健康危機管理体制の充実","一般会計","衛生費","保健所費","保健所費","世田谷保健所 健康企画課","84322","地域の保健・医療体制を整える","maintains","公式予算の会計・款・項・目と事業名から「地域の保健・医療体制を整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-health-and-medical-system-official-structure"",""budget_item_key"":""2026_general_expenditure_05_02_01"",""identity_fields"":{""display_program_name"":""健康危機管理体制の充実"",""hierarchy"":[""衛生費"",""保健所費"",""保健所費""],""department_display_name"":""世田谷保健所 健康企画課"",""amount_thousand_yen"":84322},""member_programs"":[{""program_id"":""2026_general_expenditure_05_02_01_01_01_01"",""major_program_name"":""保健所運営費"",""budget_program_name"":""健康危機管理体制の充実"",""detail_program_name"":""健康危機管理体制の充実"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9877}],""same_budget_item_other_program_names"":[""区民健康診断（烏山）"",""区民健康診断（砧）"",""区民健康診断（玉川）"",""区民健康診断（世田谷）"",""区民健康診断（北沢）"",""健康せたがやプランの推進"",""受動喫煙対策"",""精神障害者生活指導"",""精神保健福祉推進"",""精神保健福祉相談"",""保健所運営事務"",""保健所庶務事務""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_16_10_3785100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""感染症予防事業費"",""地域健康危機管理体制推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_32_3785100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""熱中症対策に関する普及啓発等事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_33_3785100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""新型インフルエンザ初動対応事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_69_3785100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""災害医療計画策定支援事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_42_73_3785100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""高齢者施策推進区市町村包括補助事業"",""高齢者の熱中症予防支援事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_288b7dc9a3a8a46c93ce31fe4822a1dde86358d6c838c134884968f61ea83cbc","保健衛生施設整備","一般会計","衛生費","衛生管理費","衛生総務費","保健福祉政策部 保福推進課","54000","地域の保健・医療体制を整える","maintains","公式予算の会計・款・項・目と事業名から「地域の保健・医療体制を整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-health-and-medical-system-official-structure"",""budget_item_key"":""2026_general_expenditure_05_01_01"",""identity_fields"":{""display_program_name"":""保健衛生施設整備"",""hierarchy"":[""衛生費"",""衛生管理費"",""衛生総務費""],""department_display_name"":""保健福祉政策部 保福推進課"",""amount_thousand_yen"":54000},""member_programs"":[{""program_id"":""2026_general_expenditure_05_01_01_01_06_01"",""major_program_name"":""地域医療事業費"",""budget_program_name"":""保健衛生施設整備"",""detail_program_name"":""保健衛生施設整備"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9546}],""same_budget_item_other_program_names"":[""在宅医療の充実"",""歯科保健サービスの充実"",""精神障害者保健福祉手帳等進達事務"",""地域医療整備""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_87967b38ace617e9bc2b3ba779f5f8111b9e4726003e1cdf0ad3f02f0a3af119","精神保健福祉推進","一般会計","衛生費","保健所費","保健所費","世田谷保健所 健康推進課","50431","地域の保健・医療体制を整える","maintains","公式予算の会計・款・項・目と事業名から「地域の保健・医療体制を整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-health-and-medical-system-official-structure"",""budget_item_key"":""2026_general_expenditure_05_02_01"",""identity_fields"":{""display_program_name"":""精神保健福祉推進"",""hierarchy"":[""衛生費"",""保健所費"",""保健所費""],""department_display_name"":""世田谷保健所 健康推進課"",""amount_thousand_yen"":50431},""member_programs"":[{""program_id"":""2026_general_expenditure_05_02_01_02_02_01"",""major_program_name"":""保健衛生事業費"",""budget_program_name"":""精神保健福祉推進"",""detail_program_name"":""精神保健福祉推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9894}],""same_budget_item_other_program_names"":[""区民健康診断（烏山）"",""区民健康診断（砧）"",""区民健康診断（玉川）"",""区民健康診断（世田谷）"",""区民健康診断（北沢）"",""健康せたがやプランの推進"",""健康危機管理体制の充実"",""受動喫煙対策"",""精神障害者生活指導"",""精神保健福祉相談"",""保健所運営事務"",""保健所庶務事務""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_01_69_07_3785200000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""民生費補助金"",""地域生活支援促進事業費"",""精神障害・地域包括ケアシステム推進（精神保健福祉推進）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_40_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""自殺対策事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_04_26_01_3785200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""衛生費補助金"",""地域自殺対策強化交付金"",""自殺対策強化事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_cbb172ed1191960dd526e0832dc19ec964d326592b374c670402cb191a9cb942","在宅医療の充実","一般会計","衛生費","衛生管理費","衛生総務費","保健福祉政策部 保福推進課","20000","地域の保健・医療体制を整える","maintains","公式予算の会計・款・項・目と事業名から「地域の保健・医療体制を整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-health-and-medical-system-official-structure"",""budget_item_key"":""2026_general_expenditure_05_01_01"",""identity_fields"":{""display_program_name"":""在宅医療の充実"",""hierarchy"":[""衛生費"",""衛生管理費"",""衛生総務費""],""department_display_name"":""保健福祉政策部 保福推進課"",""amount_thousand_yen"":20000},""member_programs"":[{""program_id"":""2026_general_expenditure_05_01_01_01_04_01"",""major_program_name"":""地域医療事業費"",""budget_program_name"":""在宅医療の充実"",""detail_program_name"":""在宅医療の充実"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9545}],""same_budget_item_other_program_names"":[""歯科保健サービスの充実"",""精神障害者保健福祉手帳等進達事務"",""地域医療整備"",""保健衛生施設整備""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_82_05_3595150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""区市町村在宅療養推進事業"",""２４時間診療体制推進事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_82_06_3595150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""区市町村在宅療養推進事業"",""デジタル技術を活用した医療ＤＸ推進事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_7300d4c8f8c294bee3b0f60d201c07584718a389bb137f6a800e1058464bd0e2","健康せたがやプランの推進","一般会計","衛生費","保健所費","保健所費","世田谷保健所 健康企画課","16046","地域の保健・医療体制を整える","maintains","公式予算の会計・款・項・目と事業名から「地域の保健・医療体制を整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-health-and-medical-system-official-structure"",""budget_item_key"":""2026_general_expenditure_05_02_01"",""identity_fields"":{""display_program_name"":""健康せたがやプランの推進"",""hierarchy"":[""衛生費"",""保健所費"",""保健所費""],""department_display_name"":""世田谷保健所 健康企画課"",""amount_thousand_yen"":16046},""member_programs"":[{""program_id"":""2026_general_expenditure_05_02_01_01_04_01"",""major_program_name"":""保健所運営費"",""budget_program_name"":""健康せたがやプランの推進"",""detail_program_name"":""健康せたがやプランの推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9880}],""same_budget_item_other_program_names"":[""区民健康診断（烏山）"",""区民健康診断（砧）"",""区民健康診断（玉川）"",""区民健康診断（世田谷）"",""区民健康診断（北沢）"",""健康危機管理体制の充実"",""受動喫煙対策"",""精神障害者生活指導"",""精神保健福祉推進"",""精神保健福祉相談"",""保健所運営事務"",""保健所庶務事務""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_15_01_3785100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""地域保健対策費"",""地域・職域連携推進事業費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_47_3785100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""ウォーキングマップ作成・活用事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_75_3785100000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""歩きたくなる・身体活動量を増やすための環境整備事業""],""amount_attribution_status"":""not_available""}]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
"bpi_685f2d2286b43c7cf010495196225b3df7ae03c5bed35ec2d7993e6fbb0ba7b3","保健所庶務事務","一般会計","衛生費","保健所費","保健所費","世田谷保健所 健康企画課","13073","地域の保健・医療体制を整える","maintains","公式予算の会計・款・項・目と事業名から「地域の保健・医療体制を整える」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""community-health-and-medical-system-official-structure"",""budget_item_key"":""2026_general_expenditure_05_02_01"",""identity_fields"":{""display_program_name"":""保健所庶務事務"",""hierarchy"":[""衛生費"",""保健所費"",""保健所費""],""department_display_name"":""世田谷保健所 健康企画課"",""amount_thousand_yen"":13073},""member_programs"":[{""program_id"":""2026_general_expenditure_05_02_01_01_03_01"",""major_program_name"":""保健所運営費"",""budget_program_name"":""保健所庶務事務"",""detail_program_name"":""保健所庶務事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9879}],""same_budget_item_other_program_names"":[""区民健康診断（烏山）"",""区民健康診断（砧）"",""区民健康診断（玉川）"",""区民健康診断（世田谷）"",""区民健康診断（北沢）"",""健康せたがやプランの推進"",""健康危機管理体制の充実"",""受動喫煙対策"",""精神障害者生活指導"",""精神保健福祉推進"",""精神保健福祉相談"",""保健所運営事務""],""related_revenues"":[]}","high","approve","B_strong_structural・確信度highの一括承認ルールにより承認"
