"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_88eb8874cf6e6990e0a9e42edfeb5f6bb0b30dac9672ec5c4c20c048e9a2e1b4","総務関係事務従事職員の人件費","一般会計","職員費","職員費","総務職員費","総務部 人事課","15972564","行政の人材・業務基盤","enables","公式予算の会計・款・項・目と事業名から「行政の人材・業務基盤」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""public-workforce-and-administrative-foundation-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_02"",""identity_fields"":{""display_program_name"":""総務関係事務従事職員の人件費"",""hierarchy"":[""職員費"",""職員費"",""総務職員費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":15972564},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_02_01_02_01"",""major_program_name"":""総務関係事務従事職員の人件費"",""budget_program_name"":""総務関係事務従事職員の人件費"",""detail_program_name"":""総務関係事務従事職員の人件費"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9300}],""same_budget_item_other_program_names"":[""一般会計関係職員の人件費"",""会計年度任用職員の人件費（危機管理部）"",""会計年度任用職員の人件費（経済産業部）"",""会計年度任用職員の人件費（世田谷総合支所）"",""会計年度任用職員の人件費（政策経営部）"",""会計年度任用職員の人件費（生活文化政策部）"",""会計年度任用職員の人件費（選挙管理委員会事務局）"",""会計年度任用職員の人件費（総務部）"",""会計年度任用職員の人件費（地域行政部）"",""公務災害補償基金掛金及び付加給付""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_02_01_01_02_3415220000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""総務手数料"",""証明閲覧"",""住民基本台帳証明・閲覧""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_03_01_13_01_3205500000"",""revenue_hierarchy"":[""都支出金"",""都委託金"",""総務費委託金"",""事務処理特例交付金"",""事務処理特例交付金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_01_24_3205500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金"",""再任用職員社会保険料（総務）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_45_18_3415220000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""広告料収入"",""総合支所くみん窓口""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 一般管理・人件費・基金等よりもtopicとの直接性を優先して非公開"
"bpi_bd63c3004e3766eddbe2f16ff7a5da47316b54d7cede1f9b4d600c05c3ba6cf1","会計年度任用職員の人件費（総務部）","一般会計","職員費","職員費","総務職員費","総務部 人事課","8646692","行政の人材・業務基盤","enables","公式予算の会計・款・項・目と事業名から「行政の人材・業務基盤」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""public-workforce-and-administrative-foundation-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_02"",""identity_fields"":{""display_program_name"":""会計年度任用職員の人件費（総務部）"",""hierarchy"":[""職員費"",""職員費"",""総務職員費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":8646692},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_02_01_21_02"",""major_program_name"":""総務関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（総務部）"",""detail_program_name"":""会計年度任用職員の人件費（総務部）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9301}],""same_budget_item_other_program_names"":[""一般会計関係職員の人件費"",""会計年度任用職員の人件費（危機管理部）"",""会計年度任用職員の人件費（経済産業部）"",""会計年度任用職員の人件費（世田谷総合支所）"",""会計年度任用職員の人件費（政策経営部）"",""会計年度任用職員の人件費（生活文化政策部）"",""会計年度任用職員の人件費（選挙管理委員会事務局）"",""会計年度任用職員の人件費（地域行政部）"",""公務災害補償基金掛金及び付加給付"",""総務関係事務従事職員の人件費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_17_3205500000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（総務部）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 一般管理・人件費・基金等よりもtopicとの直接性を優先して非公開"
"bpi_8b06067c54cce20d2c74b7cb39260cbfbebd61bce682425c153a46e34dd7919e","本庁舎等整備工事","一般会計","総務費","総務管理費","一般管理費","庁舎整備担当部 庁舎管理担当課","7479718","行政の人材・業務基盤","enables","公式予算の会計・款・項・目と事業名から「行政の人材・業務基盤」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""public-workforce-and-administrative-foundation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_01"",""identity_fields"":{""display_program_name"":""本庁舎等整備工事"",""hierarchy"":[""総務費"",""総務管理費"",""一般管理費""],""department_display_name"":""庁舎整備担当部 庁舎管理担当課"",""amount_thousand_yen"":7479718},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_01_02_13_01"",""major_program_name"":""庁舎維持管理費"",""budget_program_name"":""本庁舎等整備工事"",""detail_program_name"":""本庁舎等整備工事"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9328}],""same_budget_item_other_program_names"":[""こども誰でも通園制度"",""安全衛生活動の推進"",""外国人学校児童・生徒保護者補助金交付"",""供用物品整備"",""区政情報センター運営"",""区長室庶務事務"",""私立幼稚園での未就園児の定期的な預かり事業の推進"",""私立幼稚園協会助成"",""私立幼稚園指導助成"",""奨学資金等貸付"",""情報公開・個人情報保護制度運営等"",""職員・非常勤職員等公務災害補償"",""職員の健康保持推進"",""職員研修"",""職員互助会事業補助"",""職員採用等事務"",""職員住宅維持管理"",""職員住宅改修"",""新年のつどい"",""世田谷区公報発行、区例規類集等発行"",""世田谷区政務活動費"",""専修学校・各種学校等指導助成"",""総務部庶務事務"",""庁舎維持管理"",""庁舎計画事務"",""庁舎等建設等基金積立金"",""東京都職員共済組合業務経理負担金"",""東京都職員共済組合事務費負担金"",""特別区協議会等分担金"",""特別区人事厚生事務組合分担金"",""特別職報酬等審議会運営"",""被服貸与"",""非常勤職員等事務"",""福利厚生事業"",""分庁舎維持管理"",""文書、物品搬送"",""文書印刷"",""文書管理、法務業務"",""郵便管理事務"",""幼稚園類似幼児施設助成""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_17_01_35_01_11_3235200000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""庁舎等建設等基金繰入金"",""庁舎建設"",""本庁舎等整備費""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_20_01_01_17_01_3235200000"",""revenue_hierarchy"":[""特別区債"",""特別区債"",""総務債"",""本庁舎等整備費"",""本庁舎等整備費""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_c34fb87998d2beb1da3e5e8011a45c4cf624372d28878d78816749aacd40fd45","庁舎維持管理","一般会計","総務費","総務管理費","一般管理費","庁舎整備担当部 庁舎管理担当課","1549914","行政の人材・業務基盤","enables","公式予算の会計・款・項・目と事業名から「行政の人材・業務基盤」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""public-workforce-and-administrative-foundation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_01"",""identity_fields"":{""display_program_name"":""庁舎維持管理"",""hierarchy"":[""総務費"",""総務管理費"",""一般管理費""],""department_display_name"":""庁舎整備担当部 庁舎管理担当課"",""amount_thousand_yen"":1549914},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_01_02_01_01"",""major_program_name"":""庁舎維持管理費"",""budget_program_name"":""庁舎維持管理"",""detail_program_name"":""庁舎維持管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9325}],""same_budget_item_other_program_names"":[""こども誰でも通園制度"",""安全衛生活動の推進"",""外国人学校児童・生徒保護者補助金交付"",""供用物品整備"",""区政情報センター運営"",""区長室庶務事務"",""私立幼稚園での未就園児の定期的な預かり事業の推進"",""私立幼稚園協会助成"",""私立幼稚園指導助成"",""奨学資金等貸付"",""情報公開・個人情報保護制度運営等"",""職員・非常勤職員等公務災害補償"",""職員の健康保持推進"",""職員研修"",""職員互助会事業補助"",""職員採用等事務"",""職員住宅維持管理"",""職員住宅改修"",""新年のつどい"",""世田谷区公報発行、区例規類集等発行"",""世田谷区政務活動費"",""専修学校・各種学校等指導助成"",""総務部庶務事務"",""庁舎計画事務"",""庁舎等建設等基金積立金"",""東京都職員共済組合業務経理負担金"",""東京都職員共済組合事務費負担金"",""特別区協議会等分担金"",""特別区人事厚生事務組合分担金"",""特別職報酬等審議会運営"",""被服貸与"",""非常勤職員等事務"",""福利厚生事業"",""分庁舎維持管理"",""文書、物品搬送"",""文書印刷"",""文書管理、法務業務"",""本庁舎等整備工事"",""郵便管理事務"",""幼稚園類似幼児施設助成""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_05_01_3235200000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""総務施設"",""庁舎""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_01_01_04_48_3235200000"",""revenue_hierarchy"":[""財産収入"",""財産運用収入"",""財産貸付収入"",""土地貸付"",""庁舎""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_15_02_02_01_13_3235200000"",""revenue_hierarchy"":[""財産収入"",""財産売払収入"",""物品売払収入"",""不用品売払"",""リサイクル資源売払（庁舎維持管理）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_01_3235200000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""庁舎""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_59cbe2d128bcdecab6206dc99416f9ec8cf1ee502af8cd43a5336fccd8cf32d8","庁舎計画事務","一般会計","総務費","総務管理費","一般管理費","庁舎整備担当部 庁舎管理担当課","1198843","行政の人材・業務基盤","enables","公式予算の会計・款・項・目と事業名から「行政の人材・業務基盤」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""public-workforce-and-administrative-foundation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_01"",""identity_fields"":{""display_program_name"":""庁舎計画事務"",""hierarchy"":[""総務費"",""総務管理費"",""一般管理費""],""department_display_name"":""庁舎整備担当部 庁舎管理担当課"",""amount_thousand_yen"":1198843},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_01_02_09_01"",""major_program_name"":""庁舎維持管理費"",""budget_program_name"":""庁舎計画事務"",""detail_program_name"":""庁舎計画事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9327}],""same_budget_item_other_program_names"":[""こども誰でも通園制度"",""安全衛生活動の推進"",""外国人学校児童・生徒保護者補助金交付"",""供用物品整備"",""区政情報センター運営"",""区長室庶務事務"",""私立幼稚園での未就園児の定期的な預かり事業の推進"",""私立幼稚園協会助成"",""私立幼稚園指導助成"",""奨学資金等貸付"",""情報公開・個人情報保護制度運営等"",""職員・非常勤職員等公務災害補償"",""職員の健康保持推進"",""職員研修"",""職員互助会事業補助"",""職員採用等事務"",""職員住宅維持管理"",""職員住宅改修"",""新年のつどい"",""世田谷区公報発行、区例規類集等発行"",""世田谷区政務活動費"",""専修学校・各種学校等指導助成"",""総務部庶務事務"",""庁舎維持管理"",""庁舎等建設等基金積立金"",""東京都職員共済組合業務経理負担金"",""東京都職員共済組合事務費負担金"",""特別区協議会等分担金"",""特別区人事厚生事務組合分担金"",""特別職報酬等審議会運営"",""被服貸与"",""非常勤職員等事務"",""福利厚生事業"",""分庁舎維持管理"",""文書、物品搬送"",""文書印刷"",""文書管理、法務業務"",""本庁舎等整備工事"",""郵便管理事務"",""幼稚園類似幼児施設助成""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_60_83_3235200000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""地域福祉推進区市町村包括補助事業"",""情報バリアフリーに係る充実への支援""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_e640b3411585bc3a7b66cbbaad0d8f82314e4a7c5ca6dcaf0e277b5cbeee33d9","私立幼稚園指導助成","一般会計","総務費","総務管理費","一般管理費","子ども・若者部 子ども・若者支援課","886733","行政の人材・業務基盤","enables","公式予算の会計・款・項・目と事業名から「行政の人材・業務基盤」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""public-workforce-and-administrative-foundation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_01"",""identity_fields"":{""display_program_name"":""私立幼稚園指導助成"",""hierarchy"":[""総務費"",""総務管理費"",""一般管理費""],""department_display_name"":""子ども・若者部 子ども・若者支援課"",""amount_thousand_yen"":886733},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_01_01_10_01"",""major_program_name"":""総務事務運営費"",""budget_program_name"":""私立幼稚園指導助成"",""detail_program_name"":""私立幼稚園指導助成"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9775}],""same_budget_item_other_program_names"":[""こども誰でも通園制度"",""安全衛生活動の推進"",""外国人学校児童・生徒保護者補助金交付"",""供用物品整備"",""区政情報センター運営"",""区長室庶務事務"",""私立幼稚園での未就園児の定期的な預かり事業の推進"",""私立幼稚園協会助成"",""奨学資金等貸付"",""情報公開・個人情報保護制度運営等"",""職員・非常勤職員等公務災害補償"",""職員の健康保持推進"",""職員研修"",""職員互助会事業補助"",""職員採用等事務"",""職員住宅維持管理"",""職員住宅改修"",""新年のつどい"",""世田谷区公報発行、区例規類集等発行"",""世田谷区政務活動費"",""専修学校・各種学校等指導助成"",""総務部庶務事務"",""庁舎維持管理"",""庁舎計画事務"",""庁舎等建設等基金積立金"",""東京都職員共済組合業務経理負担金"",""東京都職員共済組合事務費負担金"",""特別区協議会等分担金"",""特別区人事厚生事務組合分担金"",""特別職報酬等審議会運営"",""被服貸与"",""非常勤職員等事務"",""福利厚生事業"",""分庁舎維持管理"",""文書、物品搬送"",""文書印刷"",""文書管理、法務業務"",""本庁舎等整備工事"",""郵便管理事務"",""幼稚園類似幼児施設助成""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_01_01_40_05_3665150000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""民生費負担金"",""子育てのための施設等利用給付交付金"",""預かり保育（私立幼稚園）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_01_54_38_3665150000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""民生費補助金"",""地域子ども・子育て支援事業"",""一時預かり事業（私立幼稚園）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_01_54_41_3665150000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""民生費補助金"",""地域子ども・子育て支援事業"",""実費徴収補足給付事業（私立幼稚園）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_01_01_33_05_3665150000"",""revenue_hierarchy"":[""都支出金"",""都負担金"",""民生費負担金"",""子育てのための施設等利用給付交付金"",""預かり保育（私立幼稚園）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_01_01_01_3665150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""総務費補助金"",""私立幼稚園園児保護者負担軽減費"",""私立幼稚園園児保護者負担軽減""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_61_07_3665150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""一時預かり事業"",""私立幼稚園""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_92_38_3665150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""地域子ども・子育て支援事業"",""一時預かり事業（私立幼稚園）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_92_41_3665150000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""地域子ども・子育て支援事業"",""実費徴収補足給付事業（私立幼稚園）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_fd232747d54e2c8f27d869579c73a3e44e2188452f1e86826015273a15645e21","職員採用等事務","一般会計","総務費","総務管理費","一般管理費","総務部 人事課","407080","行政の人材・業務基盤","enables","公式予算の会計・款・項・目と事業名から「行政の人材・業務基盤」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""public-workforce-and-administrative-foundation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_01"",""identity_fields"":{""display_program_name"":""職員採用等事務"",""hierarchy"":[""総務費"",""総務管理費"",""一般管理費""],""department_display_name"":""総務部 人事課"",""amount_thousand_yen"":407080},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_01_03_01_01"",""major_program_name"":""人事事務運営費"",""budget_program_name"":""職員採用等事務"",""detail_program_name"":""職員採用等事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9297}],""same_budget_item_other_program_names"":[""こども誰でも通園制度"",""安全衛生活動の推進"",""外国人学校児童・生徒保護者補助金交付"",""供用物品整備"",""区政情報センター運営"",""区長室庶務事務"",""私立幼稚園での未就園児の定期的な預かり事業の推進"",""私立幼稚園協会助成"",""私立幼稚園指導助成"",""奨学資金等貸付"",""情報公開・個人情報保護制度運営等"",""職員・非常勤職員等公務災害補償"",""職員の健康保持推進"",""職員研修"",""職員互助会事業補助"",""職員住宅維持管理"",""職員住宅改修"",""新年のつどい"",""世田谷区公報発行、区例規類集等発行"",""世田谷区政務活動費"",""専修学校・各種学校等指導助成"",""総務部庶務事務"",""庁舎維持管理"",""庁舎計画事務"",""庁舎等建設等基金積立金"",""東京都職員共済組合業務経理負担金"",""東京都職員共済組合事務費負担金"",""特別区協議会等分担金"",""特別区人事厚生事務組合分担金"",""特別職報酬等審議会運営"",""被服貸与"",""非常勤職員等事務"",""福利厚生事業"",""分庁舎維持管理"",""文書、物品搬送"",""文書印刷"",""文書管理、法務業務"",""本庁舎等整備工事"",""郵便管理事務"",""幼稚園類似幼児施設助成""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_edea666e29fce2c27b5d8a034813a1a80ac0d58a6f9cd6a20478ca9497387c20","分庁舎維持管理","一般会計","総務費","総務管理費","一般管理費","庁舎整備担当部 庁舎管理担当課","388395","行政の人材・業務基盤","enables","公式予算の会計・款・項・目と事業名から「行政の人材・業務基盤」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""public-workforce-and-administrative-foundation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_01"",""identity_fields"":{""display_program_name"":""分庁舎維持管理"",""hierarchy"":[""総務費"",""総務管理費"",""一般管理費""],""department_display_name"":""庁舎整備担当部 庁舎管理担当課"",""amount_thousand_yen"":388395},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_01_02_04_01"",""major_program_name"":""庁舎維持管理費"",""budget_program_name"":""分庁舎維持管理"",""detail_program_name"":""分庁舎維持管理"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9326}],""same_budget_item_other_program_names"":[""こども誰でも通園制度"",""安全衛生活動の推進"",""外国人学校児童・生徒保護者補助金交付"",""供用物品整備"",""区政情報センター運営"",""区長室庶務事務"",""私立幼稚園での未就園児の定期的な預かり事業の推進"",""私立幼稚園協会助成"",""私立幼稚園指導助成"",""奨学資金等貸付"",""情報公開・個人情報保護制度運営等"",""職員・非常勤職員等公務災害補償"",""職員の健康保持推進"",""職員研修"",""職員互助会事業補助"",""職員採用等事務"",""職員住宅維持管理"",""職員住宅改修"",""新年のつどい"",""世田谷区公報発行、区例規類集等発行"",""世田谷区政務活動費"",""専修学校・各種学校等指導助成"",""総務部庶務事務"",""庁舎維持管理"",""庁舎計画事務"",""庁舎等建設等基金積立金"",""東京都職員共済組合業務経理負担金"",""東京都職員共済組合事務費負担金"",""特別区協議会等分担金"",""特別区人事厚生事務組合分担金"",""特別職報酬等審議会運営"",""被服貸与"",""非常勤職員等事務"",""福利厚生事業"",""文書、物品搬送"",""文書印刷"",""文書管理、法務業務"",""本庁舎等整備工事"",""郵便管理事務"",""幼稚園類似幼児施設助成""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_01_05_44_3235200000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""総務使用料"",""総務施設"",""分庁舎""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_05_25_3235200000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""光熱水費等負担金"",""分庁舎""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_09_34_01_3235200000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""雑入"",""施設利用者負担金"",""三軒茶屋分庁舎""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 関連候補だが、topicとの直接性と表示上限12件を優先して非公開"
"bpi_36de967649456f996238acd833d9209a8b51d950cf817cbce673ecaffa259479","会計年度任用職員の人件費（地域行政部）","一般会計","職員費","職員費","総務職員費","地域行政部 地域行政課","318088","行政の人材・業務基盤","enables","公式予算の会計・款・項・目と事業名から「行政の人材・業務基盤」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""public-workforce-and-administrative-foundation-official-structure"",""budget_item_key"":""2026_general_expenditure_09_01_02"",""identity_fields"":{""display_program_name"":""会計年度任用職員の人件費（地域行政部）"",""hierarchy"":[""職員費"",""職員費"",""総務職員費""],""department_display_name"":""地域行政部 地域行政課"",""amount_thousand_yen"":318088},""member_programs"":[{""program_id"":""2026_general_expenditure_09_01_02_01_24_01"",""major_program_name"":""総務関係事務従事職員の人件費"",""budget_program_name"":""会計年度任用職員の人件費（地域行政部）"",""detail_program_name"":""会計年度任用職員の人件費（地域行政部）"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9415}],""same_budget_item_other_program_names"":[""一般会計関係職員の人件費"",""会計年度任用職員の人件費（危機管理部）"",""会計年度任用職員の人件費（経済産業部）"",""会計年度任用職員の人件費（世田谷総合支所）"",""会計年度任用職員の人件費（政策経営部）"",""会計年度任用職員の人件費（生活文化政策部）"",""会計年度任用職員の人件費（選挙管理委員会事務局）"",""会計年度任用職員の人件費（総務部）"",""公務災害補償基金掛金及び付加給付"",""総務関係事務従事職員の人件費""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_02_08_21_02_3415100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""総務費補助金"",""個人番号カード交付事務費補助金"",""個人番号カード交付事務費補助金""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_19_06_04_06_03_3415100000"",""revenue_hierarchy"":[""諸収入"",""雑入"",""納付金"",""納付金（３）"",""会計年度任用職員社会保険料（地域行政部）""],""amount_attribution_status"":""not_available""}]}","high","reject","[publication-policy] 一般管理・人件費・基金等よりもtopicとの直接性を優先して非公開"
"bpi_be4bd2e33434c2b558070b283398f7e6d65a264df464300f31948fa678904f7a","職員の健康保持推進","一般会計","総務費","総務管理費","一般管理費","総務部 職員厚生課","270706","行政の人材・業務基盤","enables","公式予算の会計・款・項・目と事業名から「行政の人材・業務基盤」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""public-workforce-and-administrative-foundation-official-structure"",""budget_item_key"":""2026_general_expenditure_02_01_01"",""identity_fields"":{""display_program_name"":""職員の健康保持推進"",""hierarchy"":[""総務費"",""総務管理費"",""一般管理費""],""department_display_name"":""総務部 職員厚生課"",""amount_thousand_yen"":270706},""member_programs"":[{""program_id"":""2026_general_expenditure_02_01_01_04_06_01"",""major_program_name"":""職員の福利厚生事務運営費"",""budget_program_name"":""職員の健康保持推進"",""detail_program_name"":""職員の健康保持推進"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9319}],""same_budget_item_other_program_names"":[""こども誰でも通園制度"",""安全衛生活動の推進"",""外国人学校児童・生徒保護者補助金交付"",""供用物品整備"",""区政情報センター運営"",""区長室庶務事務"",""私立幼稚園での未就園児の定期的な預かり事業の推進"",""私立幼稚園協会助成"",""私立幼稚園指導助成"",""奨学資金等貸付"",""情報公開・個人情報保護制度運営等"",""職員・非常勤職員等公務災害補償"",""職員研修"",""職員互助会事業補助"",""職員採用等事務"",""職員住宅維持管理"",""職員住宅改修"",""新年のつどい"",""世田谷区公報発行、区例規類集等発行"",""世田谷区政務活動費"",""専修学校・各種学校等指導助成"",""総務部庶務事務"",""庁舎維持管理"",""庁舎計画事務"",""庁舎等建設等基金積立金"",""東京都職員共済組合業務経理負担金"",""東京都職員共済組合事務費負担金"",""特別区協議会等分担金"",""特別区人事厚生事務組合分担金"",""特別職報酬等審議会運営"",""被服貸与"",""非常勤職員等事務"",""福利厚生事業"",""分庁舎維持管理"",""文書、物品搬送"",""文書印刷"",""文書管理、法務業務"",""本庁舎等整備工事"",""郵便管理事務"",""幼稚園類似幼児施設助成""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
