"budget_program_identity_id","display_program_name","account_name","kan_name","kou_name","moku_name","department_display_name","amount_thousand_yen","candidate_topic","proposed_relation_type","proposed_explanation","evidence_level","evidence_fields","confidence","review_decision","review_note"
"bpi_6537b099d1cb6968eec84b11b6c3c35fbe7a4c68cd589f5a97888f2957ce177d","検査センター事務","一般会計","衛生費","環境衛生費","環境衛生費","世田谷保健所 生活保健課","122903","食と生活衛生","maintains","公式予算の会計・款・項・目と事業名から「食と生活衛生」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""food-and-living-hygiene-official-structure"",""budget_item_key"":""2026_general_expenditure_05_04_01"",""identity_fields"":{""display_program_name"":""検査センター事務"",""hierarchy"":[""衛生費"",""環境衛生費"",""環境衛生費""],""department_display_name"":""世田谷保健所 生活保健課"",""amount_thousand_yen"":122903},""member_programs"":[{""program_id"":""2026_general_expenditure_05_04_01_01_14_01"",""major_program_name"":""環境衛生事業費"",""budget_program_name"":""検査センター事務"",""detail_program_name"":""検査センター事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9935}],""same_budget_item_other_program_names"":[""医事薬事監視普及"",""化学検査事業運営"",""環境衛生監視普及"",""狂犬病予防法事務"",""細菌検査事業運営"",""住宅宿泊事業監視普及"",""食の安全・安心の推進"",""食品衛生監視普及"",""人と動物との共生推進事業"",""鼠・害虫相談・水害消毒"",""臨床検査事業運営""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_87910c8114bdf3f10747d062bdf1fd936a595e9f25bb05b7e2947d75c16e909e","狂犬病予防法事務","一般会計","衛生費","環境衛生費","環境衛生費","世田谷保健所 生活保健課","50990","食と生活衛生","maintains","公式予算の会計・款・項・目と事業名から「食と生活衛生」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""food-and-living-hygiene-official-structure"",""budget_item_key"":""2026_general_expenditure_05_04_01"",""identity_fields"":{""display_program_name"":""狂犬病予防法事務"",""hierarchy"":[""衛生費"",""環境衛生費"",""環境衛生費""],""department_display_name"":""世田谷保健所 生活保健課"",""amount_thousand_yen"":50990},""member_programs"":[{""program_id"":""2026_general_expenditure_05_04_01_01_05_01"",""major_program_name"":""環境衛生事業費"",""budget_program_name"":""狂犬病予防法事務"",""detail_program_name"":""狂犬病予防法事務"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9928}],""same_budget_item_other_program_names"":[""医事薬事監視普及"",""化学検査事業運営"",""環境衛生監視普及"",""検査センター事務"",""細菌検査事業運営"",""住宅宿泊事業監視普及"",""食の安全・安心の推進"",""食品衛生監視普及"",""人と動物との共生推進事業"",""鼠・害虫相談・水害消毒"",""臨床検査事業運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_02_04_01_02_3785700000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""衛生手数料"",""証明閲覧"",""証明閲覧（畜犬）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_04_03_03_3785700000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""衛生手数料"",""畜犬登録"",""畜犬登録手数料""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_7f31eea84c49d7426b341dc3ea0c0acc07a967f09fc1bc3d3592d01c85cbe288","住宅宿泊事業監視普及","一般会計","衛生費","環境衛生費","環境衛生費","世田谷保健所 生活保健課","28416","食と生活衛生","maintains","公式予算の会計・款・項・目と事業名から「食と生活衛生」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""food-and-living-hygiene-official-structure"",""budget_item_key"":""2026_general_expenditure_05_04_01"",""identity_fields"":{""display_program_name"":""住宅宿泊事業監視普及"",""hierarchy"":[""衛生費"",""環境衛生費"",""環境衛生費""],""department_display_name"":""世田谷保健所 生活保健課"",""amount_thousand_yen"":28416},""member_programs"":[{""program_id"":""2026_general_expenditure_05_04_01_01_13_01"",""major_program_name"":""環境衛生事業費"",""budget_program_name"":""住宅宿泊事業監視普及"",""detail_program_name"":""住宅宿泊事業監視普及"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9934}],""same_budget_item_other_program_names"":[""医事薬事監視普及"",""化学検査事業運営"",""環境衛生監視普及"",""狂犬病予防法事務"",""検査センター事務"",""細菌検査事業運営"",""食の安全・安心の推進"",""食品衛生監視普及"",""人と動物との共生推進事業"",""鼠・害虫相談・水害消毒"",""臨床検査事業運営""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_801a822f4b1e581259a39dc17d52f2c54b53d2d627abbaea71ff150e073c25dc","人と動物との共生推進事業","一般会計","衛生費","環境衛生費","環境衛生費","世田谷保健所 生活保健課","22838","食と生活衛生","maintains","公式予算の会計・款・項・目と事業名から「食と生活衛生」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""food-and-living-hygiene-official-structure"",""budget_item_key"":""2026_general_expenditure_05_04_01"",""identity_fields"":{""display_program_name"":""人と動物との共生推進事業"",""hierarchy"":[""衛生費"",""環境衛生費"",""環境衛生費""],""department_display_name"":""世田谷保健所 生活保健課"",""amount_thousand_yen"":22838},""member_programs"":[{""program_id"":""2026_general_expenditure_05_04_01_01_04_01"",""major_program_name"":""環境衛生事業費"",""budget_program_name"":""人と動物との共生推進事業"",""detail_program_name"":""人と動物との共生推進事業"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9927}],""same_budget_item_other_program_names"":[""医事薬事監視普及"",""化学検査事業運営"",""環境衛生監視普及"",""狂犬病予防法事務"",""検査センター事務"",""細菌検査事業運営"",""住宅宿泊事業監視普及"",""食の安全・安心の推進"",""食品衛生監視普及"",""鼠・害虫相談・水害消毒"",""臨床検査事業運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_22_3785700000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""飼い主のいない猫対策""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_51_3785700000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""地域における動物愛護の推進""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_59_3785700000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""地域における動物の相談支援体制整備事業""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_17_01_16_25_01_3785700000"",""revenue_hierarchy"":[""繰入金"",""基金繰入金"",""地域保健福祉等推進基金繰入金"",""人と動物との共生推進事業"",""人と動物との共生推進事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_4218bb6c73f7e3cd179dcbff355f4bd209f11c7396bd76cf00d7cd5a8c991fe5","化学検査事業運営","一般会計","衛生費","環境衛生費","環境衛生費","世田谷保健所 健康企画課","17410","食と生活衛生","maintains","公式予算の会計・款・項・目と事業名から「食と生活衛生」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""food-and-living-hygiene-official-structure"",""budget_item_key"":""2026_general_expenditure_05_04_01"",""identity_fields"":{""display_program_name"":""化学検査事業運営"",""hierarchy"":[""衛生費"",""環境衛生費"",""環境衛生費""],""department_display_name"":""世田谷保健所 健康企画課"",""amount_thousand_yen"":17410},""member_programs"":[{""program_id"":""2026_general_expenditure_05_04_01_01_02_01"",""major_program_name"":""環境衛生事業費"",""budget_program_name"":""化学検査事業運営"",""detail_program_name"":""化学検査事業運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9889}],""same_budget_item_other_program_names"":[""医事薬事監視普及"",""環境衛生監視普及"",""狂犬病予防法事務"",""検査センター事務"",""細菌検査事業運営"",""住宅宿泊事業監視普及"",""食の安全・安心の推進"",""食品衛生監視普及"",""人と動物との共生推進事業"",""鼠・害虫相談・水害消毒"",""臨床検査事業運営""],""related_revenues"":[]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_d4198eb6cee49764708c537222845bd3240194ad9d44194da7c7c1385d605afe","細菌検査事業運営","一般会計","衛生費","環境衛生費","環境衛生費","世田谷保健所 健康企画課","16399","食と生活衛生","maintains","公式予算の会計・款・項・目と事業名から「食と生活衛生」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""food-and-living-hygiene-official-structure"",""budget_item_key"":""2026_general_expenditure_05_04_01"",""identity_fields"":{""display_program_name"":""細菌検査事業運営"",""hierarchy"":[""衛生費"",""環境衛生費"",""環境衛生費""],""department_display_name"":""世田谷保健所 健康企画課"",""amount_thousand_yen"":16399},""member_programs"":[{""program_id"":""2026_general_expenditure_05_04_01_01_03_01"",""major_program_name"":""環境衛生事業費"",""budget_program_name"":""細菌検査事業運営"",""detail_program_name"":""細菌検査事業運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9890}],""same_budget_item_other_program_names"":[""医事薬事監視普及"",""化学検査事業運営"",""環境衛生監視普及"",""狂犬病予防法事務"",""検査センター事務"",""住宅宿泊事業監視普及"",""食の安全・安心の推進"",""食品衛生監視普及"",""人と動物との共生推進事業"",""鼠・害虫相談・水害消毒"",""臨床検査事業運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_01_02_07_03_3785100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""衛生費負担金"",""感染症対策費"",""細菌等検査用備品""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_01_02_07_08_3785100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""衛生費負担金"",""感染症対策費"",""細菌等検査""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_0a5eab774d65273d2f554b2aba95c28982bad3a59f5e9c411166e88e4867ff90","鼠・害虫相談・水害消毒","一般会計","衛生費","環境衛生費","環境衛生費","世田谷保健所 生活保健課","15821","食と生活衛生","maintains","公式予算の会計・款・項・目と事業名から「食と生活衛生」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""food-and-living-hygiene-official-structure"",""budget_item_key"":""2026_general_expenditure_05_04_01"",""identity_fields"":{""display_program_name"":""鼠・害虫相談・水害消毒"",""hierarchy"":[""衛生費"",""環境衛生費"",""環境衛生費""],""department_display_name"":""世田谷保健所 生活保健課"",""amount_thousand_yen"":15821},""member_programs"":[{""program_id"":""2026_general_expenditure_05_04_01_01_06_01"",""major_program_name"":""環境衛生事業費"",""budget_program_name"":""鼠・害虫相談・水害消毒"",""detail_program_name"":""鼠・害虫相談・水害消毒"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9929}],""same_budget_item_other_program_names"":[""医事薬事監視普及"",""化学検査事業運営"",""環境衛生監視普及"",""狂犬病予防法事務"",""検査センター事務"",""細菌検査事業運営"",""住宅宿泊事業監視普及"",""食の安全・安心の推進"",""食品衛生監視普及"",""人と動物との共生推進事業"",""臨床検査事業運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_01_02_07_07_3785700000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""衛生費負担金"",""感染症対策費"",""感染症対策（施設等消毒事業）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_48_3785700000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""地域環境改善対策事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_51bac6640a5bf7d8fa0d7325237a095805546edcb568d90d7254b3673bf92b3c","食品衛生監視普及","一般会計","衛生費","環境衛生費","環境衛生費","世田谷保健所 生活保健課","15268","食と生活衛生","maintains","公式予算の会計・款・項・目と事業名から「食と生活衛生」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""food-and-living-hygiene-official-structure"",""budget_item_key"":""2026_general_expenditure_05_04_01"",""identity_fields"":{""display_program_name"":""食品衛生監視普及"",""hierarchy"":[""衛生費"",""環境衛生費"",""環境衛生費""],""department_display_name"":""世田谷保健所 生活保健課"",""amount_thousand_yen"":15268},""member_programs"":[{""program_id"":""2026_general_expenditure_05_04_01_01_07_01"",""major_program_name"":""環境衛生事業費"",""budget_program_name"":""食品衛生監視普及"",""detail_program_name"":""食品衛生監視普及"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9930}],""same_budget_item_other_program_names"":[""医事薬事監視普及"",""化学検査事業運営"",""環境衛生監視普及"",""狂犬病予防法事務"",""検査センター事務"",""細菌検査事業運営"",""住宅宿泊事業監視普及"",""食の安全・安心の推進"",""人と動物との共生推進事業"",""鼠・害虫相談・水害消毒"",""臨床検査事業運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_01_03_01_10_3785700000"",""revenue_hierarchy"":[""使用料及手数料"",""使用料"",""衛生使用料"",""保健所"",""食品従事者検便""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_04_01_01_3785700000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""衛生手数料"",""証明閲覧"",""証明閲覧（食品衛生）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_04_04_02_3785700000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""衛生手数料"",""食品衛生"",""衛生監視""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_58_3785700000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""ＨＡＣＣＰ衛生管理の導入・定着を推進する事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_1eda6e90e9f333dabbc832997f5293334d4f3b85ccd4505e3bd05cb8bc3342d5","臨床検査事業運営","一般会計","衛生費","環境衛生費","環境衛生費","世田谷保健所 健康企画課","7452","食と生活衛生","maintains","公式予算の会計・款・項・目と事業名から「食と生活衛生」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""food-and-living-hygiene-official-structure"",""budget_item_key"":""2026_general_expenditure_05_04_01"",""identity_fields"":{""display_program_name"":""臨床検査事業運営"",""hierarchy"":[""衛生費"",""環境衛生費"",""環境衛生費""],""department_display_name"":""世田谷保健所 健康企画課"",""amount_thousand_yen"":7452},""member_programs"":[{""program_id"":""2026_general_expenditure_05_04_01_01_01_01"",""major_program_name"":""環境衛生事業費"",""budget_program_name"":""臨床検査事業運営"",""detail_program_name"":""臨床検査事業運営"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9888}],""same_budget_item_other_program_names"":[""医事薬事監視普及"",""化学検査事業運営"",""環境衛生監視普及"",""狂犬病予防法事務"",""検査センター事務"",""細菌検査事業運営"",""住宅宿泊事業監視普及"",""食の安全・安心の推進"",""食品衛生監視普及"",""人と動物との共生推進事業"",""鼠・害虫相談・水害消毒""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_13_01_02_07_09_3785100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫負担金"",""衛生費負担金"",""感染症対策費"",""臨床検査""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_13_02_03_16_11_3785100000"",""revenue_hierarchy"":[""国庫支出金"",""国庫補助金"",""衛生費補助金"",""感染症予防事業費"",""特定感染症検査等事業""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
"bpi_68552800dd59cb354b24bf2de4bea1189223f0b1ecadc9030f432bdb83a78b1d","環境衛生監視普及","一般会計","衛生費","環境衛生費","環境衛生費","世田谷保健所 生活保健課","3337","食と生活衛生","maintains","公式予算の会計・款・項・目と事業名から「食と生活衛生」との構造的な関係が強い候補として整理した。これはみらい議会の探索用整理であり、区の公式な課題分類ではない。","B_strong_structural","{""matched_rule_id"":""food-and-living-hygiene-official-structure"",""budget_item_key"":""2026_general_expenditure_05_04_01"",""identity_fields"":{""display_program_name"":""環境衛生監視普及"",""hierarchy"":[""衛生費"",""環境衛生費"",""環境衛生費""],""department_display_name"":""世田谷保健所 生活保健課"",""amount_thousand_yen"":3337},""member_programs"":[{""program_id"":""2026_general_expenditure_05_04_01_01_09_01"",""major_program_name"":""環境衛生事業費"",""budget_program_name"":""環境衛生監視普及"",""detail_program_name"":""環境衛生監視普及"",""source_file"":""ippansaisyutu.csv"",""source_row_number"":9932}],""same_budget_item_other_program_names"":[""医事薬事監視普及"",""化学検査事業運営"",""狂犬病予防法事務"",""検査センター事務"",""細菌検査事業運営"",""住宅宿泊事業監視普及"",""食の安全・安心の推進"",""食品衛生監視普及"",""人と動物との共生推進事業"",""鼠・害虫相談・水害消毒"",""臨床検査事業運営""],""related_revenues"":[{""revenue_detail_id"":""rd_2026_general_revenue_12_02_04_01_05_3785700000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""衛生手数料"",""証明閲覧"",""証明閲覧（環境衛生）""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_12_02_04_05_03_3785700000"",""revenue_hierarchy"":[""使用料及手数料"",""手数料"",""衛生手数料"",""環境衛生"",""環境監視手数料""],""amount_attribution_status"":""not_available""},{""revenue_detail_id"":""rd_2026_general_revenue_14_02_02_40_49_3785700000"",""revenue_hierarchy"":[""都支出金"",""都補助金"",""民生費補助金"",""保健医療政策区市町村包括補助事業費"",""アレルギー疾患普及啓発""],""amount_attribution_status"":""not_available""}]}","high","approve","[publication-policy] B_strong_structural・highを確認し、topicとの直接性が高い代表事業として承認"
